oos_period,variant,row_model,col_model,mu
196,legacy,8,7,-0.7764598976558864
196,legacy,8,8,0.0
197,legacy,1,1,0.0
197,legacy,1,2,0.9347665479024668
197,legacy,1,3,0.5533672070196907
197,legacy,1,4,-0.20825403211382473
197,legacy,1,5,1.6965006738667838
197,legacy,1,6,0.32107060755440436
197,legacy,1,7,1.1641184586021114
197,legacy,1,8,-0.4374126020820729
197,legacy,2,1,-0.9347665479024668
197,legacy,2,2,0.0
197,legacy,2,3,-0.5232144822628734
197,legacy,2,4,-0.782623188742215
197,legacy,2,5,-0.0651271289249104
197,legacy,2,6,-0.9820305870233653
197,legacy,2,7,-0.19045291338004652
197,legacy,2,8,-1.1764494203358513
197,legacy,3,1,-0.5533672070196907
197,legacy,3,2,0.5232144822628734
197,legacy,3,3,0.0
197,legacy,3,4,-0.647657453307858
197,legacy,3,5,0.6755765139593912
197,legacy,3,6,-0.32754850058933854
197,legacy,3,7,0.2662591931945176
197,legacy,3,8,-0.781271395788511
197,legacy,4,1,0.20825403211382473
197,legacy,4,2,0.782623188742215
197,legacy,4,3,0.647657453307858
197,legacy,4,4,0.0
197,legacy,4,5,-0.3302753737454288
197,legacy,4,6,0.18802277156680894
197,legacy,4,7,0.7058434192545548
197,legacy,4,8,0.23755689814979236
197,legacy,5,1,-1.6965006738667838
197,legacy,5,2,0.0651271289249104
197,legacy,5,3,-0.6755765139593912
197,legacy,5,4,0.3302753737454288
197,legacy,5,5,0.0
197,legacy,5,6,0.02967258404848855
197,legacy,5,7,1.0933752307759135
197,legacy,5,8,-2.052969217776215
197,legacy,6,1,-0.32107060755440436
197,legacy,6,2,0.9820305870233653
197,legacy,6,3,0.32754850058933854
197,legacy,6,4,-0.18802277156680894
197,legacy,6,5,-0.02967258404848855
197,legacy,6,6,0.0
197,legacy,6,7,0.6363854421201666
197,legacy,6,8,-0.5900202832519534
197,legacy,7,1,-1.1641184586021114
197,legacy,7,2,0.19045291338004652
197,legacy,7,3,-0.2662591931945176
197,legacy,7,4,-0.7058434192545548
197,legacy,7,5,-1.0933752307759135
197,legacy,7,6,-0.6363854421201666
197,legacy,7,7,0.0
197,legacy,7,8,-1.0647600064062628
197,legacy,8,1,0.4374126020820729
197,legacy,8,2,1.1764494203358513
197,legacy,8,3,0.781271395788511
197,legacy,8,4,-0.23755689814979236
197,legacy,8,5,2.052969217776215
197,legacy,8,6,0.5900202832519534
197,legacy,8,7,1.0647600064062628
197,legacy,8,8,0.0
198,legacy,1,1,0.0
198,legacy,1,2,0.4399735966107935
198,legacy,1,3,1.3195134406808346
198,legacy,1,4,-1.0512603785366998
198,legacy,1,5,0.1568789550479115
198,legacy,1,6,0.5952725205210923
198,legacy,1,7,0.7173730694693703
198,legacy,1,8,-0.3631195483042956
198,legacy,2,1,-0.4399735966107935
198,legacy,2,2,0.0
198,legacy,2,3,1.5411819562879179
198,legacy,2,4,-0.3609213438010285
198,legacy,2,5,-1.6458596805310037
198,legacy,2,6,-1.2024953128956888
198,legacy,2,7,-0.17492358660487647
198,legacy,2,8,-0.8459069111552538
198,legacy,3,1,-1.3195134406808346
198,legacy,3,2,-1.5411819562879179
198,legacy,3,3,0.0
198,legacy,3,4,2.9942923605454577
198,legacy,3,5,-7.887889149402357
198,legacy,3,6,-4.999036676548557
198,legacy,3,7,2.0973963705737133
198,legacy,3,8,-0.35111734540466555
198,legacy,4,1,1.0512603785366998
198,legacy,4,2,0.3609213438010285
198,legacy,4,3,-2.9942923605454577
198,legacy,4,4,0.0
198,legacy,4,5,1.0079322919852767
198,legacy,4,6,0.45783125271757596
198,legacy,4,7,1.4855615434711262
198,legacy,4,8,-0.005429077834184837
198,legacy,5,1,-0.1568789550479115
198,legacy,5,2,1.6458596805310037
198,legacy,5,3,7.887889149402357
198,legacy,5,4,-1.0079322919852767
198,legacy,5,5,0.0
198,legacy,5,6,-0.13082752557942567
198,legacy,5,7,0.36145640311290683
198,legacy,5,8,-0.8626448707894423
198,legacy,6,1,-0.5952725205210923
198,legacy,6,2,1.2024953128956888
198,legacy,6,3,4.999036676548557
198,legacy,6,4,-0.45783125271757596
198,legacy,6,5,0.13082752557942567
198,legacy,6,6,0.0
198,legacy,6,7,0.15429291101896464
198,legacy,6,8,-0.5745422627144456
198,legacy,7,1,-0.7173730694693703
198,legacy,7,2,0.17492358660487647
198,legacy,7,3,-2.0973963705737133
198,legacy,7,4,-1.4855615434711262
198,legacy,7,5,-0.36145640311290683
198,legacy,7,6,-0.15429291101896464
198,legacy,7,7,0.0
198,legacy,7,8,-1.1441199478291555
198,legacy,8,1,0.3631195483042956
198,legacy,8,2,0.8459069111552538
198,legacy,8,3,0.35111734540466555
198,legacy,8,4,0.005429077834184837
198,legacy,8,5,0.8626448707894423
198,legacy,8,6,0.5745422627144456
198,legacy,8,7,1.1441199478291555
198,legacy,8,8,0.0
199,legacy,1,1,0.0
199,legacy,1,2,0.2756306489843535
199,legacy,1,3,-0.9798135383189679
199,legacy,1,4,0.09752586634504967
199,legacy,1,5,0.24228668283367696
199,legacy,1,6,0.6192042225788499
199,legacy,1,7,0.5875105337084137
199,legacy,1,8,-0.24972278903642806
199,legacy,2,1,-0.2756306489843535
199,legacy,2,2,0.0
199,legacy,2,3,-1.3663028980538137
199,legacy,2,4,-0.5080202300924159
199,legacy,2,5,0.16223119988556434
199,legacy,2,6,2.1579827548742188
199,legacy,2,7,0.2793852561045852
199,legacy,2,8,-0.7774437220970362
199,legacy,3,1,0.9798135383189679
199,legacy,3,2,1.3663028980538137
199,legacy,3,3,0.0
199,legacy,3,4,0.06592772022981751
199,legacy,3,5,1.7247818179973233
199,legacy,3,6,3.3910237706088298
199,legacy,3,7,1.4297403308335548
199,legacy,3,8,0.20788529538916223
199,legacy,4,1,-0.09752586634504967
199,legacy,4,2,0.5080202300924159
199,legacy,4,3,-0.06592772022981751
199,legacy,4,4,0.0
199,legacy,4,5,0.461601185482681
199,legacy,4,6,-2.2361518204604436
199,legacy,4,7,0.6364819643539789
199,legacy,4,8,0.06870084378930227
199,legacy,5,1,-0.24228668283367696
199,legacy,5,2,-0.16223119988556434
199,legacy,5,3,-1.7247818179973233
199,legacy,5,4,-0.461601185482681
199,legacy,5,5,0.0
199,legacy,5,6,-0.6630497182374832
199,legacy,5,7,0.4824025248997335
199,legacy,5,8,-1.4357841823117554
199,legacy,6,1,-0.6192042225788499
199,legacy,6,2,-2.1579827548742188
199,legacy,6,3,-3.3910237706088298
199,legacy,6,4,2.2361518204604436
199,legacy,6,5,0.6630497182374832
199,legacy,6,6,0.0
199,legacy,6,7,0.1992667148038162
199,legacy,6,8,0.13176140382767676
199,legacy,7,1,-0.5875105337084137
199,legacy,7,2,-0.2793852561045852
199,legacy,7,3,-1.4297403308335548
199,legacy,7,4,-0.6364819643539789
199,legacy,7,5,-0.4824025248997335
199,legacy,7,6,-0.1992667148038162
199,legacy,7,7,0.0
199,legacy,7,8,-1.1136084650634455
199,legacy,8,1,0.24972278903642806
199,legacy,8,2,0.7774437220970362
199,legacy,8,3,-0.20788529538916223
199,legacy,8,4,-0.06870084378930227
199,legacy,8,5,1.4357841823117554
199,legacy,8,6,-0.13176140382767676
199,legacy,8,7,1.1136084650634455
199,legacy,8,8,0.0
200,legacy,1,1,0.0
200,legacy,1,2,0.4487443832819197
200,legacy,1,3,-0.838558365555059
200,legacy,1,4,0.9260931691761979
200,legacy,1,5,-0.32238209825338426
200,legacy,1,6,-1.5015360818339867
200,legacy,1,7,-0.6636771493788953
200,legacy,1,8,-0.08899093516833909
200,legacy,2,1,-0.4487443832819197
