oos_period,row_model,col_model,adjacency_matrice
225,7,8,0.013520763182664732
225,8,1,0.0
225,8,2,0.010514211020325471
225,8,3,0.0
225,8,4,0.0
225,8,5,0.0
225,8,6,0.0
225,8,7,0.0
225,8,8,0.0
226,1,1,0.0
226,1,2,0.019874857901426665
226,1,3,0.0
226,1,4,0.0
226,1,5,0.05731555861892372
226,1,6,0.0
226,1,7,0.07761262521487201
226,1,8,0.0
226,2,1,0.0
226,2,2,0.0
226,2,3,0.0
226,2,4,0.0
226,2,5,0.0
226,2,6,0.0
226,2,7,0.0
226,2,8,0.0
226,3,1,0.19956053777701294
226,3,2,0.2377305370507222
226,3,3,0.0
226,3,4,0.0
226,3,5,0.32913079664758044
226,3,6,0.11447592901628176
226,3,7,0.3243998515842442
226,3,8,0.3710065781320058
226,4,1,0.4891111976091994
226,4,2,0.38269169530785063
226,4,3,0.166279437269071
226,4,4,0.0
226,4,5,0.43618937548498404
226,4,6,0.26659734968335297
226,4,7,0.3468292038568672
226,4,8,0.15799640033309528
226,5,1,0.0
226,5,2,0.10500258063777906
226,5,3,0.0
226,5,4,0.0
226,5,5,0.0
226,5,6,0.0
226,5,7,0.04633105858364642
226,5,8,0.0
226,6,1,0.1481264710428885
226,6,2,0.16802233255922688
226,6,3,0.0
226,6,4,0.0
226,6,5,0.2068814491279823
226,6,6,0.0
226,6,7,0.21676800099283242
226,6,8,0.01813587350569929
226,7,1,0.0
226,7,2,0.1985504102385189
226,7,3,0.0
226,7,4,0.0
226,7,5,0.0
226,7,6,0.0
226,7,7,0.0
226,7,8,0.02024960291606456
226,8,1,0.3393650944489201
226,8,2,0.010397471617944725
226,8,3,0.0
226,8,4,0.0
226,8,5,0.0733857675334686
226,8,6,0.0
226,8,7,0.0
226,8,8,0.0
227,1,1,0.0
227,1,2,0.008085272908727863
227,1,3,0.0
227,1,4,0.0
227,1,5,0.04718752095337686
227,1,6,0.0
227,1,7,0.09949295620991808
227,1,8,0.2577382685715736
227,2,1,0.0
227,2,2,0.0
227,2,3,0.0
227,2,4,0.0
227,2,5,0.05834622539376318
227,2,6,0.0
227,2,7,0.20386759165196056
227,2,8,0.08086952978299404
227,3,1,0.23523884442626197
227,3,2,0.3488593627551596
227,3,3,0.0
227,3,4,0.0
227,3,5,0.33356102631765744
227,3,6,0.08974272330274573
227,3,7,0.2453401560620653
227,3,8,0.3154710934340626
227,4,1,0.4216917783349852
227,4,2,0.39131409947062695
227,4,3,0.18287783994141804
227,4,4,0.0
227,4,5,0.4474150100525862
227,4,6,0.2911062631367581
227,4,7,0.4316587970288541
227,4,8,0.5802653858400703
227,5,1,0.0
227,5,2,0.0
227,5,3,0.0
227,5,4,0.0
227,5,5,0.0
227,5,6,0.0
227,5,7,0.04075215055863415
227,5,8,0.12831243271024945
227,6,1,0.0892594439952424
227,6,2,0.2269394190294811
227,6,3,0.0
227,6,4,0.0
