oos_period,row_model,col_model,sigma_matrice
189,7,2,1.3352408053354412
189,7,3,2.5916287149618507
189,7,4,1.4514163709711485
189,7,5,1.9783081446788697
189,7,6,2.5867319839350906
189,7,7,0.0
189,7,8,1.2236130391899507
189,8,1,1.755130102341267
189,8,2,1.2109467402777474
189,8,3,2.2444697080597895
189,8,4,1.321841854060492
189,8,5,2.0779231885998843
189,8,6,2.1722226728429668
189,8,7,1.2236130391899507
189,8,8,0.0
190,1,1,0.0
190,1,2,1.8373636833810216
190,1,3,2.4805126712983454
190,1,4,1.2825801127582546
190,1,5,2.3125658959782465
190,1,6,2.286488184277332
190,1,7,2.006006669386233
190,1,8,1.7157189417562873
190,2,1,1.8373636833810216
190,2,2,0.0
190,2,3,2.5930269739667624
190,2,4,1.200914149251625
190,2,5,1.597610146589447
190,2,6,2.073136852162165
190,2,7,1.2717890078669205
190,2,8,1.1484556407024806
190,3,1,2.4805126712983454
190,3,2,2.5930269739667624
190,3,3,0.0
190,3,4,2.5562060527558477
190,3,5,2.805306854463772
190,3,6,2.7222052055115635
190,3,7,2.4658912223183482
190,3,8,2.1347653342455635
190,4,1,1.2825801127582546
190,4,2,1.200914149251625
190,4,3,2.5562060527558477
190,4,4,0.0
190,4,5,1.716934091351108
190,4,6,2.1194247312220513
190,4,7,1.2882275126319944
190,4,8,1.2310971773714503
190,5,1,2.3125658959782465
190,5,2,1.597610146589447
190,5,3,2.805306854463772
190,5,4,1.716934091351108
190,5,5,0.0
190,5,6,2.6464368927043713
190,5,7,1.8587376881761932
190,5,8,1.995451959093374
190,6,1,2.286488184277332
190,6,2,2.073136852162165
190,6,3,2.7222052055115635
190,6,4,2.1194247312220513
190,6,5,2.6464368927043713
190,6,6,0.0
190,6,7,2.4521303554347327
190,6,8,2.0748284504180905
190,7,1,2.006006669386233
190,7,2,1.2717890078669205
190,7,3,2.4658912223183482
190,7,4,1.2882275126319944
190,7,5,1.8587376881761932
190,7,6,2.4521303554347327
190,7,7,0.0
190,7,8,1.1365709264012838
190,8,1,1.7157189417562873
190,8,2,1.1484556407024806
190,8,3,2.1347653342455635
190,8,4,1.2310971773714503
190,8,5,1.995451959093374
190,8,6,2.0748284504180905
190,8,7,1.1365709264012838
190,8,8,0.0
191,1,1,0.0
191,1,2,1.7484278432677045
191,1,3,2.5032206075578394
191,1,4,1.3454756345288834
191,1,5,2.3190270008955385
191,1,6,2.305292721444397
191,1,7,1.857487486796813
191,1,8,1.6537058230648125
191,2,1,1.7484278432677045
191,2,2,0.0
191,2,3,2.5926342299108036
191,2,4,1.1873987959176644
191,2,5,1.6273636497971289
191,2,6,2.0892781121404003
191,2,7,1.1248602867147561
191,2,8,1.1104399885491614
191,3,1,2.5032206075578394
191,3,2,2.5926342299108036
191,3,3,0.0
191,3,4,2.448050827118149
191,3,5,2.6981095075607615
191,3,6,2.60799985847665
191,3,7,2.4257180430788514
191,3,8,2.047299332929492
191,4,1,1.3454756345288834
191,4,2,1.1873987959176644
191,4,3,2.448050827118149
191,4,4,0.0
191,4,5,1.6290332330025965
191,4,6,2.029629203498241
191,4,7,1.2054136048093218
191,4,8,1.1232587286284101
191,5,1,2.3190270008955385
191,5,2,1.6273636497971289
191,5,3,2.6981095075607615
191,5,4,1.6290332330025965
191,5,5,0.0
191,5,6,2.539912807457039
191,5,7,1.8174718809527652
191,5,8,1.9229667541360953
191,6,1,2.305292721444397
191,6,2,2.0892781121404003
191,6,3,2.60799985847665
191,6,4,2.029629203498241
191,6,5,2.539912807457039
191,6,6,0.0
191,6,7,2.368025065562286
191,6,8,1.970516556507204
191,7,1,1.857487486796813
191,7,2,1.1248602867147561
191,7,3,2.4257180430788514
191,7,4,1.2054136048093218
191,7,5,1.8174718809527652
191,7,6,2.368025065562286
191,7,7,0.0
191,7,8,1.0685281457514708
191,8,1,1.6537058230648125
191,8,2,1.1104399885491614
191,8,3,2.047299332929492
191,8,4,1.1232587286284101
191,8,5,1.9229667541360953
191,8,6,1.970516556507204
191,8,7,1.0685281457514708
191,8,8,0.0
192,1,1,0.0
192,1,2,1.6785814246340813
192,1,3,2.434037683499861
192,1,4,1.259890511927307
192,1,5,2.206734832912672
192,1,6,2.316576249082138
192,1,7,1.7669549906885453
192,1,8,1.5263527190327077
192,2,1,1.6785814246340813
192,2,2,0.0
192,2,3,2.5150978875009757
192,2,4,1.1093942602383262
192,2,5,1.5587196877828635
192,2,6,2.0676450454392845
192,2,7,1.01555132020661
192,2,8,1.0153254422113147
192,3,1,2.434037683499861
192,3,2,2.5150978875009757
192,3,3,0.0
192,3,4,2.3410541949539816
192,3,5,2.6244877435841034
192,3,6,2.528911043752943
192,3,7,2.305757021720916
192,3,8,1.965275881017054
192,4,1,1.259890511927307
192,4,2,1.1093942602383262
192,4,3,2.3410541949539816
192,4,4,0.0
192,4,5,1.5690898720062258
192,4,6,2.006151042837282
192,4,7,1.0645131710131
192,4,8,1.0159606213601962
192,5,1,2.206734832912672
192,5,2,1.5587196877828635
192,5,3,2.6244877435841034
192,5,4,1.5690898720062258
192,5,5,0.0
192,5,6,2.5573141392707024
192,5,7,1.7118991936980914
192,5,8,1.8482570286187374
192,6,1,2.316576249082138
192,6,2,2.0676450454392845
192,6,3,2.528911043752943
192,6,4,2.006151042837282
192,6,5,2.5573141392707024
192,6,6,0.0
192,6,7,2.2458774575752862
192,6,8,1.9787797328527812
192,7,1,1.7669549906885453
192,7,2,1.01555132020661
192,7,3,2.305757021720916
192,7,4,1.0645131710131
192,7,5,1.7118991936980914
192,7,6,2.2458774575752862
192,7,7,0.0
192,7,8,1.0283610567884793
192,8,1,1.5263527190327077
192,8,2,1.0153254422113147
192,8,3,1.965275881017054
192,8,4,1.0159606213601962
192,8,5,1.8482570286187374
192,8,6,1.9787797328527812
192,8,7,1.0283610567884793
192,8,8,0.0
193,1,1,0.0
193,1,2,1.7683010993234964
193,1,3,2.3169178510085184
193,1,4,1.5348131520081425
193,1,5,2.121671078775766
193,1,6,2.3145233760988977
193,1,7,1.69190784717825
193,1,8,2.3135560414418075
193,2,1,1.7683010993234964
193,2,2,0.0
193,2,3,2.4982257083215713
193,2,4,1.0209621925875958
193,2,5,1.5758819467778573
193,2,6,1.9978627003728686
193,2,7,1.0293624755978599
193,2,8,1.329914597234177
193,3,1,2.3169178510085184
193,3,2,2.4982257083215713
193,3,3,0.0
193,3,4,2.3521638215293774
193,3,5,2.513296807391032
193,3,6,2.4228027004261934
193,3,7,2.1872012290472553
193,3,8,2.383574597757239
193,4,1,1.5348131520081425
193,4,2,1.0209621925875958
193,4,3,2.3521638215293774
193,4,4,0.0
193,4,5,1.617994045531861
193,4,6,2.0506385631204167
193,4,7,1.0892450250285874
193,4,8,1.1994646093593215
193,5,1,2.121671078775766
193,5,2,1.5758819467778573
193,5,3,2.513296807391032
193,5,4,1.617994045531861
193,5,5,0.0
193,5,6,2.4522933308559054
193,5,7,1.5992927125479932
193,5,8,2.3138994734035716
193,6,1,2.3145233760988977
193,6,2,1.9978627003728686
193,6,3,2.4228027004261934
193,6,4,2.0506385631204167
193,6,5,2.4522933308559054
193,6,6,0.0
193,6,7,2.1127706271733144
193,6,8,2.171346744173669
193,7,1,1.69190784717825
193,7,2,1.0293624755978599
193,7,3,2.1872012290472553
193,7,4,1.0892450250285874
193,7,5,1.5992927125479932
193,7,6,2.1127706271733144
193,7,7,0.0
193,7,8,1.7430784217005064
193,8,1,2.3135560414418075
193,8,2,1.329914597234177
193,8,3,2.383574597757239
193,8,4,1.1994646093593215
193,8,5,2.3138994734035716
193,8,6,2.171346744173669
193,8,7,1.7430784217005064
193,8,8,0.0
194,1,1,0.0
194,1,2,1.6715440394498864
194,1,3,2.208046865699033
194,1,4,2.2032713639089527
194,1,5,2.0179831622566247
194,1,6,2.262469547236085
194,1,7,1.5347195497970791
194,1,8,2.21043322249292
194,2,1,1.6715440394498864
194,2,2,0.0
194,2,3,2.4262881463416894
194,2,4,2.2619630189400945
194,2,5,1.5180841840195984
194,2,6,1.9998205906310227
194,2,7,0.8787502692233803
194,2,8,1.253953996257158
194,3,1,2.208046865699033
194,3,2,2.4262881463416894
194,3,3,0.0
194,3,4,3.213227247184471
194,3,5,2.453252643704466
194,3,6,2.308405361225701
194,3,7,2.0976246784919743
194,3,8,2.411397657146569
194,4,1,2.2032713639089527
194,4,2,2.2619630189400945
194,4,3,3.213227247184471
194,4,4,0.0
194,4,5,2.1448548013471553
194,4,6,2.9115474267583332
194,4,7,1.944806054411846
194,4,8,1.8044787500477666
194,5,1,2.0179831622566247
194,5,2,1.5180841840195984
194,5,3,2.453252643704466
194,5,4,2.1448548013471553
194,5,5,0.0
194,5,6,2.407651501112796
194,5,7,1.477013070654572
194,5,8,2.281673982469034
194,6,1,2.262469547236085
194,6,2,1.9998205906310227
194,6,3,2.308405361225701
194,6,4,2.9115474267583332
194,6,5,2.407651501112796
194,6,6,0.0
194,6,7,2.036834989219068
194,6,8,2.392370386713284
194,7,1,1.5347195497970791
194,7,2,0.8787502692233803
194,7,3,2.0976246784919743
194,7,4,1.944806054411846
194,7,5,1.477013070654572
194,7,6,2.036834989219068
194,7,7,0.0
194,7,8,1.7065677160737651
194,8,1,2.21043322249292
194,8,2,1.253953996257158
194,8,3,2.411397657146569
194,8,4,1.8044787500477666
194,8,5,2.281673982469034
194,8,6,2.392370386713284
194,8,7,1.7065677160737651
194,8,8,0.0
195,1,1,0.0
195,1,2,1.578449700108851
195,1,3,2.075508351362117
195,1,4,2.188636817912865
195,1,5,2.1134797744938694
195,1,6,2.1884210389336833
195,1,7,1.3774950176925154
195,1,8,2.116916890242046
195,2,1,1.578449700108851
195,2,2,0.0
195,2,3,2.3380094592246454
195,2,4,2.200048669651761
195,2,5,1.605222075626929
195,2,6,1.937311277936742
195,2,7,0.7118379850671058
195,2,8,1.1760646908302204
195,3,1,2.075508351362117
195,3,2,2.3380094592246454
