oos_period,row_model,col_model,cov_matrice
158,5,2,0.10765437232113809
158,5,3,0.19065099840230773
158,5,4,0.20819404416595744
158,5,5,1.3799834283109134
158,5,6,0.488663002081123
158,5,7,0.3171026073346083
158,5,8,0.3059402791035689
158,6,1,0.2054877656452354
158,6,2,0.17628387842724616
158,6,3,0.1746630356115703
158,6,4,0.20040339081169642
158,6,5,0.488663002081123
158,6,6,1.052533230883369
158,6,7,0.2993363463970365
158,6,8,0.16920776731019918
158,7,1,0.41750580291827427
158,7,2,0.10176831695816815
158,7,3,0.20791976372524776
158,7,4,0.1141930864153442
158,7,5,0.3171026073346083
158,7,6,0.2993363463970365
158,7,7,1.4058519749476628
158,7,8,0.3348424712673308
158,8,1,0.39311265453345556
158,8,2,0.03243293122083937
158,8,3,0.20886279816513365
158,8,4,0.09515802150454525
158,8,5,0.3059402791035689
158,8,6,0.16920776731019918
158,8,7,0.3348424712673308
158,8,8,1.044941996270084
159,1,1,1.3044153908463707
159,1,2,0.16597377547220632
159,1,3,0.07473231954315772
159,1,4,0.07822970990653152
159,1,5,-0.05847788730764755
159,1,6,0.16056974249785722
159,1,7,0.33616786987172476
159,1,8,0.3124802253427946
159,2,1,0.16597377547220632
159,2,2,0.7951726931424625
159,2,3,0.09392748438041278
159,2,4,0.17420810798323866
159,2,5,0.13013684103124273
159,2,6,0.17714024423610766
159,2,7,0.11983906887533821
159,2,8,0.056763022082315054
159,3,1,0.07473231954315772
159,3,2,0.09392748438041278
159,3,3,1.2337444110742095
159,3,4,0.20702236540789368
159,3,5,0.19252776401576666
159,3,6,0.16625158060617315
159,3,7,0.2139200533364983
159,3,8,0.2230570938415148
159,4,1,0.07822970990653152
159,4,2,0.17420810798323866
159,4,3,0.20702236540789368
159,4,4,1.193854209180889
159,4,5,0.12600673676155127
159,4,6,0.15311880262182187
159,4,7,0.07151332354299729
159,4,8,0.06952694590677887
159,5,1,-0.05847788730764755
159,5,2,0.13013684103124273
159,5,3,0.19252776401576666
159,5,4,0.12600673676155127
159,5,5,1.229770545717163
159,5,6,0.4341568944419775
159,5,7,0.2392689433770286
159,5,8,0.23688587188716095
159,6,1,0.16056974249785722
159,6,2,0.17714024423610766
159,6,3,0.16625158060617315
159,6,4,0.15311880262182187
159,6,5,0.4341568944419775
159,6,6,1.0407181536802057
159,6,7,0.25981985688508824
159,6,8,0.12184979794179278
159,7,1,0.33616786987172476
159,7,2,0.11983906887533821
159,7,3,0.2139200533364983
159,7,4,0.07151332354299729
159,7,5,0.2392689433770286
159,7,6,0.25981985688508824
159,7,7,1.3557331244319137
159,7,8,0.30302228662081193
159,8,1,0.3124802253427946
159,8,2,0.056763022082315054
159,8,3,0.2230570938415148
159,8,4,0.06952694590677887
159,8,5,0.23688587188716095
159,8,6,0.12184979794179278
159,8,7,0.30302228662081193
159,8,8,1.0326501474260399
160,1,1,1.300708671016752
160,1,2,0.149769384452195
160,1,3,0.02348984304533085
160,1,4,0.048437254000849576
160,1,5,-0.047603652366168314
160,1,6,0.12688729931990983
160,1,7,0.34331652298381815
160,1,8,0.2946528175526711
160,2,1,0.149769384452195
160,2,2,0.8007942655397341
160,2,3,0.10668272436761339
160,2,4,0.17513656704259492
160,2,5,0.13035906128876779
160,2,6,0.1774355222364016
160,2,7,0.12070205966641294
160,2,8,0.05033254821631716
160,3,1,0.02348984304533085
160,3,2,0.10668272436761339
160,3,3,1.271195437113052
160,3,4,0.20546968014553513
160,3,5,0.19485229134129506
160,3,6,0.16213280105655756
160,3,7,0.21769405095770944
160,3,8,0.20024257950592717
160,4,1,0.048437254000849576
160,4,2,0.17513656704259492
160,4,3,0.20546968014553513
160,4,4,1.1796614122322044
160,4,5,0.13145272411971462
160,4,6,0.13796827284771332
160,4,7,0.07634578615176006
160,4,8,0.05000219240893462
160,5,1,-0.047603652366168314
160,5,2,0.13035906128876779
160,5,3,0.19485229134129506
160,5,4,0.13145272411971462
160,5,5,1.2270539167918786
160,5,6,0.44079010102294114
160,5,7,0.23727691079809135
160,5,8,0.24455386488120565
160,6,1,0.12688729931990983
160,6,2,0.1774355222364016
160,6,3,0.16213280105655756
160,6,4,0.13796827284771332
160,6,5,0.44079010102294114
160,6,6,1.0191281480678767
160,6,7,0.2655900876619972
160,6,8,0.09904770548031015
160,7,1,0.34331652298381815
160,7,2,0.12070205966641294
160,7,3,0.21769405095770944
160,7,4,0.07634578615176006
160,7,5,0.23727691079809135
160,7,6,0.2655900876619972
160,7,7,1.3538758563143267
160,7,8,0.30875498543615626
160,8,1,0.2946528175526711
160,8,2,0.05033254821631716
160,8,3,0.20024257950592717
160,8,4,0.05000219240893462
160,8,5,0.24455386488120565
160,8,6,0.09904770548031015
160,8,7,0.30875498543615626
160,8,8,1.0112773199035063
161,1,1,1.2809290083240152
161,1,2,0.1263632524602141
161,1,3,0.003683517433518717
161,1,4,0.012605450079992019
161,1,5,-0.08682062485840837
161,1,6,0.13262272133200506
161,1,7,0.30963831029451233
161,1,8,0.2951376332546491
161,2,1,0.1263632524602141
161,2,2,0.8685302500295964
161,2,3,0.02026535683358787
161,2,4,0.21091549496733009
161,2,5,0.11614491301709111
161,2,6,0.17155275094734174
161,2,7,0.1820484532027747
161,2,8,0.046401296582668984
161,3,1,0.003683517433518717
161,3,2,0.02026535683358787
161,3,3,1.2894634704982146
161,3,4,0.10825557561302923
161,3,5,0.12337669849054513
161,3,6,0.17779533848901546
161,3,7,0.1081866726553546
161,3,8,0.2038134262139677
161,4,1,0.012605450079992019
161,4,2,0.21091549496733009
161,4,3,0.10825557561302923
161,4,4,1.184824789863555
161,4,5,0.08622809468604478
161,4,6,0.13710954639574346
161,4,7,0.10654555307448177
161,4,8,0.046706456851033556
161,5,1,-0.08682062485840837
161,5,2,0.11614491301709111
161,5,3,0.12337669849054513
161,5,4,0.08622809468604478
161,5,5,1.1425402269911769
161,5,6,0.4479607933719665
161,5,7,0.20690147591885166
161,5,8,0.24365708058796062
161,6,1,0.13262272133200506
