oos_period,centrality_type,model,centrality_score
286,pagerank,1,0.2631054556751063
286,pagerank,2,0.1572954560274205
286,pagerank,3,0.12151301371040935
286,pagerank,4,0.018749999999981254
286,pagerank,5,0.03625446331347808
286,pagerank,6,0.2867469722346935
286,pagerank,7,0.03526739256058385
286,pagerank,8,0.08106724647732705
287,pagerank,1,0.057946890000589606
287,pagerank,2,0.16237463384680584
287,pagerank,3,0.06227210459286964
287,pagerank,4,0.07171760143190059
287,pagerank,5,0.09360386138294151
287,pagerank,6,0.36891190588844747
287,pagerank,7,0.061331111414945946
287,pagerank,8,0.12184189143840904
288,pagerank,1,0.01874999999998125
288,pagerank,2,0.23031787203216772
288,pagerank,3,0.020965871454438092
288,pagerank,4,0.021906056241992305
288,pagerank,5,0.23330040737198293
288,pagerank,6,0.24252664152835182
288,pagerank,7,0.018982665449350473
288,pagerank,8,0.21325048592073548
289,pagerank,1,0.018749999999981254
289,pagerank,2,0.14551823979124273
289,pagerank,3,0.07745026319266196
289,pagerank,4,0.07363140987083296
289,pagerank,5,0.10994677273397198
289,pagerank,6,0.28435488136263426
289,pagerank,7,0.0266542693680007
289,pagerank,8,0.26369416367967413
290,pagerank,1,0.05936795612471348
290,pagerank,2,0.20742778782533508
290,pagerank,3,0.07942486886107354
290,pagerank,4,0.0733798633724113
290,pagerank,5,0.08713165372751236
290,pagerank,6,0.3721653365384687
290,pagerank,7,0.06280996654022263
290,pagerank,8,0.05829256700715401
291,pagerank,1,0.05728816064755821
291,pagerank,2,0.36271210021285183
291,pagerank,3,0.059386282560189525
291,pagerank,4,0.07706400662969605
291,pagerank,5,0.07619300065123741
291,pagerank,6,0.1985455912682039
291,pagerank,7,0.0827835138078796
291,pagerank,8,0.08602734421932821
292,pagerank,1,0.07476089421528857
292,pagerank,2,0.38231097761819993
292,pagerank,3,0.05937054116227099
292,pagerank,4,0.06185420606293341
292,pagerank,5,0.07176496753888253
292,pagerank,6,0.19796712076172146
292,pagerank,7,0.06538263901738925
292,pagerank,8,0.08658865362014753
293,pagerank,1,0.07892583476964982
293,pagerank,2,0.3654640629470258
293,pagerank,3,0.06353802352713733
293,pagerank,4,0.07253661101553467
293,pagerank,5,0.10243357274855702
293,pagerank,6,0.1647281863073587
293,pagerank,7,0.06715609004536184
293,pagerank,8,0.08521761863630382
294,pagerank,1,0.05880669471100631
294,pagerank,2,0.3770041873673419
294,pagerank,3,0.07241531893566973
294,pagerank,4,0.0679894738112728
294,pagerank,5,0.06787157659238076
294,pagerank,6,0.19227143720324238
294,pagerank,7,0.0812064667796658
294,pagerank,8,0.08243484459628397
295,pagerank,1,0.018749999999981254
295,pagerank,2,0.25562091736874276
295,pagerank,3,0.019526697382780647
295,pagerank,4,0.06077956025326678
295,pagerank,5,0.23578687136506937
295,pagerank,6,0.2872949820979138
295,pagerank,7,0.10237355973791418
295,pagerank,8,0.019867411793331128
296,pagerank,1,0.06075358995241642
296,pagerank,2,0.3953279070381461
296,pagerank,3,0.06763042684506776
296,pagerank,4,0.08372076211500841
296,pagerank,5,0.13124701471038963
296,pagerank,6,0.07870651762370899
296,pagerank,7,0.0806132868733428
296,pagerank,8,0.10200049483867989
297,pagerank,1,0.06320248282919487
297,pagerank,2,0.4183763089812524
297,pagerank,3,0.06639683279654096
297,pagerank,4,0.06952178934478721
297,pagerank,5,0.13253704083161996
297,pagerank,6,0.07861371811879846
297,pagerank,7,0.0773919802174987
297,pagerank,8,0.09395984687693669
298,pagerank,1,0.06356527830244356
298,pagerank,2,0.4217908575968042
298,pagerank,3,0.06661033663541241
298,pagerank,4,0.07119981612376408
298,pagerank,5,0.11586696459548666
298,pagerank,6,0.09891960415597088
298,pagerank,7,0.08169953104312536
298,pagerank,8,0.08034761154360284
299,pagerank,1,0.056203645879070424
299,pagerank,2,0.35250491192974326
299,pagerank,3,0.07278482291761479
299,pagerank,4,0.09531953352734404
299,pagerank,5,0.08219884402021331
299,pagerank,6,0.06820513934909143
299,pagerank,7,0.08069580510011579
299,pagerank,8,0.19208729727380944
150,softmax,1,0.020664366476126527
150,softmax,2,0.15073058490777888
150,softmax,3,0.0563865476577158
150,softmax,4,0.012466805522079127
150,softmax,5,0.23069980166869325
150,softmax,6,0.03787196695014501
150,softmax,7,0.004631864323678646
150,softmax,8,0.48654806249378285
151,softmax,1,0.12621638778383787
151,softmax,2,0.3045168659822418
151,softmax,3,0.0034505727707774088
151,softmax,4,0.04978334910891927
151,softmax,5,0.08006570138082454
151,softmax,6,0.41198321829457424
151,softmax,7,0.012033754385245591
151,softmax,8,0.011950150293579148
152,softmax,1,0.13490756123377778
152,softmax,2,0.20009432867565455
152,softmax,3,0.03291601594898252
152,softmax,4,0.06195621358959935
152,softmax,5,0.13028412616411228
152,softmax,6,0.3493925325348798
152,softmax,7,0.041077805597507705
152,softmax,8,0.049371416255485925
153,softmax,1,0.11748478394811279
153,softmax,2,0.14670838433706648
153,softmax,3,0.03652912807105867
153,softmax,4,0.07733414318406603
153,softmax,5,0.21188841557552404
153,softmax,6,0.2549823104762862
153,softmax,7,0.053785326886779734
153,softmax,8,0.10128750752110599
154,softmax,1,0.2126252018404386
154,softmax,2,0.19903862048948043
154,softmax,3,0.055442869649933745
154,softmax,4,0.05837485477068322
154,softmax,5,0.02519386468853981
154,softmax,6,0.34220682250183654
154,softmax,7,0.10001680122893084
154,softmax,8,0.007100964830156845
155,softmax,1,0.09444435719391629
155,softmax,2,0.08212149468944863
155,softmax,3,0.06677318227547184
155,softmax,4,0.14333330039153794
155,softmax,5,0.14897236916131404
155,softmax,6,0.3041221944753424
155,softmax,7,0.10242735800481491
155,softmax,8,0.057805743808153946
156,softmax,1,0.10623629093347178
156,softmax,2,0.115179072170027
156,softmax,3,0.05367153970797463
156,softmax,4,0.1052764108282061
156,softmax,5,0.15998341023292378
156,softmax,6,0.29582545109495334
156,softmax,7,0.1053518291061646
156,softmax,8,0.058475995926278765
