TARGET_PERIOD,period_dt,actual,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
2019-12-01,2019-12-01,1.3,1.4239029684899165,1.4657372314989947,1.4239029684899165,1.4548361821359674,1.4239029684899165,1.4568667890409883,1.49995570542749,1.598932283868279,1.4657694252670381,1.506411303682784,1.4567580307991008,1.4624598049873876,1.5,1.6,1.4150700829565888,1.2686969653251798,1.6,1.4500000000000002
2020-03-01,2020-03-01,0.7,1.4497821745268968,1.479285462780703,1.4497821745268968,1.472813443366068,1.4497821745268968,1.4514964508361325,1.310381286319323,1.6841723581296053,1.4457892302329154,1.5485096677389216,1.478540093127238,1.486970674891317,1.3,1.6875135934,1.4276295867991815,1.393962434701579,1.6875135934,1.4825493995
2020-06-01,2020-06-01,0.3,1.3966554695255327,1.3966554695255327,1.3966554695255327,1.3966554695255327,1.3966554695255327,1.3966554695255327,1.3000107798719058,1.3274594177164039,1.3652179215279223,1.3580351971317337,1.3865040710652448,1.3804591971174203,1.3,1.3,1.4141764789432114,1.3999999999985997,1.3,1.3850570558
2020-09-01,2020-09-01,-0.3,1.1123610331555573,1.1123610331555573,1.1123610331555573,1.1123610331555573,1.1123610331555573,1.0955262335625089,1.2991636398422013,1.283210332028886,1.2684703607367445,1.2348311433541719,1.2766919761731264,1.1378249963551403,1.3,1.3,1.057146249312306,0.999999999999,1.3,1.26255025775
2020-12-01,2020-12-01,-0.3,1.262754870358152,1.2666066787524222,1.2675712689090817,1.2666066787524222,1.2845788756479262,1.269970519771345,1.210006107084249,1.2315538038631557,1.2281526611905336,1.2289054509564248,1.2739152606129063,1.233275600407203,1.21,1.3,1.2781463497223449,1.2999999999987002,1.3,1.2275
2021-03-01,2021-03-01,1.3,0.7454065415077897,0.778654356658383,0.7588977577612506,0.7830068385748785,0.7764330820736809,0.5706674146048614,0.7936009219213828,1.0598608836791419,0.9139715953040144,0.9311091568285874,0.9431048425469495,0.9070424767189444,0.7930614887,1.2,0.7356770530370182,0.7407054828811632,0.5,0.9482653721750001
2021-06-01,2021-06-01,1.9,1.4454293014477737,1.4454293014477737,1.4454293014477737,1.4454293014477737,1.4454293014477737,1.4454293014477737,1.130405448820959,0.9022488929663877,1.2774082472296109,1.2336463599358412,1.358657780603767,1.4244684635630214,0.9,0.9,1.8982456543782604,1.3103299857563313,0.9,1.4418194193249998
2021-09-01,2021-09-01,3.4,1.1505660778469105,0.9172174566745525,1.0950813794396832,0.9898633788010968,1.1505660778469105,1.1505660778469105,1.2583952453814318,0.8355753447611262,1.0771580600192885,1.0584181117216156,1.229348945235909,1.107971877662576,1.2,0.7,1.3432335984943145,1.2350538723899764,0.7,1.0986
2021-12-01,2021-12-01,5.0,1.5349623128426888,1.4657104718803706,1.506913856135933,1.4950660490848058,1.522043660893013,1.4657104718803706,1.6225967157269534,1.1847503459810573,1.292927460273211,1.2838002125445809,1.5289346309550256,1.1123661607654698,1.623,1.2,1.6229999999983766,0.6999999999993002,1.623,1.1628788224
2022-03-01,2022-03-01,7.4,1.1999999999988,1.1999999999987998,1.1999999999987998,1.1999999999987998,1.1999999999987998,1.1999999999987998,1.196421224168039,1.2611000658897538,1.2462154260089724,1.3350481626388908,1.199879493533896,1.1999736546655444,1.2,1.2,1.1999999999987998,1.1999999999988016,1.2,1.3278663156000001
2022-06-01,2022-06-01,8.6,1.484393771593098,1.456229185705938,1.4092465366561242,1.3999999999985997,1.725142626807712,1.3999999999986001,1.4329109294728946,1.3999500287605,1.5016526410184634,1.4614144399298166,1.8670076093734176,1.445051225648835,1.4,1.4,1.6846259503958045,1.999999999997984,1.4,1.5095770167
2022-09-01,2022-09-01,9.9,1.7999999999982,1.5189793413128747,1.642178935612834,1.523620824436886,1.5743774747033648,1.5181701751395127,1.7229582647254125,1.3974984356217903,1.5499009078193562,1.4596822602068098,1.5411679739899575,1.3968784810328132,1.3,1.4,1.7999999999982,1.7999999999982,1.8,1.5102920000000002
2022-12-01,2022-12-01,9.2,1.7301905394795576,1.3595052427600285,1.7301905394795576,1.3905803943654278,1.9102251028159085,1.7189650708983315,1.9940703282849144,1.1462293991210228,1.7557433402859757,1.4889537723904467,1.9796492400753054,1.5989962646003413,1.8,1.0,1.7999999999982,1.7999999999982,1.8,1.699814514125
2023-03-01,2023-03-01,6.9,3.4516897981481374,4.191020106022485,3.7870696990602735,3.7546461753455938,3.4516897981481374,3.8999999999960995,4.9590302998620555,3.978601905853839,3.4989585714322655,3.161638277149309,4.965962134198752,3.8935635393861583,4.9659621342,3.9,3.8999999999960995,3.8999999999959796,3.9,2.89149053355
2023-06-01,2023-06-01,5.5,4.007195188569189,2.7404287213409884,3.828396425379341,3.3870427814337574,3.9728123012901664,3.507938431143243,4.474068885194432,2.8717748213482883,3.738578925957048,3.357911437986405,4.414613998526394,2.970155536245599,4.4740887778,2.7,2.6999999999973014,3.110940867719915,2.7,3.44352219445
2023-09-01,2023-09-01,4.3,4.4728437946211805,4.290193468394493,4.377024369059584,4.298530346841082,4.481813690693348,3.891287429948388,4.862869345003711,5.7872907114047285,4.551405834945422,4.620127420970496,4.878369363191278,4.342622424745409,4.87836938,3.3,3.455651111834618,4.689829212730104,3.3,4.444592345
2023-12-01,2023-12-01,2.9,3.494802692573045,3.604762638571279,3.494802692573045,3.525739952251113,3.494802692573045,3.520549547256656,2.718503802719918,3.811029314649932,3.8262670032574895,3.62836281342776,2.7113704017555094,3.648236924174698,3.8,3.8,3.7999999999961998,2.699999999997301,3.8,3.575
