oos_period,variant,row_model,col_model,sigma
235,legacy,3,8,4.878621622596152
235,legacy,4,1,2.4772233054658277
235,legacy,4,2,2.910149866452948
235,legacy,4,3,4.991253686638374
235,legacy,4,4,0.0
235,legacy,4,5,2.3588462101802876
235,legacy,4,6,2.6433065320498166
235,legacy,4,7,2.32622297789187
235,legacy,4,8,3.7057232811443654
235,legacy,5,1,1.193823199646687
235,legacy,5,2,2.9157764477357366
235,legacy,5,3,4.9293495426195
235,legacy,5,4,2.3588462101802876
235,legacy,5,5,0.0
235,legacy,5,6,0.9968334409571581
235,legacy,5,7,1.115110662924819
235,legacy,5,8,2.2743859829547524
235,legacy,6,1,0.41924509648542685
235,legacy,6,2,2.898718674543021
235,legacy,6,3,4.682987348395031
235,legacy,6,4,2.6433065320498166
235,legacy,6,5,0.9968334409571581
235,legacy,6,6,0.0
235,legacy,6,7,1.298676272237558
235,legacy,6,8,1.1141643744091854
235,legacy,7,1,1.2513789222961726
235,legacy,7,2,3.0205528608573844
235,legacy,7,3,5.3148267427710465
235,legacy,7,4,2.32622297789187
235,legacy,7,5,1.115110662924819
235,legacy,7,6,1.298676272237558
235,legacy,7,7,0.0
235,legacy,7,8,2.907581549755751
235,legacy,8,1,2.642859556256005
235,legacy,8,2,4.069860170342116
235,legacy,8,3,4.878621622596152
235,legacy,8,4,3.7057232811443654
235,legacy,8,5,2.2743859829547524
235,legacy,8,6,1.1141643744091854
235,legacy,8,7,2.907581549755751
235,legacy,8,8,0.0
236,legacy,1,1,0.0
236,legacy,1,2,2.9310462490420166
236,legacy,1,3,5.593067815904769
236,legacy,1,4,3.2129927218351324
236,legacy,1,5,1.929850162764768
236,legacy,1,6,1.823942839677717
236,legacy,1,7,2.1926063220637135
236,legacy,1,8,3.3690055209645497
236,legacy,2,1,2.9310462490420166
236,legacy,2,2,0.0
236,legacy,2,3,5.840917830925123
236,legacy,2,4,2.8407925130300717
236,legacy,2,5,2.8299083000813856
236,legacy,2,6,2.7825953225177256
236,legacy,2,7,2.9494253928059644
236,legacy,2,8,3.955049004704039
236,legacy,3,1,5.593067815904769
236,legacy,3,2,5.840917830925123
236,legacy,3,3,0.0
236,legacy,3,4,4.939959549792093
236,legacy,3,5,5.015953958649547
236,legacy,3,6,4.709562322087322
236,legacy,3,7,5.303489506238966
236,legacy,3,8,4.796091511672616
236,legacy,4,1,3.2129927218351324
236,legacy,4,2,2.8407925130300717
236,legacy,4,3,4.939959549792093
236,legacy,4,4,0.0
236,legacy,4,5,2.3412865001256775
236,legacy,4,6,2.543526579888084
236,legacy,4,7,2.248186131835488
236,legacy,4,8,3.580517706124418
236,legacy,5,1,1.929850162764768
236,legacy,5,2,2.8299083000813856
236,legacy,5,3,5.015953958649547
236,legacy,5,4,2.3412865001256775
236,legacy,5,5,0.0
236,legacy,5,6,0.8946542209629583
236,legacy,5,7,1.1473103472806174
236,legacy,5,8,2.2573901782022756
236,legacy,6,1,1.823942839677717
236,legacy,6,2,2.7825953225177256
236,legacy,6,3,4.709562322087322
236,legacy,6,4,2.543526579888084
236,legacy,6,5,0.8946542209629583
236,legacy,6,6,0.0
236,legacy,6,7,1.1953545551630038
236,legacy,6,8,1.1421714310507605
236,legacy,7,1,2.1926063220637135
236,legacy,7,2,2.9494253928059644
236,legacy,7,3,5.303489506238966
236,legacy,7,4,2.248186131835488
236,legacy,7,5,1.1473103472806174
236,legacy,7,6,1.1953545551630038
236,legacy,7,7,0.0
236,legacy,7,8,2.842279968972751
236,legacy,8,1,3.3690055209645497
236,legacy,8,2,3.955049004704039
236,legacy,8,3,4.796091511672616
236,legacy,8,4,3.580517706124418
236,legacy,8,5,2.2573901782022756
236,legacy,8,6,1.1421714310507605
236,legacy,8,7,2.842279968972751
236,legacy,8,8,0.0
237,legacy,1,1,0.0
237,legacy,1,2,2.9113886190455607
237,legacy,1,3,5.782220791648837
237,legacy,1,4,3.513298355689314
237,legacy,1,5,2.6048338541835667
237,legacy,1,6,2.111829107128297
237,legacy,1,7,2.818285065021887
237,legacy,1,8,3.5505829129724855
237,legacy,2,1,2.9113886190455607
237,legacy,2,2,0.0
237,legacy,2,3,5.714703946259891
237,legacy,2,4,2.84496647975663
237,legacy,2,5,2.9015422568105413
237,legacy,2,6,2.683485084478314
237,legacy,2,7,2.883329532610664
237,legacy,2,8,3.919798118528829
237,legacy,3,1,5.782220791648837
237,legacy,3,2,5.714703946259891
237,legacy,3,3,0.0
237,legacy,3,4,4.874558021258904
237,legacy,3,5,4.955015201005911
237,legacy,3,6,4.604809280343189
237,legacy,3,7,5.209909864336336
237,legacy,3,8,4.770511960161226
237,legacy,4,1,3.513298355689314
237,legacy,4,2,2.84496647975663
237,legacy,4,3,4.874558021258904
237,legacy,4,4,0.0
237,legacy,4,5,2.2620567270233205
237,legacy,4,6,2.451477113939382
237,legacy,4,7,2.210893474703986
237,legacy,4,8,3.457905509711537
237,legacy,5,1,2.6048338541835667
237,legacy,5,2,2.9015422568105413
237,legacy,5,3,4.955015201005911
237,legacy,5,4,2.2620567270233205
237,legacy,5,5,0.0
237,legacy,5,6,0.8758811627034645
237,legacy,5,7,1.1626196890141862
237,legacy,5,8,2.1717111110537126
237,legacy,6,1,2.111829107128297
237,legacy,6,2,2.683485084478314
237,legacy,6,3,4.604809280343189
237,legacy,6,4,2.451477113939382
237,legacy,6,5,0.8758811627034645
237,legacy,6,6,0.0
237,legacy,6,7,1.0785533120045874
237,legacy,6,8,1.2039223475054515
237,legacy,7,1,2.818285065021887
237,legacy,7,2,2.883329532610664
237,legacy,7,3,5.209909864336336
237,legacy,7,4,2.210893474703986
237,legacy,7,5,1.1626196890141862
237,legacy,7,6,1.0785533120045874
