oos_period,centrality_type,model,centrality_score
216,pagerank,7,0.08086793662314944
216,pagerank,8,0.15323477194846472
217,pagerank,1,0.39210733265490383
217,pagerank,2,0.06183935766672614
217,pagerank,3,0.08589994575811309
217,pagerank,4,0.06673185779765992
217,pagerank,5,0.108774368385508
217,pagerank,6,0.08327912329868506
217,pagerank,7,0.14095661050362226
217,pagerank,8,0.06041140393155974
218,pagerank,1,0.39549381408319684
218,pagerank,2,0.06509969251150703
218,pagerank,3,0.06077121774627889
218,pagerank,4,0.06207587408348888
218,pagerank,5,0.11669304214616733
218,pagerank,6,0.09064325642757129
218,pagerank,7,0.14387110545348183
218,pagerank,8,0.06535199754506678
219,pagerank,1,0.4087630914266412
219,pagerank,2,0.06668136613690917
219,pagerank,3,0.07010066411105399
219,pagerank,4,0.06472043355248423
219,pagerank,5,0.11391321571742047
219,pagerank,6,0.0967444276011623
219,pagerank,7,0.11689572298699404
219,pagerank,8,0.06218107846401845
220,pagerank,1,0.22067571743683248
220,pagerank,2,0.3556656599083827
220,pagerank,3,0.06442963787534244
220,pagerank,4,0.05672936948283832
220,pagerank,5,0.08189014455813215
220,pagerank,6,0.08791263560395551
220,pagerank,7,0.07598620819685421
220,pagerank,8,0.05671062693464681
221,pagerank,1,0.363065003504264
221,pagerank,2,0.05732565662227073
221,pagerank,3,0.06594421925080932
221,pagerank,4,0.06084876248914346
221,pagerank,5,0.15367460758014911
221,pagerank,6,0.09949775887976779
221,pagerank,7,0.13460390010395806
221,pagerank,8,0.06504009156658007
222,pagerank,1,0.35169447715065905
222,pagerank,2,0.05611753819720141
222,pagerank,3,0.059998021650012896
222,pagerank,4,0.059597544915268204
222,pagerank,5,0.21978296443847214
222,pagerank,6,0.10312093000422344
222,pagerank,7,0.08383252592053582
222,pagerank,8,0.06585599772063415
223,pagerank,1,0.38432756192635315
223,pagerank,2,0.05958480344183845
223,pagerank,3,0.0708316500344017
223,pagerank,4,0.06352342292537493
223,pagerank,5,0.1070130885183826
223,pagerank,6,0.15338311307403799
223,pagerank,7,0.0967712283257915
223,pagerank,8,0.06456513175064185
224,pagerank,1,0.37041128703712795
224,pagerank,2,0.05810619924763674
224,pagerank,3,0.06091257216304989
224,pagerank,4,0.06276016647394325
224,pagerank,5,0.09780522990172157
224,pagerank,6,0.17538690280124544
224,pagerank,7,0.10987060461185465
224,pagerank,8,0.06474703776032167
225,pagerank,1,0.20653092263714978
225,pagerank,2,0.018749999999981254
225,pagerank,3,0.019934254387819376
225,pagerank,4,0.020037677474120396
225,pagerank,5,0.2635249376305507
225,pagerank,6,0.18036143146498942
225,pagerank,7,0.26800047180226183
225,pagerank,8,0.02286030460212731
226,pagerank,1,0.2121124863610731
226,pagerank,2,0.0552148182185998
226,pagerank,3,0.0616562307748542
226,pagerank,4,0.05807492500871798
226,pagerank,5,0.10087653672563156
226,pagerank,6,0.34319828911675304
226,pagerank,7,0.10131530050324966
226,pagerank,8,0.06755141328817604
227,pagerank,1,0.17457884037157706
227,pagerank,2,0.057905158636529
227,pagerank,3,0.06687934024948283
227,pagerank,4,0.061383082420777745
227,pagerank,5,0.12641028080596345
227,pagerank,6,0.36851914010905323
227,pagerank,7,0.07296593923878879
227,pagerank,8,0.07135821816473976
228,pagerank,1,0.10432696240985706
228,pagerank,2,0.059208855597251135
228,pagerank,3,0.0708835588555639
228,pagerank,4,0.06256001592579152
228,pagerank,5,0.1760596500868596
228,pagerank,6,0.38078922915115615
228,pagerank,7,0.08348255129603313
228,pagerank,8,0.06268917667432966
229,pagerank,1,0.09845350181939189
229,pagerank,2,0.06922016644764972
229,pagerank,3,0.38577164393231606
229,pagerank,4,0.06661829109894354
229,pagerank,5,0.121348745107841
229,pagerank,6,0.11532158568339845
229,pagerank,7,0.07310255557871712
229,pagerank,8,0.07016351032855624
230,pagerank,1,0.20601841942868304
230,pagerank,2,0.05785127838276013
230,pagerank,3,0.05506032191850063
230,pagerank,4,0.06574805568187744
230,pagerank,5,0.34174420629228874
230,pagerank,6,0.13574655120524964
230,pagerank,7,0.076314016452796
230,pagerank,8,0.06151715063490788
231,pagerank,1,0.10515385856570238
231,pagerank,2,0.0634185010982911
231,pagerank,3,0.3915265049243435
231,pagerank,4,0.061358486400281624
231,pagerank,5,0.11338888313698363
231,pagerank,6,0.11784845694302916
231,pagerank,7,0.0869556177799989
231,pagerank,8,0.06034969114815115
232,pagerank,1,0.11949248594534376
232,pagerank,2,0.06906591372969399
232,pagerank,3,0.05855284086714282
232,pagerank,4,0.06612192049066284
232,pagerank,5,0.3746149728677776
232,pagerank,6,0.1547751432822796
232,pagerank,7,0.09431568470266317
232,pagerank,8,0.06306103811131343
233,pagerank,1,0.15183711786462406
233,pagerank,2,0.07568730874436558
233,pagerank,3,0.05229722937836198
233,pagerank,4,0.06177373720356367
233,pagerank,5,0.3157386527711902
233,pagerank,6,0.15919212123718943
233,pagerank,7,0.127810764867325
233,pagerank,8,0.05566306793059087
234,pagerank,1,0.29611518498830075
234,pagerank,2,0.024278890223925986
234,pagerank,3,0.018749999999981254
234,pagerank,4,0.020128511515288165
234,pagerank,5,0.29849661642860514
234,pagerank,6,0.29743846263890505
234,pagerank,7,0.025670101676278326
234,pagerank,8,0.019122232527715236
235,pagerank,1,0.38061854420583396
235,pagerank,2,0.08904070866980175
235,pagerank,3,0.059190720321810664
235,pagerank,4,0.06548026240783336
235,pagerank,5,0.1323194621450353
235,pagerank,6,0.1307647574903479
235,pagerank,7,0.07875064668457422
235,pagerank,8,0.06383489807160618
236,pagerank,1,0.3009854522726123
236,pagerank,2,0.26077939447523996
236,pagerank,3,0.01874999999998126
236,pagerank,4,0.021353797691777383
236,pagerank,5,0.09346430534669983
236,pagerank,6,0.21475168861086597
236,pagerank,7,0.05292165103226977
236,pagerank,8,0.03699371056955356
237,pagerank,1,0.02056521958596944
237,pagerank,2,0.02359595509196356
237,pagerank,3,0.01874999999998125
237,pagerank,4,0.05327941883658717
237,pagerank,5,0.2994272203532798
237,pagerank,6,0.27549560702546955
237,pagerank,7,0.2828545185799875
237,pagerank,8,0.026032060525761538
238,pagerank,1,0.06226586483236427
238,pagerank,2,0.07142190263440729
238,pagerank,3,0.05887400173194254
238,pagerank,4,0.0732323385872395
238,pagerank,5,0.3776376633600132
238,pagerank,6,0.21180558055370116
238,pagerank,7,0.07803903887390279
238,pagerank,8,0.06672360942328931
239,pagerank,1,0.06195179166518649
239,pagerank,2,0.12470673913083968
239,pagerank,3,0.05998250734847116
239,pagerank,4,0.07228773879431331
239,pagerank,5,0.13954257772157735
239,pagerank,6,0.3880706573979401
239,pagerank,7,0.08012288442021841
239,pagerank,8,0.07333510351825454
240,pagerank,1,0.062490910868728225
240,pagerank,2,0.06627587832803311
240,pagerank,3,0.059957824604036335
240,pagerank,4,0.07641445395370242
240,pagerank,5,0.1734447383485089
240,pagerank,6,0.38783834921502386
240,pagerank,7,0.09042056555334194
240,pagerank,8,0.0831572791254275
241,pagerank,1,0.06258408646441213
241,pagerank,2,0.07526218953570839
241,pagerank,3,0.05946156605383661
241,pagerank,4,0.07970091911404166
241,pagerank,5,0.1848017224380024
241,pagerank,6,0.3831676805072572
241,pagerank,7,0.08531849018598055
241,pagerank,8,0.06970334569758985
242,pagerank,1,0.058344352930049644
242,pagerank,2,0.09297954833960456
242,pagerank,3,0.059051391930917595
242,pagerank,4,0.11636659519582328
242,pagerank,5,0.37265273798468457
242,pagerank,6,0.14308165684736934
242,pagerank,7,0.08479826367301616
242,pagerank,8,0.0727254530954231
243,pagerank,1,0.01887561368168634
243,pagerank,2,0.037106651131895985
243,pagerank,3,0.01874999999998125
243,pagerank,4,0.19476680955206854
243,pagerank,5,0.26491713733325983
243,pagerank,6,0.2767715671916643
243,pagerank,7,0.11919281268339095
243,pagerank,8,0.06961940842505267
244,pagerank,1,0.018749999999981264
244,pagerank,2,0.2862325744025785
244,pagerank,3,0.019295894749432496
244,pagerank,4,0.06863076539446099
244,pagerank,5,0.11842876378927002
244,pagerank,6,0.3082201062615207
244,pagerank,7,0.15736758605678514
244,pagerank,8,0.023074309344970925
245,pagerank,1,0.05515952968927061
245,pagerank,2,0.22911459443650092
245,pagerank,3,0.03689520563390977
245,pagerank,4,0.04820205412335242
245,pagerank,5,0.17077845507533573
245,pagerank,6,0.15671496088433304
245,pagerank,7,0.11375703460542576
245,pagerank,8,0.18937816554990405
246,pagerank,1,0.053386012754881945
246,pagerank,2,0.06104128361831141
246,pagerank,3,0.05181869923394505
246,pagerank,4,0.08072342212850625
246,pagerank,5,0.16141308265990362
246,pagerank,6,0.31123483072728697
246,pagerank,7,0.11590526522168923
246,pagerank,8,0.16447740365271196
247,pagerank,1,0.047700338474563134
247,pagerank,2,0.07016443636546132
247,pagerank,3,0.018749999999981247
247,pagerank,4,0.15761239641065683
247,pagerank,5,0.14836961454180506
247,pagerank,6,0.22129113417493176
247,pagerank,7,0.09652970635150962
247,pagerank,8,0.23958237368009103
248,pagerank,1,0.05289237852084233
248,pagerank,2,0.0642127631322045
248,pagerank,3,0.05507907050923179
248,pagerank,4,0.16723450128171288
248,pagerank,5,0.18957679136195743
248,pagerank,6,0.08376076169873806
248,pagerank,7,0.32134003417988816
248,pagerank,8,0.0659036993126039
249,pagerank,1,0.15294389060360386
249,pagerank,2,0.046215233137990135
249,pagerank,3,0.021628113472635133
249,pagerank,4,0.033493834141873145
249,pagerank,5,0.23346619420521542
249,pagerank,6,0.28158785687224336
249,pagerank,7,0.18536441433895548
249,pagerank,8,0.0453004632264833
250,pagerank,1,0.061961030096611316
250,pagerank,2,0.07905409689520203
250,pagerank,3,0.05664449941480929
250,pagerank,4,0.08032218046722996
250,pagerank,5,0.14649689598176957
250,pagerank,6,0.06202249345152058
250,pagerank,7,0.34778136075288024
250,pagerank,8,0.16571744293700622
251,pagerank,1,0.06548458365320076
251,pagerank,2,0.11442261567439584
251,pagerank,3,0.06165460847999325
251,pagerank,4,0.0738790360272299
251,pagerank,5,0.07145248017934984
251,pagerank,6,0.07640075104818696
251,pagerank,7,0.4038080798122815
251,pagerank,8,0.1328978451220736
252,pagerank,1,0.05797782126698221
252,pagerank,2,0.17071548049741145
252,pagerank,3,0.057420669487042074
252,pagerank,4,0.09615592749051916
252,pagerank,5,0.07958874949743976
252,pagerank,6,0.07135550114436026
252,pagerank,7,0.102826608381658
252,pagerank,8,0.36395924223152465
253,pagerank,1,0.06163383992413032
253,pagerank,2,0.3305251272627474
253,pagerank,3,0.05386829477161304
253,pagerank,4,0.07363192478269875
253,pagerank,5,0.06591998979489731
253,pagerank,6,0.09808559292453137
253,pagerank,7,0.10415365942551144
253,pagerank,8,0.21218157111099742
254,pagerank,1,0.11498791511413366
254,pagerank,2,0.15488613327269452
254,pagerank,3,0.049185739857587014
254,pagerank,4,0.16754343362608068
254,pagerank,5,0.06253463375439877
254,pagerank,6,0.09468238904372407
254,pagerank,7,0.090530622205559
254,pagerank,8,0.265649133123317
255,pagerank,1,0.04403331197163188
255,pagerank,2,0.09032465558548543
255,pagerank,3,0.11010825934689407
255,pagerank,4,0.055971147931745326
255,pagerank,5,0.23175428418729804
255,pagerank,6,0.0714904128090479
255,pagerank,7,0.16135721540993
255,pagerank,8,0.23496071275563596
256,pagerank,1,0.05675381203616592
256,pagerank,2,0.33792671507683086
256,pagerank,3,0.05465471347685863
256,pagerank,4,0.07220783252404525
256,pagerank,5,0.057069985920760034
256,pagerank,6,0.0991035072242069
256,pagerank,7,0.11204161328905114
256,pagerank,8,0.2102418204491665
257,pagerank,1,0.05991501549021863
257,pagerank,2,0.38027804750332483
257,pagerank,3,0.061028240022493456
257,pagerank,4,0.0915106922927321
257,pagerank,5,0.06259625675750574
257,pagerank,6,0.08236840939545802
257,pagerank,7,0.12729473904102087
257,pagerank,8,0.1350085994940915
258,pagerank,1,0.12189925662167754
258,pagerank,2,0.3009874951628475
258,pagerank,3,0.05072991835410933
258,pagerank,4,0.18365104605166638
258,pagerank,5,0.06708899950794471
258,pagerank,6,0.07575528149393877
258,pagerank,7,0.10069298472060528
258,pagerank,8,0.09919501808450493
259,pagerank,1,0.14248503370117208
259,pagerank,2,0.31248861149638885
259,pagerank,3,0.05231973986187715
259,pagerank,4,0.05325731571739159
259,pagerank,5,0.05656355622566218
259,pagerank,6,0.07989804674630092
259,pagerank,7,0.16417186643719392
259,pagerank,8,0.13881582981124255
260,pagerank,1,0.0569000384937311
260,pagerank,2,0.14433361975033124
260,pagerank,3,0.056911826454075734
260,pagerank,4,0.06386667225861278
260,pagerank,5,0.06315082624952598
260,pagerank,6,0.09177229461835255
260,pagerank,7,0.16400553634844897
260,pagerank,8,0.359059185823887
261,pagerank,1,0.057946953840224795
261,pagerank,2,0.08017240389369579
261,pagerank,3,0.0577661436681048
261,pagerank,4,0.0700338866158592
261,pagerank,5,0.06271342604200503
261,pagerank,6,0.11635366805723983
261,pagerank,7,0.1878027539441422
261,pagerank,8,0.36721076393564767
262,pagerank,1,0.057772720346223105
262,pagerank,2,0.09782921428050491
262,pagerank,3,0.056189052826025085
262,pagerank,4,0.07802069871510031
262,pagerank,5,0.0570604427442544
262,pagerank,6,0.11452623621718741
262,pagerank,7,0.35236755601017666
262,pagerank,8,0.18623407885753154
263,pagerank,1,0.05752748398550899
263,pagerank,2,0.08826014397761003
263,pagerank,3,0.0584891211867324
