method,oos_period,model,weight
full_gcsr_eigenvector,171,model_7,0.09985877153999376
full_gcsr_eigenvector,171,model_8,0.08883487810007067
full_gcsr_eigenvector,172,model_1,0.010927503821340273
full_gcsr_eigenvector,172,model_2,0.14228922865060575
full_gcsr_eigenvector,172,model_3,0.13458768264762017
full_gcsr_eigenvector,172,model_4,0.167832382664734
full_gcsr_eigenvector,172,model_5,0.1172788548972315
full_gcsr_eigenvector,172,model_6,0.21431337987916782
full_gcsr_eigenvector,172,model_7,0.07418722945359561
full_gcsr_eigenvector,172,model_8,0.13858373798470483
full_gcsr_eigenvector,173,model_1,0.022496033312224464
full_gcsr_eigenvector,173,model_2,0.11810999813006999
full_gcsr_eigenvector,173,model_3,0.1990990083427707
full_gcsr_eigenvector,173,model_4,0.11247544854335521
full_gcsr_eigenvector,173,model_5,0.1564975600315034
full_gcsr_eigenvector,173,model_6,0.1821803590286306
full_gcsr_eigenvector,173,model_7,0.06715251674463729
full_gcsr_eigenvector,173,model_8,0.1419890758658082
full_gcsr_eigenvector,174,model_1,0.0
full_gcsr_eigenvector,174,model_2,0.11446474851105723
full_gcsr_eigenvector,174,model_3,0.22115217321675557
full_gcsr_eigenvector,174,model_4,0.09162536665222598
full_gcsr_eigenvector,174,model_5,0.1627128151199315
full_gcsr_eigenvector,174,model_6,0.21498567326733095
full_gcsr_eigenvector,174,model_7,0.040474695860520174
full_gcsr_eigenvector,174,model_8,0.15458452737117845
full_gcsr_eigenvector,175,model_1,0.0
full_gcsr_eigenvector,175,model_2,0.11597294802662957
full_gcsr_eigenvector,175,model_3,0.20038352396065892
full_gcsr_eigenvector,175,model_4,0.12085903403214904
full_gcsr_eigenvector,175,model_5,0.13668647422051453
full_gcsr_eigenvector,175,model_6,0.2495797126379017
full_gcsr_eigenvector,175,model_7,0.050005411982713244
full_gcsr_eigenvector,175,model_8,0.12651289513843286
full_gcsr_eigenvector,176,model_1,0.02798540492894451
full_gcsr_eigenvector,176,model_2,0.11048316792218625
full_gcsr_eigenvector,176,model_3,0.2103255752433108
full_gcsr_eigenvector,176,model_4,0.11230191029741012
full_gcsr_eigenvector,176,model_5,0.14738414605166333
full_gcsr_eigenvector,176,model_6,0.19989653217183342
full_gcsr_eigenvector,176,model_7,0.06614152147639528
full_gcsr_eigenvector,176,model_8,0.12548174190725625
full_gcsr_eigenvector,177,model_1,0.029784379404852023
full_gcsr_eigenvector,177,model_2,0.10596626245478127
full_gcsr_eigenvector,177,model_3,0.20601006661858312
full_gcsr_eigenvector,177,model_4,0.11280253341494689
full_gcsr_eigenvector,177,model_5,0.16020074259342895
full_gcsr_eigenvector,177,model_6,0.1884317036881561
full_gcsr_eigenvector,177,model_7,0.06455014904874536
full_gcsr_eigenvector,177,model_8,0.1322541627755061
full_gcsr_eigenvector,178,model_1,0.026692484209831276
full_gcsr_eigenvector,178,model_2,0.09433782933483931
full_gcsr_eigenvector,178,model_3,0.2158920398849862
full_gcsr_eigenvector,178,model_4,0.11142917473792838
full_gcsr_eigenvector,178,model_5,0.16419229629676851
full_gcsr_eigenvector,178,model_6,0.18265810016380382
full_gcsr_eigenvector,178,model_7,0.07127020905091959
full_gcsr_eigenvector,178,model_8,0.13352786631992292
full_gcsr_eigenvector,179,model_1,0.029938700596678518
full_gcsr_eigenvector,179,model_2,0.09336243318507181
full_gcsr_eigenvector,179,model_3,0.22603921368616287
full_gcsr_eigenvector,179,model_4,0.11468356837508142
full_gcsr_eigenvector,179,model_5,0.1541839966226993
full_gcsr_eigenvector,179,model_6,0.19795883929543645
full_gcsr_eigenvector,179,model_7,0.056782062718482844
full_gcsr_eigenvector,179,model_8,0.1270511855193868
full_gcsr_eigenvector,180,model_1,0.027844666849742968
full_gcsr_eigenvector,180,model_2,0.09500905422271849
full_gcsr_eigenvector,180,model_3,0.22706035363307975
full_gcsr_eigenvector,180,model_4,0.1144192573329631
full_gcsr_eigenvector,180,model_5,0.15598441054640771
full_gcsr_eigenvector,180,model_6,0.19498824554815705
full_gcsr_eigenvector,180,model_7,0.05598813113410182
full_gcsr_eigenvector,180,model_8,0.12870588073182904
full_gcsr_eigenvector,181,model_1,0.02739041675094565
full_gcsr_eigenvector,181,model_2,0.08849493125328274
full_gcsr_eigenvector,181,model_3,0.22502251056886818
full_gcsr_eigenvector,181,model_4,0.11902945460350825
full_gcsr_eigenvector,181,model_5,0.15696960122983675
full_gcsr_eigenvector,181,model_6,0.19824359184034365
full_gcsr_eigenvector,181,model_7,0.057264078806025645
full_gcsr_eigenvector,181,model_8,0.12758541494618925
full_gcsr_eigenvector,182,model_1,0.019333170389697812
full_gcsr_eigenvector,182,model_2,0.0913277363542543
full_gcsr_eigenvector,182,model_3,0.2295088782172066
full_gcsr_eigenvector,182,model_4,0.12525772802427468
full_gcsr_eigenvector,182,model_5,0.15192989707747348
full_gcsr_eigenvector,182,model_6,0.1971171222750752
full_gcsr_eigenvector,182,model_7,0.0596353858823122
full_gcsr_eigenvector,182,model_8,0.1258900817787057
full_gcsr_eigenvector,183,model_1,0.046907996459613195
full_gcsr_eigenvector,183,model_2,0.039747849309712285
full_gcsr_eigenvector,183,model_3,0.41079542135313896
full_gcsr_eigenvector,183,model_4,0.06401425832716236
