oos_period,model,centrality_score
167,5,3.82105311011121e-08
167,6,1.054620498131268e-07
167,7,5.361703949457361e-08
167,8,5.705274090385513e-08
168,1,2.1936032122528328e-08
168,2,7.388619490886697e-08
168,3,0.9996324651959905
168,4,0.0003672766536359379
168,5,3.11183127242645e-08
168,6,5.212194137044633e-08
168,7,3.9503781968552205e-08
168,8,3.9583110346148186e-08
169,1,3.4684137681741895e-09
169,2,3.266857983301651e-06
169,3,0.9987480370183519
169,4,0.0012473632526225431
169,5,3.801841728638961e-09
169,6,1.317646762957059e-06
169,7,3.976920868706952e-09
169,8,3.97610305714827e-09
170,1,1.1638997924887174e-09
170,2,0.9013990005165375
170,3,0.0969000336637279
170,4,0.001700772502449744
170,5,1.197548905713451e-09
170,6,1.884941436419431e-07
170,7,1.2281317472184432e-09
170,8,1.2325605998343977e-09
171,1,1.337060964835164e-08
171,2,0.8555708434110578
171,3,0.00047263155854679805
171,4,0.1439564145918007
171,5,1.6483418421041364e-08
171,6,3.448151880240439e-08
171,7,2.2401364675699854e-08
171,8,2.3700683100913077e-08
172,1,2.694271928148075e-08
172,2,9.518478001370535e-08
172,3,0.002452599092112304
172,4,0.9975469958570375
172,5,4.568505033521685e-08
172,6,1.1718359028964314e-07
172,7,5.720072344702545e-08
172,8,6.285298671276968e-08
173,1,3.417630835636558e-08
173,2,1.5503502237824877e-07
173,3,0.99940053642849
173,4,0.0005988783318503515
173,5,5.591928403098885e-08
173,6,1.7378299467198344e-07
173,7,7.761815543980859e-08
173,8,8.8706894714775e-08
174,1,6.515270388883357e-09
174,2,9.608554010640324e-08
174,3,0.99327506656694
174,4,0.006715529893332766
174,5,7.26063650036188e-09
174,6,9.277510266692758e-06
174,7,7.932885001628603e-09
174,8,8.234128633231175e-09
175,1,5.3562611224932484e-12
175,2,4.670549065313486e-06
175,3,0.7300275144017326
175,4,0.12991553262735492
175,5,5.356846424323742e-12
175,6,0.14004810809889987
175,7,2.8621397478627505e-10
175,8,4.1740250201864115e-06
176,1,2.651256186174035e-08
176,2,7.048166533767223e-06
176,3,0.9997191931948524
176,4,9.633646229005422e-08
176,5,4.0610720995873705e-08
176,6,0.0002734747301861836
176,7,4.988070251539239e-08
176,8,7.056697991395878e-08
177,1,6.995844503580815e-09
177,2,8.115471804401633e-08
177,3,0.9987213133071166
177,4,0.0012728912631340432
177,5,7.972248577237543e-09
177,6,5.6813405547603676e-06
177,7,8.356178754524036e-09
177,8,9.609204718314863e-09
178,1,1.5372298484341866e-07
178,2,1.516348519269195e-05
178,3,0.9999369732678223
178,4,3.379599932242202e-05
178,5,6.317734461140401e-07
178,6,3.6714395505858434e-06
178,7,1.1362368378577487e-06
178,8,8.474073843312369e-06
179,1,1.8533888763023145e-07
179,2,3.6333859531991025e-05
179,3,0.9999048060019885
179,4,4.031139203977786e-05
179,5,9.208308070119426e-07
179,6,4.421441078136159e-06
179,7,2.0075938341400623e-06
179,8,1.1013540832798885e-05
180,1,2.8896536132309542e-08
180,2,1.3849228585785278e-07
180,3,0.9995608290868883
180,4,0.0004386602537998113
180,5,4.5813220056671936e-08
180,6,8.648793824852356e-08
180,7,5.712773061932478e-08
180,8,1.5384060099809078e-07
181,1,1.8368242400863597e-07
181,2,2.3249315842342684e-05
181,3,0.999890596802756
181,4,1.6059965230301045e-05
181,5,9.287969845254987e-07
181,6,3.2000734850231387e-06
181,7,2.0828832907724205e-06
181,8,6.369847898700364e-05
182,1,4.586801563549757e-08
182,2,1.6563658812358214e-05
182,3,0.9998529419717287
182,4,0.0001297586582044408
182,5,9.445236895485778e-08
182,6,1.4215241498305075e-07
182,7,1.308499670064464e-07
182,8,3.223874879895771e-07
183,1,6.426207077792819e-08
183,2,0.0002516305168653536
183,3,0.997903596970059
183,4,5.142937109881171e-07
183,5,1.676383376643375e-07
183,6,2.136157520871692e-07
183,7,2.680350539719754e-07
183,8,0.0018435446671501508
184,1,3.8160640047664064e-08
184,2,1.7607081935938112e-05
184,3,0.9998330932194761
184,4,0.00014851380620907397
184,5,7.267184416617841e-08
184,6,1.0618752183007717e-07
184,7,3.797159664191879e-07
184,8,1.8915540659551026e-07
185,1,2.7248857391296217e-07
185,2,5.636491095841227e-05
185,3,0.9996196350219326
185,4,0.0002755176551425403
185,5,2.366720088907646e-06
185,6,4.968896632293987e-06
185,7,3.931537209089071e-06
185,8,3.6942768462067234e-05
186,1,2.5350401912404793e-07
186,2,8.435795611211543e-05
186,3,0.999818117926414
186,4,1.601070131049146e-05
186,5,1.8528119079293874e-06
186,6,4.6243161885670705e-06
186,7,5.193482573917722e-06
186,8,6.95893004738883e-05
187,1,2.1804020396727045e-07
187,2,5.514909591539381e-05
187,3,0.9998480371130308
187,4,1.24455452476611e-05
187,5,1.7483143113252797e-06
187,6,2.930010060794333e-06
187,7,7.887409845015035e-06
187,8,7.158447038495549e-05
188,1,2.1609648511726096e-07
188,2,6.117052202451022e-05
188,3,0.999889497166774
188,4,7.426646643484359e-06
188,5,1.8809865570691714e-06
188,6,1.2663438323805018e-06
188,7,6.62338072727351e-06
188,8,3.191885595604321e-05
189,1,1.883560521176889e-07
189,2,4.523900764582984e-05
189,3,0.9999175203475394
189,4,3.958459097722401e-06
189,5,9.375513449712822e-07
189,6,1.2846015848743072e-06
189,7,6.3925547368565796e-06
189,8,2.4479120998247616e-05
190,1,1.3417463813050922e-06
190,2,0.05859027356648447
190,3,0.8204613816471984
190,4,0.001290656782996473
190,5,3.848425014671484e-05
190,6,0.00018022298234031948
190,7,0.0047583073767273895
190,8,0.11467933164672492
191,1,2.3156283973021e-07
191,2,0.9998262662384498
191,3,2.662496278887216e-05
191,4,1.0262339003799253e-05
191,5,2.051031750826945e-06
191,6,1.4584168617486271e-06
191,7,2.027793679497835e-05
191,8,0.00011282751051030266
192,1,1.8242125679377942e-07
192,2,0.999847172882991
192,3,2.821724522724727e-05
192,4,1.81091893531535e-06
192,5,9.163401309127535e-07
192,6,5.542742378091031e-06
192,7,1.3613054517466816e-05
192,8,0.00010254439356304388
193,1,3.813264396749874e-08
193,2,0.9991509940129301
193,3,2.125206206023242e-07
193,4,1.2394575833544642e-07
193,5,7.988417674020374e-08
193,6,7.163602105889288e-08
193,7,1.4359356850820715e-07
193,8,0.0008483362732806389
194,1,1.802442470370939e-07
194,2,2.21766798528779e-05
194,3,4.918993234825405e-05
194,4,2.9521537886454276e-06
194,5,1.8035250472672356e-06
194,6,2.6556071899696534e-06
194,7,1.0179767759006e-05
194,8,0.9999108620887669
195,1,2.456792326265814e-07
195,2,3.0786766373227506e-05
195,3,3.7874990728785926e-05
195,4,2.833185797026523e-06
195,5,2.651375833248473e-06
195,6,2.41225938175583e-06
195,7,1.7387320606254782e-05
195,8,0.999905808421047
196,1,2.0280744505927793e-07
196,2,3.725393762423437e-05
196,3,4.0895114336632156e-05
196,4,5.761506315695765e-06
196,5,3.0978065207175095e-06
196,6,1.1795406477776917e-06
196,7,1.6956628805983674e-05
196,8,0.9998946526573039
197,1,2.56759108597147e-08
197,2,0.00018536436511378812
197,3,0.0002609071840730635
197,4,5.410950252675321e-08
197,5,4.070952432132472e-08
197,6,0.14084705853681714
197,7,0.008205457283411257
197,8,0.850501092134647
198,1,2.0457239421958952e-07
198,2,2.5125979834045193e-05
198,3,3.889026549516449e-05
198,4,6.616281103046865e-06
198,5,2.9673500257183276e-06
198,6,9.949116205947842e-07
198,7,1.9953316601645366e-05
198,8,0.9999052473219255
199,1,2.256256001043601e-07
199,2,2.3264778077123862e-05
199,3,3.790198692572362e-05
199,4,4.263387850285961e-06
199,5,2.7696875912334956e-06
199,6,1.2124791171379916e-06
199,7,2.066551732355479e-05
199,8,0.9999096965365147
200,1,2.1946207755035674e-07
200,2,3.199392573532764e-05
200,3,4.148620312196339e-05
200,4,7.19541728832486e-06
200,5,3.006382834490022e-06
200,6,1.1785381358678424e-06
200,7,2.7657097438486912e-05
200,8,0.999887262972368
201,1,8.608217395039707e-09
201,2,0.09298726491836436
201,3,0.0012252543684865749
201,4,1.1591477321587943e-08
201,5,1.0954706165511361e-08
201,6,1.0097576769053734e-08
201,7,0.002164668370511707
201,8,0.9036227710896596
202,1,7.356459780838497e-08
202,2,4.504450458573794e-05
202,3,0.00014244827682413058
202,4,6.498049590379483e-05
