replication,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
11,1.1044525802745222,1.1074764191551816,1.1029049811740685,1.1034827811642542,1.1023661044546955,1.1001888473729249,1.8880183734695777,2.194178521322985,1.1197512339805658,1.1081893706633148,1.0413873786761942,0.9579312442243512,2.953741482943915,2.935774913107845,1.12361815944559,0.9815722188964486,2.860310787186124,0.9999999999978376
12,1.032501860078714,1.0269774684259172,1.0353479185969696,1.030366084227707,1.0325707637545882,1.0304317846842301,1.5201592586844406,1.9360226512255292,1.0565989626384924,0.9823485481214608,1.0071979152920822,0.9189195742490539,2.536879811697569,2.3159533240600245,1.0389306919127406,0.9377743188011723,2.337624428077421,0.9999999999983726
13,1.1117880590704077,1.117965326601558,1.1088819210617331,1.1098416564647162,1.1084966162169805,1.1079768387574895,1.8546520074767174,2.4727857937640145,1.1914158028002078,1.2300955935643616,1.1281098817551949,1.0723510235978404,3.0262047367149827,3.3167864142497203,1.1166416935636954,1.0851882578408916,3.0032830865035893,0.9999999999978136
14,1.021355269532528,1.0207929248930472,1.0168595915644927,1.0165676003428181,1.0141824832648358,1.0139998767929037,1.3643530086992735,1.6444875108288814,1.0581864436620985,1.0862271268519335,1.0231582759002185,0.9992670919943522,1.994803093529184,1.9481404851681074,1.0252108524602381,0.9246909609232202,1.864652867212123,0.9999999999990238
15,1.095589858936636,1.0887071514102988,1.0961163800283393,1.0934081985933868,1.0928221848954873,1.0900743461503972,1.7199474909860666,1.9482799060042162,1.0336021901728534,0.9988266395171412,1.019355819172933,0.9371483941211232,2.559524466619887,2.4258405023223437,1.1554160295800084,0.9740281629593731,2.038348429116794,0.9999999999981722
16,0.9594004919612176,0.9576332087384176,0.9659725496122302,0.9656409844104483,0.9650325076662074,0.9647933349613135,1.3765194769561013,1.5422114224889738,0.9937448308241351,0.9610869592069403,0.9453677338149173,0.8953219458909679,2.015970771309828,2.0061954881003743,0.9445916588382015,0.8115689410753628,1.7220451783907758,0.9999999999983388
17,1.1752585552904224,1.1714664865453361,1.180171696671563,1.1779808650081829,1.1758841190325853,1.1819258266945836,1.836869616331627,2.007843483610685,1.0967889983370718,1.0761323757189143,1.0341833817931416,1.1765049622897523,2.6103063403895193,2.2291894888413504,1.2115584658317204,1.0928962719268907,2.4876190530994813,0.9999999999981342
18,1.0266954056045239,1.0212332969282627,1.0202177803053432,1.0189381757986626,1.020022700367734,1.0166351026002238,2.0092826936602965,2.085843495760981,1.1361716132540283,1.1022602078511845,1.1045282535993886,0.9786412461454332,2.9257909655987815,2.738849667541551,1.0039155554464327,0.9225886297130551,2.3198084849129277,0.999999999998165
19,1.0779513490733845,1.0847116201749694,1.0774671276379122,1.0796216482898147,1.0741258848025628,1.0752860528242292,1.7666246307934714,2.066262101486432,1.0448737590766541,1.100659801049974,0.9313982241694704,0.943637698971447,2.8640595752804305,2.699487711592974,1.0936163188285395,1.0009810692085588,2.436422206958307,0.9999999999981946
20,1.0308657310762437,1.0457762358641578,1.0331889672374124,1.0385541763147006,1.0365692443702097,1.0382177222061217,1.3120582842154866,1.995907765564133,0.9835217253217585,1.0790521518997402,1.0955268144741803,1.047363087293652,2.0614670646496664,2.3691969667842465,1.085713579494555,0.936931537931826,2.1118266116856828,0.9999999999984727
