method,event_index,event_time,horizon,relative_gap
full_gcsr_v2_eigenvector,4,241,4,0.7602493712366262
full_gcsr_v2_eigenvector,4,241,5,0.9033313792183486
full_gcsr_v2_eigenvector,4,241,6,0.7904986738518743
full_gcsr_v2_eigenvector,4,241,7,0.5546331110797228
full_gcsr_v2_eigenvector,4,241,8,0.22649139448789904
full_gcsr_v2_eigenvector,4,241,9,0.2026697948506499
full_gcsr_v2_eigenvector,4,241,10,0.22110578583502233
full_gcsr_v2_eigenvector,4,241,11,0.18318898276987267
full_gcsr_v2_eigenvector,4,241,12,0.21961081995262827
full_gcsr_v2_eigenvector,4,241,13,0.29908290362484174
full_gcsr_v2_eigenvector,4,241,14,0.42545110949946496
full_gcsr_v2_eigenvector,4,241,15,0.4596541542464555
full_gcsr_v2_eigenvector,4,241,16,0.48664123756864885
full_gcsr_v2_eigenvector,4,241,17,0.5436775414736291
full_gcsr_v2_eigenvector,4,241,18,0.5761587905020269
full_gcsr_v2_eigenvector,4,241,19,0.6120776560683432
full_gcsr_v2_eigenvector,4,241,20,0.2203843681230437
full_gcsr_v2_eigenvector,4,241,21,0.2510348295280905
full_gcsr_v2_eigenvector,4,241,22,0.2721418600365775
full_gcsr_v2_eigenvector,4,241,23,0.24875700192987182
full_gcsr_v2_eigenvector,4,241,24,0.27653413570287855
full_gcsr_v2_eigenvector,5,269,0,1.0
full_gcsr_v2_eigenvector,5,269,1,1.0378800673285473
full_gcsr_v2_eigenvector,5,269,2,0.9741570121940653
full_gcsr_v2_eigenvector,5,269,3,0.9233372960555951
full_gcsr_v2_eigenvector,5,269,4,0.8566761243415387
full_gcsr_v2_eigenvector,5,269,5,0.7631492420358462
full_gcsr_v2_eigenvector,5,269,6,0.6506649307699458
full_gcsr_v2_eigenvector,5,269,7,0.5408340001689365
full_gcsr_v2_eigenvector,5,269,8,0.44681327726225334
full_gcsr_v2_eigenvector,5,269,9,0.3605948641893242
full_gcsr_v2_eigenvector,5,269,10,0.2817203238333743
full_gcsr_v2_eigenvector,5,269,11,0.21629841771139566
full_gcsr_v2_eigenvector,5,269,12,0.20002271522915083
full_gcsr_v2_eigenvector,5,269,13,0.1882683090982369
full_gcsr_v2_eigenvector,5,269,14,0.32921698445053793
full_gcsr_v2_eigenvector,5,269,15,0.35198937933630137
full_gcsr_v2_eigenvector,5,269,16,0.34783895213142735
full_gcsr_v2_eigenvector,5,269,17,0.3497629470494442
full_gcsr_v2_eigenvector,5,269,18,0.3688436606168574
full_gcsr_v2_eigenvector,5,269,19,0.3746811496680995
full_gcsr_v2_eigenvector,5,269,20,0.3791239458848582
full_gcsr_v2_eigenvector,5,269,21,0.404521482552789
full_gcsr_v2_eigenvector,5,269,22,0.4301891373209715
full_gcsr_v2_eigenvector,5,269,23,0.4709258481627458
full_gcsr_v2_eigenvector,5,269,24,0.5673348521714799
full_gcsr_v2_eigenvector,6,275,0,1.0
full_gcsr_v2_eigenvector,6,275,1,0.8312020128838908
full_gcsr_v2_eigenvector,6,275,2,0.6867025655332762
full_gcsr_v2_eigenvector,6,275,3,0.5541944050413544
full_gcsr_v2_eigenvector,6,275,4,0.4329729642874845
full_gcsr_v2_eigenvector,6,275,5,0.33242673376517323
full_gcsr_v2_eigenvector,6,275,6,0.30741278001944816
full_gcsr_v2_eigenvector,6,275,7,0.28934755846677485
full_gcsr_v2_eigenvector,6,275,8,0.5059700759667013
full_gcsr_v2_eigenvector,6,275,9,0.5409687270524703
full_gcsr_v2_eigenvector,6,275,10,0.5345899796994161
full_gcsr_v2_eigenvector,6,275,11,0.5375469469909223
full_gcsr_v2_eigenvector,6,275,12,0.566871892389216
