method,event_index,event_time,horizon,excess_risk
full_gcsr_eigenvector,5,269,11,0.32913008623282924
full_gcsr_eigenvector,5,269,12,0.30415904933530025
full_gcsr_eigenvector,5,269,13,0.4567118235433487
full_gcsr_eigenvector,5,269,14,0.5016190835997909
full_gcsr_eigenvector,5,269,15,0.5369227094570451
full_gcsr_eigenvector,5,269,16,0.2519556481898843
full_gcsr_eigenvector,5,269,17,0.5338452560299697
full_gcsr_eigenvector,5,269,18,0.25898284630330626
full_gcsr_eigenvector,5,269,19,0.5699822870614195
full_gcsr_eigenvector,5,269,20,0.5780002280918506
full_gcsr_eigenvector,5,269,21,0.2865104542851582
full_gcsr_eigenvector,5,269,22,0.6584217133610111
full_gcsr_eigenvector,5,269,23,0.7181709912767154
full_gcsr_eigenvector,5,269,24,0.8312839554006141
full_gcsr_eigenvector,6,275,0,0.34655434826155596
full_gcsr_eigenvector,6,275,1,0.8426668101979253
full_gcsr_eigenvector,6,275,2,0.6811732252049414
full_gcsr_eigenvector,6,275,3,0.36596279279315547
full_gcsr_eigenvector,6,275,4,0.37102804640105014
full_gcsr_eigenvector,6,275,5,0.32913008623282924
full_gcsr_eigenvector,6,275,6,0.30415904933530025
full_gcsr_eigenvector,6,275,7,0.4567118235433487
full_gcsr_eigenvector,6,275,8,0.5016190835997909
full_gcsr_eigenvector,6,275,9,0.5369227094570451
full_gcsr_eigenvector,6,275,10,0.2519556481898843
full_gcsr_eigenvector,6,275,11,0.5338452560299697
full_gcsr_eigenvector,6,275,12,0.25898284630330626
full_gcsr_eigenvector,6,275,13,0.5699822870614195
full_gcsr_eigenvector,6,275,14,0.5780002280918506
full_gcsr_eigenvector,6,275,15,0.2865104542851582
full_gcsr_eigenvector,6,275,16,0.6584217133610111
full_gcsr_eigenvector,6,275,17,0.7181709912767154
full_gcsr_eigenvector,6,275,18,0.8312839554006141
full_gcsr_eigenvector,6,275,19,0.5785509124764568
full_gcsr_eigenvector,6,275,20,1.054112885606617
full_gcsr_eigenvector,6,275,21,1.1923233294656386
full_gcsr_eigenvector,6,275,22,1.2768766617335476
full_gcsr_eigenvector,6,275,23,1.4107326711495416
full_gcsr_eigenvector,6,275,24,0.5754666568209625
full_gcsr_eigenvector,7,280,0,0.32913008623282924
full_gcsr_eigenvector,7,280,1,0.30415904933530025
full_gcsr_eigenvector,7,280,2,0.4567118235433487
full_gcsr_eigenvector,7,280,3,0.5016190835997909
full_gcsr_eigenvector,7,280,4,0.5369227094570451
full_gcsr_eigenvector,7,280,5,0.2519556481898843
full_gcsr_eigenvector,7,280,6,0.5338452560299697
full_gcsr_eigenvector,7,280,7,0.25898284630330626
full_gcsr_eigenvector,7,280,8,0.5699822870614195
full_gcsr_eigenvector,7,280,9,0.5780002280918506
full_gcsr_eigenvector,7,280,10,0.2865104542851582
full_gcsr_eigenvector,7,280,11,0.6584217133610111
full_gcsr_eigenvector,7,280,12,0.7181709912767154
full_gcsr_eigenvector,7,280,13,0.8312839554006141
full_gcsr_eigenvector,7,280,14,0.5785509124764568
full_gcsr_eigenvector,7,280,15,1.054112885606617
full_gcsr_eigenvector,7,280,16,1.1923233294656386
full_gcsr_eigenvector,7,280,17,1.2768766617335476
full_gcsr_eigenvector,7,280,18,1.4107326711495416
full_gcsr_eigenvector,7,280,19,0.5754666568209625
full_gcsr_eigenvector,7,280,20,
full_gcsr_eigenvector,7,280,21,
full_gcsr_eigenvector,7,280,22,
full_gcsr_eigenvector,7,280,23,
full_gcsr_eigenvector,7,280,24,
full_gcsr_pagerank,0,160,0,0.036573148567355274
full_gcsr_pagerank,0,160,1,0.01447997384685823
full_gcsr_pagerank,0,160,2,0.016575561351482
full_gcsr_pagerank,0,160,3,0.03271149513504956
full_gcsr_pagerank,0,160,4,0.02105683626646107
full_gcsr_pagerank,0,160,5,0.02562021690482763
full_gcsr_pagerank,0,160,6,0.02401718655742885
full_gcsr_pagerank,0,160,7,0.018792181410460962
full_gcsr_pagerank,0,160,8,0.031750086442186576
full_gcsr_pagerank,0,160,9,0.08028145621827865
full_gcsr_pagerank,0,160,10,0.05762866741172323
full_gcsr_pagerank,0,160,11,0.08205599685724005
full_gcsr_pagerank,0,160,12,0.06917350127299096
full_gcsr_pagerank,0,160,13,0.06878795758604878
full_gcsr_pagerank,0,160,14,0.06304010718380246
full_gcsr_pagerank,0,160,15,0.09488275607553992
full_gcsr_pagerank,0,160,16,0.05649554057949818
full_gcsr_pagerank,0,160,17,0.05786038059087428
full_gcsr_pagerank,0,160,18,0.059494568064808406
full_gcsr_pagerank,0,160,19,0.043298634942188524
full_gcsr_pagerank,0,160,20,0.06904359467940624
full_gcsr_pagerank,0,160,21,0.0917897475777315
full_gcsr_pagerank,0,160,22,0.05595344028402671
full_gcsr_pagerank,0,160,23,0.044283812260930866
full_gcsr_pagerank,0,160,24,0.09999561564612877
full_gcsr_pagerank,1,184,0,0.09999561564612877
full_gcsr_pagerank,1,184,1,0.0644042616478471
full_gcsr_pagerank,1,184,2,0.05302023823489582
full_gcsr_pagerank,1,184,3,0.04047419981113337
full_gcsr_pagerank,1,184,4,0.036876302800932015
full_gcsr_pagerank,1,184,5,0.05323673234851778
full_gcsr_pagerank,1,184,6,0.05320073624247154
full_gcsr_pagerank,1,184,7,0.09991575876210892
full_gcsr_pagerank,1,184,8,0.07306051896374299
full_gcsr_pagerank,1,184,9,0.09043662398082497
full_gcsr_pagerank,1,184,10,0.1753244935051646
full_gcsr_pagerank,1,184,11,0.3951747557798223
full_gcsr_pagerank,1,184,12,0.7259880639026103
full_gcsr_pagerank,1,184,13,0.6227257818785428
full_gcsr_pagerank,1,184,14,0.7106475101751326
full_gcsr_pagerank,1,184,15,0.8658174245458319
full_gcsr_pagerank,1,184,16,0.557992589776469
full_gcsr_pagerank,1,184,17,0.624478715546738
full_gcsr_pagerank,1,184,18,0.14128085670289717
full_gcsr_pagerank,1,184,19,0.540140950636243
full_gcsr_pagerank,1,184,20,0.7524791551726926
full_gcsr_pagerank,1,184,21,0.5936206090417444
full_gcsr_pagerank,1,184,22,0.5145528660109208
full_gcsr_pagerank,1,184,23,0.5841253462969807
full_gcsr_pagerank,1,184,24,0.47250996696073955
full_gcsr_pagerank,2,194,0,0.1753244935051646
full_gcsr_pagerank,2,194,1,0.3951747557798223
full_gcsr_pagerank,2,194,2,0.7259880639026103
full_gcsr_pagerank,2,194,3,0.6227257818785428
full_gcsr_pagerank,2,194,4,0.7106475101751326
full_gcsr_pagerank,2,194,5,0.8658174245458319
full_gcsr_pagerank,2,194,6,0.557992589776469
full_gcsr_pagerank,2,194,7,0.624478715546738
full_gcsr_pagerank,2,194,8,0.14128085670289717
full_gcsr_pagerank,2,194,9,0.540140950636243
full_gcsr_pagerank,2,194,10,0.7524791551726926
full_gcsr_pagerank,2,194,11,0.5936206090417444
full_gcsr_pagerank,2,194,12,0.5145528660109208
full_gcsr_pagerank,2,194,13,0.5841253462969807
full_gcsr_pagerank,2,194,14,0.47250996696073955
full_gcsr_pagerank,2,194,15,0.6429033928690165
full_gcsr_pagerank,2,194,16,0.5221862886042989
full_gcsr_pagerank,2,194,17,0.9707707749843795
full_gcsr_pagerank,2,194,18,1.50499684790965
full_gcsr_pagerank,2,194,19,0.6552074778301709
full_gcsr_pagerank,2,194,20,0.8891624739138275
full_gcsr_pagerank,2,194,21,0.7697859421547958
full_gcsr_pagerank,2,194,22,0.8034456013958253
full_gcsr_pagerank,2,194,23,1.224439575459903
full_gcsr_pagerank,2,194,24,1.4022891839857956
full_gcsr_pagerank,3,229,0,4.028072901595638
full_gcsr_pagerank,3,229,1,2.2306433488611233
full_gcsr_pagerank,3,229,2,2.581226975911802
full_gcsr_pagerank,3,229,3,2.2485858941042403
full_gcsr_pagerank,3,229,4,2.1147846513301474
full_gcsr_pagerank,3,229,5,2.4582498993438233
full_gcsr_pagerank,3,229,6,3.0005394113836994
full_gcsr_pagerank,3,229,7,3.1675519454330927
full_gcsr_pagerank,3,229,8,2.398589199564569
full_gcsr_pagerank,3,229,9,2.599187083660098
full_gcsr_pagerank,3,229,10,4.345162429564573
full_gcsr_pagerank,3,229,11,5.205195785058638
full_gcsr_pagerank,3,229,12,5.208916945990507
full_gcsr_pagerank,3,229,13,0.8134158225230063
full_gcsr_pagerank,3,229,14,2.6553642046205534
full_gcsr_pagerank,3,229,15,2.8408881617483566
full_gcsr_pagerank,3,229,16,3.0306585587241908
full_gcsr_pagerank,3,229,17,3.544354782471263
full_gcsr_pagerank,3,229,18,0.991968388398675
full_gcsr_pagerank,3,229,19,1.4757042477243314
full_gcsr_pagerank,3,229,20,1.059486175488364
full_gcsr_pagerank,3,229,21,1.5849477423244966
full_gcsr_pagerank,3,229,22,0.9173129239162512
full_gcsr_pagerank,3,229,23,1.250993819373444
full_gcsr_pagerank,3,229,24,1.8297094687595883
full_gcsr_pagerank,4,241,0,5.208916945990507
full_gcsr_pagerank,4,241,1,0.8134158225230063
full_gcsr_pagerank,4,241,2,2.6553642046205534
full_gcsr_pagerank,4,241,3,2.8408881617483566
full_gcsr_pagerank,4,241,4,3.0306585587241908
full_gcsr_pagerank,4,241,5,3.544354782471263
full_gcsr_pagerank,4,241,6,0.991968388398675
full_gcsr_pagerank,4,241,7,1.4757042477243314
full_gcsr_pagerank,4,241,8,1.059486175488364
full_gcsr_pagerank,4,241,9,1.5849477423244966
full_gcsr_pagerank,4,241,10,0.9173129239162512
full_gcsr_pagerank,4,241,11,1.250993819373444
full_gcsr_pagerank,4,241,12,1.8297094687595883
full_gcsr_pagerank,4,241,13,2.252002794587267
full_gcsr_pagerank,4,241,14,2.917030816428556
full_gcsr_pagerank,4,241,15,3.7365130339645383
full_gcsr_pagerank,4,241,16,2.8306901328560676
full_gcsr_pagerank,4,241,17,3.1294002956453872
full_gcsr_pagerank,4,241,18,3.7541764985941377
full_gcsr_pagerank,4,241,19,3.9154367349574484
full_gcsr_pagerank,4,241,20,4.689121672502789
full_gcsr_pagerank,4,241,21,4.757906637251901
full_gcsr_pagerank,4,241,22,4.950426859023274
full_gcsr_pagerank,4,241,23,5.480304688198427
full_gcsr_pagerank,4,241,24,5.52571801132966
full_gcsr_pagerank,5,269,0,2.6837352028932395
full_gcsr_pagerank,5,269,1,2.5999584998415983
full_gcsr_pagerank,5,269,2,3.0326370147672117
full_gcsr_pagerank,5,269,3,2.677150314679977
full_gcsr_pagerank,5,269,4,2.5089579498569075
full_gcsr_pagerank,5,269,5,2.5002356809308055
full_gcsr_pagerank,5,269,6,2.114856389471325
full_gcsr_pagerank,5,269,7,1.9313812580083642
full_gcsr_pagerank,5,269,8,1.9602217017836685
full_gcsr_pagerank,5,269,9,2.1825727045686727
full_gcsr_pagerank,5,269,10,1.840011280106156
full_gcsr_pagerank,5,269,11,2.0951781344985454
full_gcsr_pagerank,5,269,12,3.16798678559138
full_gcsr_pagerank,5,269,13,3.4374282964269303
full_gcsr_pagerank,5,269,14,2.7550776102466443
full_gcsr_pagerank,5,269,15,2.976168661584289
full_gcsr_pagerank,5,269,16,2.913682343352182
