event_index,replication,seed,event_time,oracle_pre,oracle_post,oracle_single_changed
70,11,53,256,6,0,True
71,11,53,279,0,3,True
72,11,53,310,3,4,True
73,11,53,380,4,0,True
74,12,54,200,7,0,True
75,12,54,215,0,2,True
76,12,54,372,2,1,True
77,13,55,203,2,1,True
78,13,55,224,5,1,True
79,13,55,363,1,4,True
80,14,56,234,1,7,True
81,14,56,252,7,0,True
82,14,56,259,0,1,True
83,14,56,358,1,0,True
84,14,56,382,0,5,True
85,15,57,202,1,2,True
86,15,57,208,2,4,True
87,15,57,211,4,2,True
88,15,57,233,2,3,True
89,15,57,247,3,1,True
90,15,57,264,1,4,True
91,15,57,277,4,0,True
92,15,57,280,0,4,True
93,15,57,288,4,3,True
94,15,57,318,3,1,True
95,15,57,357,1,4,True
96,17,59,203,5,3,True
97,17,59,211,3,5,True
98,17,59,224,5,2,True
99,17,59,260,2,3,True
100,17,59,273,3,2,True
101,17,59,277,2,3,True
102,18,60,206,3,5,True
103,18,60,217,5,2,True
104,18,60,228,2,4,True
105,18,60,334,4,2,True
106,19,61,214,0,7,True
107,19,61,241,7,0,True
108,19,61,265,0,2,True
109,19,61,299,2,5,True
110,19,61,323,5,7,True
111,19,61,332,7,5,True
112,19,61,353,5,2,True
113,19,61,375,2,3,True
114,19,61,385,3,6,True
115,20,62,232,2,1,True
116,20,62,271,7,1,True
117,20,62,324,1,7,True
118,20,62,387,7,4,True
119,21,63,220,4,0,True
120,21,63,271,0,7,True
121,21,63,287,7,4,True
122,21,63,336,4,7,True
123,21,63,355,7,0,True
124,22,64,228,0,5,True
125,22,64,247,5,2,True
126,22,64,260,2,0,True
127,22,64,264,0,6,True
128,22,64,277,6,2,True
129,22,64,333,2,1,True
130,23,65,206,2,6,True
131,23,65,244,6,1,True
132,23,65,258,1,6,True
133,23,65,265,6,1,True
134,23,65,302,1,2,True
135,23,65,334,1,5,True
136,23,65,355,5,1,True
137,24,66,245,0,1,True
138,24,66,289,1,5,True
139,24,66,292,5,4,True
140,24,66,310,4,1,True
141,24,66,320,1,4,True
142,25,67,202,0,7,True
143,25,67,206,7,0,True
144,25,67,221,0,5,True
145,25,67,232,5,7,True
146,25,67,249,7,6,True
147,25,67,279,6,0,True
148,25,67,294,0,7,True
149,25,67,299,7,3,True
150,25,67,305,3,4,True
151,25,67,382,4,6,True
152,25,67,399,6,5,True
153,26,68,205,4,7,True
154,26,68,233,7,0,True
155,26,68,236,0,4,True
156,26,68,244,0,3,True
157,26,68,266,0,3,True
158,26,68,323,3,5,True
159,26,68,337,5,4,True
160,26,68,370,4,5,True
161,27,69,205,7,1,True
162,27,69,227,1,7,True
163,27,69,260,7,0,True
164,27,69,281,0,6,True
165,27,69,288,6,7,True
166,27,69,302,7,0,True
167,27,69,355,0,3,True
168,27,69,392,7,5,True
169,28,70,201,1,3,True
170,28,70,204,3,1,True
171,28,70,263,1,5,True
172,28,70,280,5,4,True
173,28,70,319,4,3,True
174,28,70,333,3,5,True
175,28,70,337,5,3,True
176,28,70,341,3,5,True
177,28,70,347,5,3,True
178,28,70,359,3,4,True
179,28,70,396,4,1,True
180,29,71,221,1,5,True
181,29,71,243,5,1,True
182,29,71,246,1,5,True
183,29,71,251,5,4,True
184,29,71,259,4,5,True
185,29,71,275,5,0,True
186,29,71,288,0,3,True
187,29,71,292,3,1,True
188,29,71,309,1,0,True
189,29,71,358,0,1,True
190,29,71,362,6,1,True
191,29,71,372,1,3,True
192,29,71,385,3,1,True
193,29,71,399,1,0,True
194,30,72,255,4,0,True
195,30,72,370,0,7,True
196,31,73,204,4,1,True
197,31,73,214,1,6,True
198,31,73,218,6,1,True
199,31,73,252,1,0,True
200,31,73,390,0,4,True
201,31,73,394,4,0,True
202,31,73,398,0,4,True
203,32,74,226,4,2,True
204,32,74,245,2,0,True
205,32,74,263,0,6,True
206,32,74,278,6,2,True
207,32,74,322,2,5,True
208,32,74,343,5,6,True
209,32,74,368,6,2,True
210,33,75,206,6,7,True
211,33,75,234,7,6,True
212,33,75,253,6,0,True
213,33,75,277,0,7,True
214,33,75,281,7,3,True
215,33,75,305,3,7,True
216,33,75,319,7,0,True
217,33,75,323,7,3,True
218,33,75,327,3,7,True
219,34,76,226,7,4,True
220,34,76,233,0,4,True
221,34,76,248,4,3,True
222,34,76,302,3,1,True
223,34,76,308,1,3,True
224,34,76,318,3,2,True
225,34,76,324,2,3,True
226,34,76,354,3,7,True
227,35,77,251,2,5,True
228,35,77,301,5,0,True
229,36,78,229,4,7,True
230,36,78,349,7,6,True
231,36,78,396,6,1,True
232,37,79,202,5,3,True
233,37,79,325,3,0,True
234,37,79,328,0,7,True
235,37,79,355,7,5,True
236,37,79,359,5,1,True
237,37,79,363,1,7,True
238,37,79,376,7,5,True
239,38,80,240,1,7,True
240,38,80,263,7,1,True
241,38,80,271,1,7,True
242,38,80,300,7,1,True
243,38,80,331,1,7,True
244,38,80,368,1,7,True
245,39,81,211,5,1,True
246,39,81,222,1,3,True
247,39,81,235,3,6,True
248,39,81,245,6,5,True
249,39,81,251,6,1,True
250,39,81,302,1,7,True
251,39,81,311,7,1,True
252,39,81,336,1,0,True
253,40,82,218,0,4,True
254,40,82,225,4,7,True
255,40,82,242,7,0,True
256,40,82,251,0,6,True
257,40,82,266,0,2,True
258,40,82,282,2,6,True
259,40,82,300,6,2,True
260,40,82,303,2,7,True
261,40,82,322,7,2,True
262,40,82,367,2,7,True
263,41,83,224,6,5,True
264,41,83,227,5,7,True
265,41,83,251,7,5,True
266,41,83,260,5,6,True
267,41,83,279,6,5,True
268,41,83,296,5,1,True
269,41,83,316,1,4,True
270,41,83,372,4,1,True
271,42,84,213,5,1,True
272,42,84,242,1,5,True
273,42,84,303,5,3,True
274,42,84,378,3,5,True
275,42,84,392,5,4,True
276,43,85,320,0,7,True
277,43,85,396,7,0,True
278,44,86,212,4,1,True
279,44,86,247,3,4,True
280,44,86,282,4,1,True
281,44,86,305,1,4,True
282,44,86,311,4,1,True
283,44,86,349,1,4,True
284,44,86,392,4,0,True
285,45,87,201,1,4,True
286,45,87,204,4,1,True
287,45,87,247,1,4,True
288,45,87,277,4,1,True
289,45,87,320,1,2,True
290,45,87,357,2,0,True
291,45,87,376,0,1,True
292,45,87,394,1,3,True
293,46,88,309,3,6,True
294,46,88,312,6,3,True
295,46,88,370,3,1,True
296,47,89,220,2,3,True
297,47,89,227,3,2,True
298,47,89,316,2,4,True
299,48,90,240,1,4,True
300,48,90,290,4,1,True
301,48,90,313,1,3,True
302,48,90,341,1,3,True
303,48,90,356,3,4,True
304,49,91,241,4,2,True
305,49,91,335,2,4,True
306,49,91,376,4,5,True
