t,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8
51,0.13355588378542838,0.1261958453836151,0.05799416956216132,0.07762999447846818,0.1376664112183852,0.15442431204206325,0.14425274975737346,0.16828063377150512
52,0.13376115920339365,0.12654527252807476,0.0602166822255022,0.07959486969856958,0.13687604943303083,0.1523181211389757,0.14505681220866626,0.16563103356278697
53,0.13355577762822415,0.12731704210073974,0.06335072958598953,0.08255011409303611,0.13593724834668,0.1500836714368207,0.14520507748339553,0.1620003393241142
54,0.13338294358444955,0.1278102822959414,0.0665074583750021,0.0849853981626894,0.13521199765637032,0.14855577971122727,0.14472170798849707,0.15882443222482298
55,0.13341899865033655,0.12843756849764987,0.06729890227667983,0.08568631225231796,0.1345811181204373,0.1477011278066233,0.14525635574824675,0.15761961664670834
56,0.1327006559875149,0.12897034205546754,0.06961877662953306,0.08743558030269194,0.1335001372865547,0.14635375378671436,0.14538682114984353,0.15603393280067995
57,0.1323591849449849,0.1294977202339238,0.07217471046779665,0.08870607360799576,0.1322228651115372,0.14531357404886705,0.14518545348426676,0.15454041809962793
58,0.13235699571044282,0.13004740725171327,0.0734065450945316,0.08938308971374537,0.13107659862343116,0.14516216222424444,0.14542041676660147,0.1531467846142898
59,0.1323992078511797,0.13023884695405077,0.07418551049056385,0.08965514451265294,0.13019651304245075,0.14525575290379697,0.14600616627712623,0.15206285796717872
60,0.13276230560994376,0.13033989237104598,0.07433180515698577,0.08963586897490597,0.12959091195074807,0.14542196585352707,0.14680179729380122,0.15111545278804228
61,0.1331753572170272,0.13022280914449297,0.07588823142859985,0.09059094941513123,0.128470146415051,0.14473541235764767,0.14701739845699413,0.14989969556405597
62,0.13382026060024604,0.12999700297187283,0.07823738396047558,0.09237884396556141,0.12747279942698775,0.1433261812416304,0.1467242628740888,0.14804326495813713
63,0.1345639093208855,0.1299994674663939,0.07939155456714372,0.0933788034210432,0.12664180298299224,0.14267924281372732,0.1467254515993216,0.14661976782749245
64,0.1354800875190997,0.13024401620399872,0.07996219632539367,0.09418013153580149,0.12570484239129498,0.14233500313916808,0.1465798588026892,0.14551386408155415
65,0.13621644763588242,0.13015013719794166,0.08052427677660541,0.09505012597303047,0.12496554207758166,0.1419378297793274,0.14673659831808536,0.14441904224054547
66,0.136619184388895,0.12965412726799058,0.08217266753914065,0.09639849877140698,0.12452006337000013,0.14130846597251767,0.1462997913225499,0.14302720136649885
67,0.1371111588855504,0.12931174604350718,0.08327787191245835,0.09755176626055621,0.12403769133428927,0.1407920702929371,0.14603027658534018,0.1418874186843611
68,0.13724199306019266,0.12857843338227393,0.08489850461882034,0.09900968621914323,0.12372198335941374,0.1402111879636138,0.145607277912044,0.14073093348349827
69,0.13736976559032105,0.12791022418091602,0.0862817294572785,0.10037752662567168,0.1233231715439514,0.13960921070022114,0.14527638884565172,0.13985198305498828
70,0.13714790704727867,0.1272222048374302,0.08824741161095535,0.10190070271220139,0.12292775821875321,0.13894090608036722,0.1445880667460495,0.1390250427459645
71,0.13649837348374838,0.1264062700008469,0.09062742525620555,0.10355068898819675,0.12292734109309383,0.1382168298985099,0.14361574181146108,0.13815732946693765
72,0.13601201384937292,0.12551942037011105,0.09242269991725706,0.1048296689059011,0.12290116735120299,0.13757384708089387,0.1431761531163675,0.13756502940789342
73,0.13515282661541705,0.12492209227663578,0.09462331918557347,0.10627338774357266,0.12293777668944347,0.1366732360325819,0.14240929427896723,0.13700806717680836
74,0.1344554183189741,0.12450990756920614,0.09618485447706562,0.1074729587855727,0.1230508631225891,0.13594628430495076,0.14179964568677425,0.13658006773386733
75,0.13355081268886146,0.1240830398493526,0.09884579383700148,0.10918369878432457,0.12331339175515522,0.13473574551434647,0.14053361043852902,0.1357539071314291
76,0.13272386462350225,0.12374640762016408,0.10119782746175608,0.11052531905953182,0.12358330712113084,0.1337220071382505,0.13940962303717902,0.13509164393748532
77,0.13207298515859187,0.12353336363258034,0.10302789780094619,0.11143903556005857,0.12389671280220406,0.13316716506625526,0.13845440687343463,0.13440843310492906
78,0.13127395278021087,0.12354109545842333,0.10535601285966645,0.11270201810918637,0.12417302008008771,0.1324521308571704,0.13708238416291332,0.13341938569134146
79,0.13056230162470933,0.12354863839507733,0.10762154122648433,0.11404763496712542,0.12442826761346852,0.13167463493028408,0.13560799979301363,0.13250898144883716
80,0.13007484661055577,0.12358949394460436,0.10912534456501252,0.11502094718197729,0.12453947361833732,0.131220291714449,0.1345541194086604,0.13187548295540333
