TARGET_PERIOD,16,23,24,89,actual,period_dt,actual_level,actual_lag1
2016-12-01,0.6,0.9,1.4100000000000001,1.1,0.7000000000000001,2016-12-01,1.1,0.4
2017-03-01,-0.30000000000000004,0.2999999999999998,0.7629999999999999,0.9337,0.3999999999999999,2017-03-01,1.5,1.1
2017-06-01,-0.3999999999999999,-0.5,-0.4458929455,0.0,-0.19999999999999996,2017-06-01,1.3,1.5
2017-09-01,-0.30000000000000004,-0.10000000000000009,0.10688921049999989,0.19999999999999996,0.30000000000000004,2017-09-01,1.6,1.3
2017-12-01,-0.10000000000000009,-0.5,-0.19278378650000016,-0.10000000000000009,-0.30000000000000004,2017-12-01,1.3,1.6
2018-03-01,-0.10000000000000009,-0.19999999999999996,0.0566642611999999,0.16798127029999987,0.09999999999999987,2018-03-01,1.4,1.3
2018-06-01,0.10000000000000009,-0.09999999999999987,0.20000000000000018,0.07597254490000016,0.6000000000000001,2018-06-01,2.0,1.4
2018-09-01,-0.3999999999999999,-0.3999999999999999,-0.5,-0.1597874306,0.10000000000000009,2018-09-01,2.1,2.0
2018-12-01,-0.40000000000000013,-0.5,-0.6000000000000001,-0.7000000000000002,-0.6000000000000001,2018-12-01,1.5,2.1
2019-03-01,0.30000000000000004,0.10000000000000009,0.30000000000000004,0.07000000000000006,-0.10000000000000009,2019-03-01,1.4,1.5
2019-06-01,0.10000000000000009,0.20000000000000018,-0.1681015712999998,0.20000000000000018,-0.09999999999999987,2019-06-01,1.3,1.4
2019-09-01,0.5,0.30000000000000004,0.48984200480000006,0.19999999999999996,-0.5,2019-09-01,0.8,1.3
2019-12-01,0.7,0.7,0.3999999999999999,0.8,0.5,2019-12-01,1.3,0.8
2020-03-01,0.09999999999999987,0.0,0.24268400460000006,0.3875135934,-0.6000000000000001,2020-03-01,0.7,1.3
2020-06-01,0.7,0.6000000000000001,0.6000000000000001,0.8402282232,-0.39999999999999997,2020-06-01,0.3,0.7
2020-09-01,0.7,1.0,0.9159286908,1.2342723402,-0.6,2020-09-01,-0.3,0.3
2020-12-01,1.6,1.6,1.51,1.4000000000000001,0.0,2020-12-01,-0.3,-0.3
2021-03-01,0.8,1.5,1.0930614887,1.6,1.6,2021-03-01,1.3,-0.3
2021-06-01,0.5999999999999999,-0.4,-0.3327223227,0.7,0.5999999999999999,2021-06-01,1.9,1.3
2021-09-01,-1.2,-0.7,-0.9155999999999999,-0.3899999999999999,1.5,2021-09-01,3.4,1.9
2021-12-01,-2.7,-2.2,-2.2714847104,-1.777,1.6,2021-12-01,5.0,3.4
2022-03-01,-3.1,-3.8,-3.9885347376,-3.8,2.4000000000000004,2022-03-01,7.4,5.0
2022-06-01,-5.4,-6.0,-6.1616919332,-6.0,1.1999999999999993,2022-06-01,8.6,7.4
2022-09-01,-6.8,-7.3,-7.058832,-7.199999999999999,1.3000000000000007,2022-09-01,9.9,8.6
2022-12-01,-8.1,-8.1,-7.700741943500001,-8.9,-0.7000000000000011,2022-12-01,9.2,9.9
2023-03-01,-5.299999999999999,-7.8999999999999995,-4.2340378657999995,-7.799999999999999,-2.299999999999999,2023-03-01,6.9,9.2
2023-06-01,-4.2,-3.2,-2.4259112222000008,-4.0,-1.4000000000000004,2023-06-01,5.5,6.9
2023-09-01,-2.2,0.2999999999999998,-0.6216306200000004,-1.7000000000000002,-1.2000000000000002,2023-09-01,4.3,5.5
2023-12-01,-0.5,0.7999999999999998,-1.5999999999999996,-1.5999999999999996,-1.4,2023-12-01,2.9,4.3
