oos_period,variant,row_model,col_model,sigma
26,legacy,7,1,1e-06
26,legacy,7,2,1e-06
26,legacy,7,3,1e-06
26,legacy,7,4,1e-06
26,legacy,7,5,1e-06
26,legacy,7,6,1e-06
26,legacy,7,7,0.0
26,legacy,7,8,1e-06
26,legacy,7,9,1e-06
26,legacy,7,10,1e-06
26,legacy,7,11,1e-06
26,legacy,8,1,1e-06
26,legacy,8,2,1e-06
26,legacy,8,3,1e-06
26,legacy,8,4,1e-06
26,legacy,8,5,1e-06
26,legacy,8,6,1e-06
26,legacy,8,7,1e-06
26,legacy,8,8,0.0
26,legacy,8,9,1e-06
26,legacy,8,10,1e-06
26,legacy,8,11,1e-06
26,legacy,9,1,1e-06
26,legacy,9,2,1e-06
26,legacy,9,3,1e-06
26,legacy,9,4,1e-06
26,legacy,9,5,1e-06
26,legacy,9,6,1e-06
26,legacy,9,7,1e-06
26,legacy,9,8,1e-06
26,legacy,9,9,0.0
26,legacy,9,10,1e-06
26,legacy,9,11,1e-06
26,legacy,10,1,1e-06
26,legacy,10,2,1e-06
26,legacy,10,3,1e-06
26,legacy,10,4,1e-06
26,legacy,10,5,1e-06
26,legacy,10,6,1e-06
26,legacy,10,7,1e-06
26,legacy,10,8,1e-06
26,legacy,10,9,1e-06
26,legacy,10,10,0.0
26,legacy,10,11,1e-06
26,legacy,11,1,1e-06
26,legacy,11,2,1e-06
26,legacy,11,3,1e-06
26,legacy,11,4,1e-06
26,legacy,11,5,1e-06
26,legacy,11,6,0.018950753432737444
26,legacy,11,7,1e-06
26,legacy,11,8,1e-06
26,legacy,11,9,1e-06
26,legacy,11,10,1e-06
26,legacy,11,11,0.0
27,legacy,1,1,0.0
27,legacy,1,2,0.030057711883199546
27,legacy,1,3,1e-06
27,legacy,1,4,1e-06
27,legacy,1,5,1e-06
27,legacy,1,6,1e-06
27,legacy,1,7,1e-06
27,legacy,1,8,1e-06
27,legacy,1,9,1e-06
27,legacy,1,10,1e-06
27,legacy,1,11,1e-06
27,legacy,2,1,0.030057711883199546
27,legacy,2,2,0.0
27,legacy,2,3,0.0039525449153706834
27,legacy,2,4,1e-06
27,legacy,2,5,0.06270868468952381
27,legacy,2,6,1e-06
27,legacy,2,7,1e-06
27,legacy,2,8,1e-06
27,legacy,2,9,0.05244916106888353
27,legacy,2,10,1e-06
27,legacy,2,11,1e-06
27,legacy,3,1,1e-06
27,legacy,3,2,0.0039525449153706834
27,legacy,3,3,0.0
27,legacy,3,4,1e-06
27,legacy,3,5,0.027783885652474607
27,legacy,3,6,0.034793558310419054
27,legacy,3,7,1e-06
27,legacy,3,8,1e-06
27,legacy,3,9,1e-06
27,legacy,3,10,1e-06
27,legacy,3,11,0.03097676384410475
27,legacy,4,1,1e-06
27,legacy,4,2,1e-06
27,legacy,4,3,1e-06
27,legacy,4,4,0.0
27,legacy,4,5,0.015840263487530107
27,legacy,4,6,1e-06
27,legacy,4,7,1e-06
27,legacy,4,8,1e-06
27,legacy,4,9,1e-06
27,legacy,4,10,1e-06
27,legacy,4,11,1e-06
27,legacy,5,1,1e-06
27,legacy,5,2,0.06270868468952381
27,legacy,5,3,0.027783885652474607
27,legacy,5,4,0.015840263487530107
27,legacy,5,5,0.0
27,legacy,5,6,1e-06
27,legacy,5,7,1e-06
27,legacy,5,8,1e-06
27,legacy,5,9,1e-06
27,legacy,5,10,0.010788865838310097
27,legacy,5,11,1e-06
27,legacy,6,1,1e-06
27,legacy,6,2,1e-06
