oos_period,row_model,col_model,adjacency_matrice
48,3,4,6534.653465346547
48,3,5,2376.2376237623866
48,3,6,0.0
48,3,7,1782.1782178218073
48,3,8,983.3232917297313
48,3,9,0.2640427576482207
48,3,10,5183.238919537517
48,3,11,11507.340664617366
48,4,1,1507.881643872759
48,4,2,0.0
48,4,3,0.0
48,4,4,0.0
48,4,5,0.0
48,4,6,0.37789409457416423
48,4,7,0.0
48,4,8,0.0
48,4,9,0.0
48,4,10,2.571163236326998
48,4,11,2.612577255024755
48,5,1,0.987832444362746
48,5,2,0.0
48,5,3,0.0
48,5,4,1612.322429509624
48,5,5,0.0
48,5,6,0.0
48,5,7,0.0
48,5,8,0.0
48,5,9,0.0
48,5,10,1.5169460861721658
48,5,11,4878.534290100671
48,6,1,332.179805258373
48,6,2,2.146110591910586
48,6,3,7.231720045763371
48,6,4,0.0
48,6,5,1.6231455836219237
48,6,6,0.0
48,6,7,1.718861773548013
48,6,8,0.0
48,6,9,0.8994080549656656
48,6,10,0.027504353725282357
48,6,11,14977.544191090776
48,7,1,0.18882617948978195
48,7,2,0.0
48,7,3,0.0
48,7,4,2961.157684518534
48,7,5,1310.586431143061
48,7,6,0.0
48,7,7,0.0
48,7,8,0.0
48,7,9,0.3847738930126572
48,7,10,3401.0607017157054
48,7,11,5472.593696041243
48,8,1,0.0
48,8,2,8302.81782365689
48,8,3,0.0
48,8,4,0.17956633990171936
48,8,5,8460.319763538495
48,8,6,4.118163139786806
48,8,7,7149.733332395432
48,8,8,0.0
48,8,9,0.0
48,8,10,15969.875216608267
48,8,11,20291.70949295076
48,9,1,0.0
48,9,2,0.0
48,9,3,0.0
48,9,4,5973.965303051692
48,9,5,3401.6754678590255
48,9,6,0.0
48,9,7,0.0
48,9,8,0.24658691185205361
48,9,9,0.0
48,9,10,1.4951359245230849
48,9,11,13545.261225172499
48,10,1,0.0
48,10,2,0.0
48,10,3,0.0
48,10,4,0.0
48,10,5,0.0
48,10,6,0.0
48,10,7,0.0
48,10,8,0.0
48,10,9,0.0
48,10,10,0.0
48,10,11,2071.53299432553
48,11,1,0.0
48,11,2,0.0
48,11,3,0.0
48,11,4,0.0
48,11,5,0.0
48,11,6,0.0
48,11,7,0.0
48,11,8,0.0
48,11,9,0.0
48,11,10,0.0
48,11,11,0.0
49,1,1,0.0
49,1,2,0.0
49,1,3,682.8782898938231
49,1,4,0.0
49,1,5,3432.5351208973734
49,1,6,2583.701283356406
49,1,7,0.0
49,1,8,2998.9319754287058
49,1,9,2.1004597473581876
49,1,10,1.2564122416597348
49,1,11,0.0
49,2,1,0.6472031198989202
49,2,2,0.0
49,2,3,396.039603960415
49,2,4,0.044916880495429315
49,2,5,0.07907076773210027
49,2,6,2.318058614900393
49,2,7,99.00990099010289
49,2,8,6435.643564356484
49,2,9,0.6021417206365469
49,2,10,1.390286185235272
49,2,11,0.0
49,3,1,0.0
49,3,2,0.0
49,3,3,0.0
49,3,4,0.0
49,3,5,0.0
49,3,6,6039.603960396032
