oos_period,row_model,col_model,mu_matrice
68,9,8,-1.5574222496295584
68,9,9,0.0
68,9,10,-3.369383686858671
68,9,11,0.4723589191702124
68,10,1,0.021943989001407656
68,10,2,2.3603147804408184
68,10,3,3.292824504463784
68,10,4,1.995950442521133
68,10,5,0.3024618227792911
68,10,6,0.3241788155806823
68,10,7,2.609720225893676
68,10,8,1.2414300991210492
68,10,9,3.369383686858671
68,10,10,0.0
68,10,11,2.9571641969994418
68,11,1,-1.2860270420448212
68,11,2,-0.5968494165586238
68,11,3,-0.15970879652738135
68,11,4,-0.8028429836753215
68,11,5,-1.4053435821448406
68,11,6,-1.1430673492449759
68,11,7,-0.3474439711057649
68,11,8,-1.1452027597703294
68,11,9,-0.4723589191702124
68,11,10,-2.9571641969994418
68,11,11,0.0
69,1,1,0.0
69,1,2,0.26086342020953546
69,1,3,1.0092144613253087
69,1,4,0.5493376730621197
69,1,5,-0.31718828606766986
69,1,6,0.15254024508321956
69,1,7,0.5403425105285711
69,1,8,0.49514191695164467
69,1,9,0.794765465259775
69,1,10,0.017003704274076204
69,1,11,0.9874876209062365
69,2,1,-0.26086342020953546
69,2,2,0.0
69,2,3,0.7483510411157733
69,2,4,0.5401273979099064
69,2,5,-0.4257997212545821
69,2,6,-0.24495500304228596
69,2,7,-0.01840055749083056
69,2,8,-0.2560961189726521
69,2,9,0.35019784076872934
69,2,10,-0.07948754089914732
69,2,11,0.7266242006967011
69,3,1,-1.0092144613253087
69,3,2,-0.7483510411157733
69,3,3,0.0
69,3,4,-0.016233836089784705
69,3,5,-1.1741507623703549
69,3,6,-0.237915709137823
69,3,7,-0.1716837467040334
69,3,8,-2.409551802308227
69,3,9,-0.2144489960655335
69,3,10,-0.7163448265720698
69,3,11,0.27700552980217363
69,4,1,-0.5493376730621197
69,4,2,-0.5401273979099064
69,4,3,0.016233836089784705
69,4,4,0.0
69,4,5,-0.9659271191644886
69,4,6,-0.4838936074374275
69,4,7,-0.558527955400737
69,4,8,-1.431700822578506
69,4,9,-0.006225352859666354
69,4,10,-1.0549635903105128
69,4,11,1.026381036763252
69,5,1,0.31718828606766986
69,5,2,0.4257997212545821
69,5,3,1.1741507623703549
69,5,4,0.9659271191644886
69,5,5,0.0
69,5,6,0.46581677586183157
69,5,7,0.4073991637637514
69,5,8,-0.9414479349400913
69,5,9,0.9597017663048221
69,5,10,-0.23053959845844338
69,5,11,1.1524239219512822
69,6,1,-0.15254024508321956
69,6,2,0.24495500304228596
69,6,3,0.237915709137823
69,6,4,0.4838936074374275
69,6,5,-0.46581677586183157
69,6,6,0.0
69,6,7,-0.06864286324733689
69,6,8,-0.7214126818557718
69,6,9,0.46250622046367934
69,6,10,-0.31288161312634327
69,6,11,0.3919283261642154
69,7,1,-0.5403425105285711
69,7,2,0.01840055749083056
69,7,3,0.1716837467040334
69,7,4,0.558527955400737
69,7,5,-0.4073991637637514
69,7,6,0.06864286324733689
69,7,7,0.0
69,7,8,-0.3696931938820721
69,7,9,0.5523026025410703
69,7,10,-0.3065193940718081
69,7,11,0.7450247581875311
69,8,1,-0.49514191695164467
69,8,2,0.2560961189726521
69,8,3,2.409551802308227
69,8,4,1.431700822578506
69,8,5,0.9414479349400913
69,8,6,0.7214126818557718
69,8,7,0.3696931938820721
69,8,8,0.0
69,8,9,1.0000241547426298
69,8,10,1.3992538707383784
69,8,11,1.0002756673637057
69,9,1,-0.794765465259775
69,9,2,-0.35019784076872934
69,9,3,0.2144489960655335
69,9,4,0.006225352859666354
69,9,5,-0.9597017663048221
69,9,6,-0.46250622046367934
69,9,7,-0.5523026025410703
69,9,8,-1.0000241547426298
69,9,9,0.0
69,9,10,-0.7705223071598061
69,9,11,0.11982969459513391
69,10,1,-0.017003704274076204
69,10,2,0.07948754089914732
69,10,3,0.7163448265720698
69,10,4,1.0549635903105128
69,10,5,0.23053959845844338
69,10,6,0.31288161312634327
69,10,7,0.3065193940718081
69,10,8,-1.3992538707383784
69,10,9,0.7705223071598061
69,10,10,0.0
69,10,11,0.6946179861529957
69,11,1,-0.9874876209062365
69,11,2,-0.7266242006967011
69,11,3,-0.27700552980217363
69,11,4,-1.026381036763252
69,11,5,-1.1524239219512822
69,11,6,-0.3919283261642154
69,11,7,-0.7450247581875311
69,11,8,-1.0002756673637057
69,11,9,-0.11982969459513391
69,11,10,-0.6946179861529957
69,11,11,0.0
70,1,1,0.0
70,1,2,0.16128349788434398
70,1,3,0.21942172073342578
70,1,4,0.660578685868689
70,1,5,-0.06936218647257231
70,1,6,0.16610826035037157
70,1,7,0.19519556694662119
70,1,8,0.5634026279381922
70,1,9,-0.03646789985895787
70,1,10,-0.014010672438410986
70,1,11,0.9910710874556601
70,2,1,-0.16128349788434398
70,2,2,0.0
70,2,3,0.058138222849081524
70,2,4,0.2795345557122694
70,2,5,-0.2995345557122695
70,2,6,-0.20354625389390268
70,2,7,-1.033145275035264
70,2,8,1.4782087447108554
70,2,9,0.3193104565986493
70,2,10,-0.3673101114326429
70,2,11,1.3879125528913945
70,3,1,-0.21942172073342578
70,3,2,-0.058138222849081524
70,3,3,0.0
70,3,4,0.2213963328631878
70,3,5,0.166508445449896
70,3,6,-0.10672118993855106
70,3,7,-0.45051857251255656
70,3,8,1.4200705218617737
70,3,9,-0.2558896205923834
70,3,10,0.163872230068975
70,3,11,1.329774330042312
70,4,1,-0.660578685868689
70,4,2,-0.2795345557122694
70,4,3,-0.2213963328631878
70,4,4,0.0
70,4,5,-0.5790691114245385
70,4,6,-0.377932704672157
70,4,7,-1.312679830747534
70,4,8,0.3384911745645398
70,4,9,-0.4772859534555712
70,4,10,-0.8051962547940779
70,4,11,1.24620444700372
70,5,1,0.06936218647257231
70,5,2,0.2995345557122695
70,5,3,-0.166508445449896
70,5,4,0.5790691114245385
70,5,5,0.0
70,5,6,0.5589203964868653
70,5,7,-0.7336107193229944
70,5,8,1.1642688690467444
70,5,9,0.10178315796896793
70,5,10,-0.21943929820121635
70,5,11,1.6874471086036633
70,6,1,-0.16610826035037157
70,6,2,0.20354625389390268
70,6,3,0.10672118993855106
70,6,4,0.377932704672157
70,6,5,-0.5589203964868653
70,6,6,0.0
70,6,7,-1.1618617771509192
70,6,8,1.3494922425952007
70,6,9,-0.3264678998589562
70,6,10,-0.3207869068202558
70,6,11,0.7491177319803176
70,7,1,-0.19519556694662119
