oos_period,variant,row_model,col_model,adjacency
22,legacy,1,1,0.0
22,legacy,1,2,6.897306913343359
22,legacy,1,3,0.0
22,legacy,1,4,462.3847664468969
22,legacy,1,5,17.728832345505822
22,legacy,1,6,277.71400040695386
22,legacy,1,7,1.3089170157538232
22,legacy,1,8,5775.603645856883
22,legacy,1,9,0.0
22,legacy,1,10,0.9390635705242867
22,legacy,1,11,0.0
22,legacy,2,1,0.0
22,legacy,2,2,0.0
22,legacy,2,3,747.0847084708523
22,legacy,2,4,170.8307078390337
22,legacy,2,5,584.7642392226668
22,legacy,2,6,0.0
22,legacy,2,7,0.0
22,legacy,2,8,1763.438802228373
22,legacy,2,9,0.0
22,legacy,2,10,1010.9960889353762
22,legacy,2,11,472.9493430198391
22,legacy,3,1,40.129541712319295
22,legacy,3,2,0.0
22,legacy,3,3,0.0
22,legacy,3,4,0.0
22,legacy,3,5,0.0
22,legacy,3,6,50.81067007731751
22,legacy,3,7,0.0
22,legacy,3,8,143.40968037038533
22,legacy,3,9,350.02906053230043
22,legacy,3,10,0.0
22,legacy,3,11,0.0
22,legacy,4,1,0.0
22,legacy,4,2,0.0
22,legacy,4,3,159.03061878165076
22,legacy,4,4,0.0
22,legacy,4,5,2.0614398727042214
22,legacy,4,6,0.0
22,legacy,4,7,0.0
22,legacy,4,8,0.0
22,legacy,4,9,204.87097787718486
22,legacy,4,10,407.3058077137415
22,legacy,4,11,0.0
22,legacy,5,1,0.0
22,legacy,5,2,0.0
22,legacy,5,3,329.32578915284057
22,legacy,5,4,0.0
22,legacy,5,5,0.0
22,legacy,5,6,0.0
22,legacy,5,7,0.0
22,legacy,5,8,143.40968037038533
22,legacy,5,9,0.0
22,legacy,5,10,0.0
22,legacy,5,11,0.0
22,legacy,6,1,0.0
22,legacy,6,2,0.0
22,legacy,6,3,0.0
22,legacy,6,4,184.67076603994434
22,legacy,6,5,1053.7023433373176
22,legacy,6,6,0.0
22,legacy,6,7,0.0
22,legacy,6,8,1763.438802228373
22,legacy,6,9,87.50726513307511
22,legacy,6,10,0.0
22,legacy,6,11,266.1532456832632
22,legacy,7,1,0.0
22,legacy,7,2,459.4458872553252
22,legacy,7,3,0.0
22,legacy,7,4,74.37751959240074
