method,oos_period,model,weight
recent_best,209,model_6,0.0
recent_best,209,model_7,1.0
recent_best,209,model_8,0.0
recent_best,210,model_1,0.0
recent_best,210,model_2,0.0
recent_best,210,model_3,0.0
recent_best,210,model_4,0.0
recent_best,210,model_5,0.0
recent_best,210,model_6,0.0
recent_best,210,model_7,1.0
recent_best,210,model_8,0.0
recent_best,211,model_1,0.0
recent_best,211,model_2,0.0
recent_best,211,model_3,0.0
recent_best,211,model_4,0.0
recent_best,211,model_5,0.0
recent_best,211,model_6,0.0
recent_best,211,model_7,1.0
recent_best,211,model_8,0.0
recent_best,212,model_1,0.0
recent_best,212,model_2,0.0
recent_best,212,model_3,0.0
recent_best,212,model_4,0.0
recent_best,212,model_5,0.0
recent_best,212,model_6,0.0
recent_best,212,model_7,1.0
recent_best,212,model_8,0.0
recent_best,213,model_1,0.0
recent_best,213,model_2,0.0
recent_best,213,model_3,0.0
recent_best,213,model_4,0.0
recent_best,213,model_5,0.0
recent_best,213,model_6,0.0
recent_best,213,model_7,1.0
recent_best,213,model_8,0.0
recent_best,214,model_1,0.0
recent_best,214,model_2,1.0
recent_best,214,model_3,0.0
recent_best,214,model_4,0.0
recent_best,214,model_5,0.0
recent_best,214,model_6,0.0
recent_best,214,model_7,0.0
recent_best,214,model_8,0.0
recent_best,215,model_1,0.0
recent_best,215,model_2,1.0
recent_best,215,model_3,0.0
recent_best,215,model_4,0.0
recent_best,215,model_5,0.0
recent_best,215,model_6,0.0
recent_best,215,model_7,0.0
recent_best,215,model_8,0.0
recent_best,216,model_1,0.0
recent_best,216,model_2,1.0
recent_best,216,model_3,0.0
recent_best,216,model_4,0.0
recent_best,216,model_5,0.0
recent_best,216,model_6,0.0
recent_best,216,model_7,0.0
recent_best,216,model_8,0.0
recent_best,217,model_1,0.0
recent_best,217,model_2,1.0
recent_best,217,model_3,0.0
recent_best,217,model_4,0.0
recent_best,217,model_5,0.0
recent_best,217,model_6,0.0
recent_best,217,model_7,0.0
recent_best,217,model_8,0.0
recent_best,218,model_1,0.0
recent_best,218,model_2,1.0
recent_best,218,model_3,0.0
recent_best,218,model_4,0.0
recent_best,218,model_5,0.0
recent_best,218,model_6,0.0
recent_best,218,model_7,0.0
recent_best,218,model_8,0.0
recent_best,219,model_1,0.0
recent_best,219,model_2,0.0
recent_best,219,model_3,0.0
recent_best,219,model_4,0.0
recent_best,219,model_5,1.0
recent_best,219,model_6,0.0
recent_best,219,model_7,0.0
recent_best,219,model_8,0.0
recent_best,220,model_1,0.0
recent_best,220,model_2,1.0
recent_best,220,model_3,0.0
recent_best,220,model_4,0.0
recent_best,220,model_5,0.0
recent_best,220,model_6,0.0
recent_best,220,model_7,0.0
recent_best,220,model_8,0.0
recent_best,221,model_1,0.0
recent_best,221,model_2,0.0
recent_best,221,model_3,0.0
recent_best,221,model_4,0.0
recent_best,221,model_5,1.0
recent_best,221,model_6,0.0
recent_best,221,model_7,0.0
recent_best,221,model_8,0.0
recent_best,222,model_1,0.0
recent_best,222,model_2,0.0
recent_best,222,model_3,0.0
recent_best,222,model_4,0.0
recent_best,222,model_5,1.0
recent_best,222,model_6,0.0
recent_best,222,model_7,0.0
recent_best,222,model_8,0.0
recent_best,223,model_1,0.0
recent_best,223,model_2,1.0
recent_best,223,model_3,0.0
recent_best,223,model_4,0.0
recent_best,223,model_5,0.0
recent_best,223,model_6,0.0
recent_best,223,model_7,0.0
recent_best,223,model_8,0.0
recent_best,224,model_1,0.0
recent_best,224,model_2,1.0
recent_best,224,model_3,0.0
recent_best,224,model_4,0.0
recent_best,224,model_5,0.0
recent_best,224,model_6,0.0
recent_best,224,model_7,0.0
recent_best,224,model_8,0.0
recent_best,225,model_1,0.0
recent_best,225,model_2,1.0
recent_best,225,model_3,0.0
recent_best,225,model_4,0.0
recent_best,225,model_5,0.0
recent_best,225,model_6,0.0
recent_best,225,model_7,0.0
recent_best,225,model_8,0.0
recent_best,226,model_1,0.0
recent_best,226,model_2,1.0
recent_best,226,model_3,0.0
recent_best,226,model_4,0.0
recent_best,226,model_5,0.0
recent_best,226,model_6,0.0
recent_best,226,model_7,0.0
recent_best,226,model_8,0.0
recent_best,227,model_1,0.0
recent_best,227,model_2,1.0
recent_best,227,model_3,0.0
recent_best,227,model_4,0.0
recent_best,227,model_5,0.0
recent_best,227,model_6,0.0
recent_best,227,model_7,0.0
recent_best,227,model_8,0.0
recent_best,228,model_1,0.0
recent_best,228,model_2,1.0
recent_best,228,model_3,0.0
recent_best,228,model_4,0.0
recent_best,228,model_5,0.0
recent_best,228,model_6,0.0
recent_best,228,model_7,0.0
recent_best,228,model_8,0.0
recent_best,229,model_1,0.0
recent_best,229,model_2,1.0
recent_best,229,model_3,0.0
recent_best,229,model_4,0.0
recent_best,229,model_5,0.0
recent_best,229,model_6,0.0
recent_best,229,model_7,0.0
recent_best,229,model_8,0.0
recent_best,230,model_1,1.0
recent_best,230,model_2,0.0
recent_best,230,model_3,0.0
recent_best,230,model_4,0.0
recent_best,230,model_5,0.0
recent_best,230,model_6,0.0
recent_best,230,model_7,0.0
recent_best,230,model_8,0.0
recent_best,231,model_1,0.0
recent_best,231,model_2,1.0
recent_best,231,model_3,0.0
recent_best,231,model_4,0.0
recent_best,231,model_5,0.0
recent_best,231,model_6,0.0
recent_best,231,model_7,0.0
recent_best,231,model_8,0.0
recent_best,232,model_1,1.0
recent_best,232,model_2,0.0
recent_best,232,model_3,0.0
recent_best,232,model_4,0.0
recent_best,232,model_5,0.0
recent_best,232,model_6,0.0
recent_best,232,model_7,0.0
recent_best,232,model_8,0.0
recent_best,233,model_1,1.0
recent_best,233,model_2,0.0
recent_best,233,model_3,0.0
recent_best,233,model_4,0.0
recent_best,233,model_5,0.0
recent_best,233,model_6,0.0
recent_best,233,model_7,0.0
recent_best,233,model_8,0.0
recent_best,234,model_1,0.0
recent_best,234,model_2,0.0
recent_best,234,model_3,1.0
recent_best,234,model_4,0.0
recent_best,234,model_5,0.0
recent_best,234,model_6,0.0
recent_best,234,model_7,0.0
recent_best,234,model_8,0.0
recent_best,235,model_1,0.0
recent_best,235,model_2,0.0
recent_best,235,model_3,1.0
recent_best,235,model_4,0.0
recent_best,235,model_5,0.0
recent_best,235,model_6,0.0
recent_best,235,model_7,0.0
recent_best,235,model_8,0.0
recent_best,236,model_1,0.0
recent_best,236,model_2,0.0
recent_best,236,model_3,1.0
recent_best,236,model_4,0.0
recent_best,236,model_5,0.0
recent_best,236,model_6,0.0
recent_best,236,model_7,0.0
recent_best,236,model_8,0.0
recent_best,237,model_1,0.0
recent_best,237,model_2,1.0
recent_best,237,model_3,0.0
recent_best,237,model_4,0.0
recent_best,237,model_5,0.0
recent_best,237,model_6,0.0
recent_best,237,model_7,0.0
recent_best,237,model_8,0.0
recent_best,238,model_1,0.0
recent_best,238,model_2,1.0
recent_best,238,model_3,0.0
recent_best,238,model_4,0.0
recent_best,238,model_5,0.0
recent_best,238,model_6,0.0
recent_best,238,model_7,0.0
recent_best,238,model_8,0.0
recent_best,239,model_1,0.0
recent_best,239,model_2,1.0
recent_best,239,model_3,0.0
recent_best,239,model_4,0.0
recent_best,239,model_5,0.0
recent_best,239,model_6,0.0
recent_best,239,model_7,0.0
recent_best,239,model_8,0.0
recent_best,240,model_1,0.0
recent_best,240,model_2,1.0
recent_best,240,model_3,0.0
recent_best,240,model_4,0.0
recent_best,240,model_5,0.0
recent_best,240,model_6,0.0
recent_best,240,model_7,0.0
recent_best,240,model_8,0.0
recent_best,241,model_1,0.0
recent_best,241,model_2,1.0
recent_best,241,model_3,0.0
recent_best,241,model_4,0.0
recent_best,241,model_5,0.0
recent_best,241,model_6,0.0
recent_best,241,model_7,0.0
recent_best,241,model_8,0.0
recent_best,242,model_1,0.0
recent_best,242,model_2,1.0
recent_best,242,model_3,0.0
recent_best,242,model_4,0.0
recent_best,242,model_5,0.0
recent_best,242,model_6,0.0
recent_best,242,model_7,0.0
recent_best,242,model_8,0.0
recent_best,243,model_1,0.0
recent_best,243,model_2,1.0
recent_best,243,model_3,0.0
recent_best,243,model_4,0.0
recent_best,243,model_5,0.0
recent_best,243,model_6,0.0
recent_best,243,model_7,0.0
recent_best,243,model_8,0.0
recent_best,244,model_1,0.0
recent_best,244,model_2,1.0
recent_best,244,model_3,0.0
recent_best,244,model_4,0.0
recent_best,244,model_5,0.0
recent_best,244,model_6,0.0
recent_best,244,model_7,0.0
recent_best,244,model_8,0.0
recent_best,245,model_1,0.0
recent_best,245,model_2,1.0
recent_best,245,model_3,0.0
recent_best,245,model_4,0.0
recent_best,245,model_5,0.0
recent_best,245,model_6,0.0
recent_best,245,model_7,0.0
recent_best,245,model_8,0.0
recent_best,246,model_1,0.0
recent_best,246,model_2,1.0
recent_best,246,model_3,0.0
recent_best,246,model_4,0.0
recent_best,246,model_5,0.0
recent_best,246,model_6,0.0
recent_best,246,model_7,0.0
recent_best,246,model_8,0.0
recent_best,247,model_1,0.0
recent_best,247,model_2,1.0
recent_best,247,model_3,0.0
recent_best,247,model_4,0.0
recent_best,247,model_5,0.0
recent_best,247,model_6,0.0
recent_best,247,model_7,0.0
recent_best,247,model_8,0.0
recent_best,248,model_1,0.0
recent_best,248,model_2,1.0
recent_best,248,model_3,0.0
recent_best,248,model_4,0.0
recent_best,248,model_5,0.0
recent_best,248,model_6,0.0
recent_best,248,model_7,0.0
recent_best,248,model_8,0.0
recent_best,249,model_1,0.0
recent_best,249,model_2,1.0
recent_best,249,model_3,0.0
recent_best,249,model_4,0.0
recent_best,249,model_5,0.0
recent_best,249,model_6,0.0
recent_best,249,model_7,0.0
recent_best,249,model_8,0.0
recent_best,250,model_1,0.0
recent_best,250,model_2,1.0
recent_best,250,model_3,0.0
recent_best,250,model_4,0.0
recent_best,250,model_5,0.0
recent_best,250,model_6,0.0
recent_best,250,model_7,0.0
recent_best,250,model_8,0.0
recent_best,251,model_1,0.0
recent_best,251,model_2,1.0
recent_best,251,model_3,0.0
recent_best,251,model_4,0.0
recent_best,251,model_5,0.0
recent_best,251,model_6,0.0
recent_best,251,model_7,0.0
recent_best,251,model_8,0.0
recent_best,252,model_1,0.0
recent_best,252,model_2,1.0
recent_best,252,model_3,0.0
recent_best,252,model_4,0.0
recent_best,252,model_5,0.0
recent_best,252,model_6,0.0
recent_best,252,model_7,0.0
recent_best,252,model_8,0.0
recent_best,253,model_1,0.0
recent_best,253,model_2,1.0
recent_best,253,model_3,0.0
recent_best,253,model_4,0.0
recent_best,253,model_5,0.0
recent_best,253,model_6,0.0
recent_best,253,model_7,0.0
recent_best,253,model_8,0.0
recent_best,254,model_1,0.0
recent_best,254,model_2,1.0
recent_best,254,model_3,0.0
recent_best,254,model_4,0.0
recent_best,254,model_5,0.0
recent_best,254,model_6,0.0
