method,event_index,event_time,horizon,oracle_weight_profile
graph_only_v2_eigenvector,0,150,24,0.13661643917133726
graph_only_pagerank,0,150,0,0.5579792595471553
graph_only_pagerank,0,150,1,0.5724574431690511
graph_only_pagerank,0,150,2,0.7224427272264576
graph_only_pagerank,0,150,3,0.7493902795564735
graph_only_pagerank,0,150,4,0.7291673874659872
graph_only_pagerank,0,150,5,0.6730326040880636
graph_only_pagerank,0,150,6,0.6429715573731829
graph_only_pagerank,0,150,7,0.6250703761172482
graph_only_pagerank,0,150,8,0.613043083729179
graph_only_pagerank,0,150,9,0.6532237008801208
graph_only_pagerank,0,150,10,0.5690466612816153
graph_only_pagerank,0,150,11,0.5916264421868683
graph_only_pagerank,0,150,12,0.5555542615896227
graph_only_pagerank,0,150,13,0.7283178626627616
graph_only_pagerank,0,150,14,0.6245936879986738
graph_only_pagerank,0,150,15,0.5747926613612835
graph_only_pagerank,0,150,16,0.5776101300551825
graph_only_pagerank,0,150,17,0.5279920775279401
graph_only_pagerank,0,150,18,0.5732054103484867
graph_only_pagerank,0,150,19,0.5759680169350911
graph_only_pagerank,0,150,20,0.6736364006927418
graph_only_pagerank,0,150,21,0.5735104316480126
graph_only_pagerank,0,150,22,0.7169439995710803
graph_only_pagerank,0,150,23,0.5817878271475548
graph_only_pagerank,0,150,24,0.6068128100168759
graph_only_v2_pagerank,0,150,0,0.55910964340599
graph_only_v2_pagerank,0,150,1,0.5941823144401444
graph_only_v2_pagerank,0,150,2,0.6163716948190563
graph_only_v2_pagerank,0,150,3,0.6552304348673781
graph_only_v2_pagerank,0,150,4,0.6813777728412636
graph_only_v2_pagerank,0,150,5,0.7172454006101183
graph_only_v2_pagerank,0,150,6,0.6508694507690707
graph_only_v2_pagerank,0,150,7,0.6480023996082609
graph_only_v2_pagerank,0,150,8,0.6043363063826441
graph_only_v2_pagerank,0,150,9,0.626316613437574
graph_only_v2_pagerank,0,150,10,0.592020633865477
graph_only_v2_pagerank,0,150,11,0.5512309715926687
graph_only_v2_pagerank,0,150,12,0.5374118205530879
graph_only_v2_pagerank,0,150,13,0.5625523461598825
graph_only_v2_pagerank,0,150,14,0.5965054197371148
graph_only_v2_pagerank,0,150,15,0.5275080143007214
graph_only_v2_pagerank,0,150,16,0.5527137150520223
graph_only_v2_pagerank,0,150,17,0.5196459872056409
graph_only_v2_pagerank,0,150,18,0.5486300731457547
graph_only_v2_pagerank,0,150,19,0.5667234773000072
graph_only_v2_pagerank,0,150,20,0.6416786554227389
graph_only_v2_pagerank,0,150,21,0.5985933873919159
graph_only_v2_pagerank,0,150,22,0.5941769914982719
graph_only_v2_pagerank,0,150,23,0.5783795554487006
graph_only_v2_pagerank,0,150,24,0.5930570493198128
graph_only_softmax,0,150,0,0.5636670505290398
graph_only_softmax,0,150,1,0.5802597088007254
graph_only_softmax,0,150,2,0.7431609449344725
graph_only_softmax,0,150,3,0.7102838924211491
graph_only_softmax,0,150,4,0.7403671500949536
graph_only_softmax,0,150,5,0.7131892998515053
graph_only_softmax,0,150,6,0.6489122568421137
graph_only_softmax,0,150,7,0.7886534507368854
graph_only_softmax,0,150,8,0.706001616696317
graph_only_softmax,0,150,9,0.8049170611505467
graph_only_softmax,0,150,10,0.6534709046474532
graph_only_softmax,0,150,11,0.6619914889798121
graph_only_softmax,0,150,12,0.7080774314448195
graph_only_softmax,0,150,13,0.6668431236987009
graph_only_softmax,0,150,14,0.7193419315111668
graph_only_softmax,0,150,15,0.623637100362778
graph_only_softmax,0,150,16,0.6250066926244302
graph_only_softmax,0,150,17,0.6419030767913096
graph_only_softmax,0,150,18,0.6484984780692558
graph_only_softmax,0,150,19,0.6968348873944984
graph_only_softmax,0,150,20,0.7583105124678939
graph_only_softmax,0,150,21,0.6034756601291311
graph_only_softmax,0,150,22,0.8205174242081967
graph_only_softmax,0,150,23,0.7402174329932538
graph_only_softmax,0,150,24,0.6511719676348382
graph_only_v2_softmax,0,150,0,0.6108515849924909
graph_only_v2_softmax,0,150,1,0.6719649203220808
graph_only_v2_softmax,0,150,2,0.6862359278910013
graph_only_v2_softmax,0,150,3,0.771485633715506
graph_only_v2_softmax,0,150,4,0.7922713625594002
graph_only_v2_softmax,0,150,5,0.7703460006951707
graph_only_v2_softmax,0,150,6,0.7925722349107689
graph_only_v2_softmax,0,150,7,0.8034684564261316
graph_only_v2_softmax,0,150,8,0.7604552432465957
graph_only_v2_softmax,0,150,9,0.8058967866743083
graph_only_v2_softmax,0,150,10,0.766223502231121
graph_only_v2_softmax,0,150,11,0.7263118518174415
graph_only_v2_softmax,0,150,12,0.7101405191518319
graph_only_v2_softmax,0,150,13,0.6657870960034222
graph_only_v2_softmax,0,150,14,0.6978881848516967
graph_only_v2_softmax,0,150,15,0.6187974991219896
graph_only_v2_softmax,0,150,16,0.6631444872922796
graph_only_v2_softmax,0,150,17,0.6408530919366505
graph_only_v2_softmax,0,150,18,0.6628078914284101
graph_only_v2_softmax,0,150,19,0.7346723184685254
graph_only_v2_softmax,0,150,20,0.7360498200368932
graph_only_v2_softmax,0,150,21,0.7628335962288936
graph_only_v2_softmax,0,150,22,0.7436468714427511
graph_only_v2_softmax,0,150,23,0.7227432853063305
graph_only_v2_softmax,0,150,24,0.725716357919089
rs_selection,0,150,0,1.000088900582341e-12
rs_selection,0,150,1,0.12676128519657048
rs_selection,0,150,2,0.1352729170365401
rs_selection,0,150,3,0.2492694663481957
rs_selection,0,150,4,0.2492694663481957
rs_selection,0,150,5,0.17404203586595257
rs_selection,0,150,6,0.17404203586595257
rs_selection,0,150,7,0.17404203586595257
rs_selection,0,150,8,0.17404203586595257
rs_selection,0,150,9,0.17404203586595257
rs_selection,0,150,10,0.005920533719161458
rs_selection,0,150,11,0.005920533719161458
rs_selection,0,150,12,0.005920533719161458
rs_selection,0,150,13,0.005920533719161458
rs_selection,0,150,14,0.1740149749940284
rs_selection,0,150,15,0.005920533719161458
rs_selection,0,150,16,0.13471878684555139
rs_selection,0,150,17,0.13471878684555139
rs_selection,0,150,18,0.005920533719161458
rs_selection,0,150,19,0.1352729170365401
rs_selection,0,150,20,0.1352729170365401
rs_selection,0,150,21,0.12676128519657048
rs_selection,0,150,22,0.12676128519657048
rs_selection,0,150,23,0.12676128519657048
rs_selection,0,150,24,0.13471878684555139
rs_selection_v2,0,150,0,1.000088900582341e-12
rs_selection_v2,0,150,1,0.17404203586595257
rs_selection_v2,0,150,2,0.17404203586595257
rs_selection_v2,0,150,3,0.17404203586595257
rs_selection_v2,0,150,4,0.17404203586595257
rs_selection_v2,0,150,5,0.17404203586595257
rs_selection_v2,0,150,6,0.17404203586595257
rs_selection_v2,0,150,7,0.17404203586595257
rs_selection_v2,0,150,8,0.17404203586595257
rs_selection_v2,0,150,9,0.17404203586595257
rs_selection_v2,0,150,10,0.005920533719161458
rs_selection_v2,0,150,11,0.005920533719161458
rs_selection_v2,0,150,12,0.005920533719161458
rs_selection_v2,0,150,13,0.005920533719161458
rs_selection_v2,0,150,14,0.005920533719161458
rs_selection_v2,0,150,15,0.005920533719161458
rs_selection_v2,0,150,16,0.13471878684555139
rs_selection_v2,0,150,17,0.13471878684555139
rs_selection_v2,0,150,18,0.005920533719161458
rs_selection_v2,0,150,19,0.1352729170365401
rs_selection_v2,0,150,20,0.1352729170365401
rs_selection_v2,0,150,21,0.12676128519657048
rs_selection_v2,0,150,22,0.12676128519657048
rs_selection_v2,0,150,23,0.12676128519657048
rs_selection_v2,0,150,24,0.13471878684555139
bates_granger_mv,0,150,0,0.7237594477779288
bates_granger_mv,0,150,1,0.728548474591269
bates_granger_mv,0,150,2,0.7481933896936095
bates_granger_mv,0,150,3,0.7722141793565904
bates_granger_mv,0,150,4,0.8001022658787954
bates_granger_mv,0,150,5,0.7908381197328938
bates_granger_mv,0,150,6,0.7271936122710021
bates_granger_mv,0,150,7,0.7172640075024681
bates_granger_mv,0,150,8,0.6942164449476543
bates_granger_mv,0,150,9,0.7394562177438131
bates_granger_mv,0,150,10,0.7474853335538169
bates_granger_mv,0,150,11,0.7671014337527253
bates_granger_mv,0,150,12,0.7644343124594541
bates_granger_mv,0,150,13,0.7741072317791853
bates_granger_mv,0,150,14,0.8068439331437018
bates_granger_mv,0,150,15,0.7332017360517747
bates_granger_mv,0,150,16,0.7528013583149192
bates_granger_mv,0,150,17,0.7394221695059184
bates_granger_mv,0,150,18,0.7218056360423959
bates_granger_mv,0,150,19,0.6644146383394296
bates_granger_mv,0,150,20,0.6765079684666311
bates_granger_mv,0,150,21,0.702368171692245
bates_granger_mv,0,150,22,0.6862707446743488
bates_granger_mv,0,150,23,0.6925314597291097
bates_granger_mv,0,150,24,0.7218404125320182
var_error,0,150,0,0.6421493488496797
var_error,0,150,1,0.6528419687810094
var_error,0,150,2,0.6337661655252267
var_error,0,150,3,0.6328581861299849
var_error,0,150,4,0.6751108988087293
var_error,0,150,5,0.6693970332686289
var_error,0,150,6,0.6683109363366028
var_error,0,150,7,0.6724554749918585
var_error,0,150,8,0.6731802131559592
var_error,0,150,9,0.6679033411234203
var_error,0,150,10,0.6959148823746243
var_error,0,150,11,0.6926212095778919
var_error,0,150,12,0.6903517211492436
var_error,0,150,13,0.6791153279144131
var_error,0,150,14,0.6868742568122348
var_error,0,150,15,0.6957009036106603
var_error,0,150,16,0.7103208390649492
var_error,0,150,17,0.7183280238717787
var_error,0,150,18,0.7255522087235593
var_error,0,150,19,0.7387803359352785
var_error,0,150,20,0.7479527692239272
var_error,0,150,21,0.742077768636159
var_error,0,150,22,0.7486426886116565
var_error,0,150,23,0.7474878772999483
var_error,0,150,24,0.7945440171896173
recent_best,0,150,0,1.000088900582341e-12
recent_best,0,150,1,0.17404203586595257
recent_best,0,150,2,0.17404203586595257
recent_best,0,150,3,0.17404203586595257
recent_best,0,150,4,0.17404203586595257
recent_best,0,150,5,0.17404203586595257
recent_best,0,150,6,0.17404203586595257
recent_best,0,150,7,0.17404203586595257
recent_best,0,150,8,0.17404203586595257
recent_best,0,150,9,0.17404203586595257
recent_best,0,150,10,0.2492694663481957
recent_best,0,150,11,0.17404203586595257
recent_best,0,150,12,0.17404203586595257
recent_best,0,150,13,0.17404203586595257
recent_best,0,150,14,0.17404203586595257
recent_best,0,150,15,0.17404203586595257
recent_best,0,150,16,0.1740149749940284
recent_best,0,150,17,0.1740149749940284
recent_best,0,150,18,0.005920533719161458
recent_best,0,150,19,0.1740149749940284
recent_best,0,150,20,0.1740149749940284
recent_best,0,150,21,0.17404203586595257
recent_best,0,150,22,0.17404203586595257
recent_best,0,150,23,0.12676128519657048
recent_best,0,150,24,0.12676128519657048
equal,0,150,0,0.7559205337184114
equal,0,150,1,0.7559205337184114
equal,0,150,2,0.7559205337184114
equal,0,150,3,0.7559205337184114
equal,0,150,4,0.7559205337184114
equal,0,150,5,0.7559205337184114
equal,0,150,6,0.7559205337184114
equal,0,150,7,0.7559205337184114
equal,0,150,8,0.7559205337184114
equal,0,150,9,0.7559205337184114
equal,0,150,10,0.7559205337184114
equal,0,150,11,0.7559205337184114
equal,0,150,12,0.7559205337184114
equal,0,150,13,0.7559205337184114
equal,0,150,14,0.7559205337184114
equal,0,150,15,0.7559205337184114
equal,0,150,16,0.7559205337184114
equal,0,150,17,0.7559205337184114
equal,0,150,18,0.7559205337184114
equal,0,150,19,0.7559205337184114
equal,0,150,20,0.7559205337184114
equal,0,150,21,0.7559205337184114
equal,0,150,22,0.7559205337184114
equal,0,150,23,0.7559205337184114
equal,0,150,24,0.7559205337184114
