method,event_index,event_time,horizon,excess_risk
graph_only_v2_eigenvector,0,150,3,0.5253902736676062
graph_only_v2_eigenvector,0,150,4,0.4546417494153243
graph_only_v2_eigenvector,0,150,5,0.4130136540763575
graph_only_v2_eigenvector,0,150,6,0.5850595316869527
graph_only_v2_eigenvector,0,150,7,0.6742640037581011
graph_only_v2_eigenvector,0,150,8,0.5188189983312264
graph_only_v2_eigenvector,0,150,9,0.654561576220159
graph_only_v2_eigenvector,0,150,10,1.0958265618814462
graph_only_v2_eigenvector,0,150,11,0.9025301553958922
graph_only_v2_eigenvector,0,150,12,1.2685599919206447
graph_only_v2_eigenvector,0,150,13,1.1918272377907428
graph_only_v2_eigenvector,0,150,14,1.2507827727189613
graph_only_v2_eigenvector,0,150,15,0.7581278956974464
graph_only_v2_eigenvector,0,150,16,0.7180779365394906
graph_only_v2_eigenvector,0,150,17,0.6790069596097704
graph_only_v2_eigenvector,0,150,18,1.3394215776986367
graph_only_v2_eigenvector,0,150,19,0.6441285681513103
graph_only_v2_eigenvector,0,150,20,0.3927771677562243
graph_only_v2_eigenvector,0,150,21,0.8895501695972126
graph_only_v2_eigenvector,0,150,22,0.9447403046300571
graph_only_v2_eigenvector,0,150,23,0.9293010690232899
graph_only_v2_eigenvector,0,150,24,0.9238147766966947
graph_only_pagerank,0,150,0,0.2998893898500108
graph_only_pagerank,0,150,1,0.1646864661602777
graph_only_pagerank,0,150,2,0.07503465355131922
graph_only_pagerank,0,150,3,0.043109328849948114
graph_only_pagerank,0,150,4,0.0440269652442814
graph_only_pagerank,0,150,5,0.08550971705948929
graph_only_pagerank,0,150,6,0.10520420751672854
graph_only_pagerank,0,150,7,0.1067207718366791
graph_only_pagerank,0,150,8,0.11367762478864768
graph_only_pagerank,0,150,9,0.09651497264203901
graph_only_pagerank,0,150,10,0.267312289989027
graph_only_pagerank,0,150,11,0.24072520788329743
graph_only_pagerank,0,150,12,0.2935363408866729
graph_only_pagerank,0,150,13,0.05798925107242037
graph_only_pagerank,0,150,14,0.1291883366734119
graph_only_pagerank,0,150,15,0.1496775433165225
graph_only_pagerank,0,150,16,0.1593835402480594
graph_only_pagerank,0,150,17,0.1997856221644314
graph_only_pagerank,0,150,18,0.1824401735152219
graph_only_pagerank,0,150,19,0.16154917128045765
graph_only_pagerank,0,150,20,0.135721645412617
graph_only_pagerank,0,150,21,0.17904271098937008
graph_only_pagerank,0,150,22,0.060786071130747465
graph_only_pagerank,0,150,23,0.14598898940218707
graph_only_pagerank,0,150,24,0.1559419834119608
graph_only_v2_pagerank,0,150,0,0.29595735103623144
graph_only_v2_pagerank,0,150,1,0.12611643484065693
graph_only_v2_pagerank,0,150,2,0.11037164108955766
graph_only_v2_pagerank,0,150,3,0.08922848935920669
graph_only_v2_pagerank,0,150,4,0.07684306028301574
graph_only_v2_pagerank,0,150,5,0.06033384516041662
graph_only_v2_pagerank,0,150,6,0.09759535886873077
graph_only_v2_pagerank,0,150,7,0.09398515594101964
graph_only_v2_pagerank,0,150,8,0.1264164661721987
graph_only_v2_pagerank,0,150,9,0.11236444749455088
graph_only_v2_pagerank,0,150,10,0.22268165545292473
graph_only_v2_pagerank,0,150,11,0.288515666885799
graph_only_v2_pagerank,0,150,12,0.3053859528134629
graph_only_v2_pagerank,0,150,13,0.2896989616389789
graph_only_v2_pagerank,0,150,14,0.2472304266309877
graph_only_v2_pagerank,0,150,15,0.30712740961233875
graph_only_v2_pagerank,0,150,16,0.18440406801390197
graph_only_v2_pagerank,0,150,17,0.20679862004898425
graph_only_v2_pagerank,0,150,18,0.3048963956867192
graph_only_v2_pagerank,0,150,19,0.15238365504856943
graph_only_v2_pagerank,0,150,20,0.13761156246775258
graph_only_v2_pagerank,0,150,21,0.12962285061865247
graph_only_v2_pagerank,0,150,22,0.13520178122764226
graph_only_v2_pagerank,0,150,23,0.14127488442200498
graph_only_v2_pagerank,0,150,24,0.1620021277034256
graph_only_softmax,0,150,0,0.20108471355928453
graph_only_softmax,0,150,1,0.1312092132609638
graph_only_softmax,0,150,2,0.06186660109009784
graph_only_softmax,0,150,3,0.06832262524853683
graph_only_softmax,0,150,4,0.04208702078878346
graph_only_softmax,0,150,5,0.07384805094023261
graph_only_softmax,0,150,6,0.10842223363917136
graph_only_softmax,0,150,7,0.044593625911966306
graph_only_softmax,0,150,8,0.10990269632135807
graph_only_softmax,0,150,9,0.03327358909939049
graph_only_softmax,0,150,10,0.15787488150652207
graph_only_softmax,0,150,11,0.19250960813793122
graph_only_softmax,0,150,12,0.1299484066149712
graph_only_softmax,0,150,13,0.16944004780372524
graph_only_softmax,0,150,14,0.0918869037359119
graph_only_softmax,0,150,15,0.1469282259583019
graph_only_softmax,0,150,16,0.12075916668434439
graph_only_softmax,0,150,17,0.13760056414877764
graph_only_softmax,0,150,18,0.17514703452568758
graph_only_softmax,0,150,19,0.10125018464112051
graph_only_softmax,0,150,20,0.07745566813888971
graph_only_softmax,0,150,21,0.15148024166171326
graph_only_softmax,0,150,22,0.029779850143337838
graph_only_softmax,0,150,23,0.06960660327416546
graph_only_softmax,0,150,24,0.0997959220054741
graph_only_v2_softmax,0,150,0,0.19194002737053406
graph_only_v2_softmax,0,150,1,0.08707211470435217
graph_only_v2_softmax,0,150,2,0.07647274149433136
graph_only_v2_softmax,0,150,3,0.0486896382218851
graph_only_v2_softmax,0,150,4,0.03136632372747411
graph_only_v2_softmax,0,150,5,0.03469380322799409
graph_only_v2_softmax,0,150,6,0.03910584319265259
graph_only_v2_softmax,0,150,7,0.03434808737358391
graph_only_v2_softmax,0,150,8,0.0625312940369005
graph_only_v2_softmax,0,150,9,0.040836946666446494
graph_only_v2_softmax,0,150,10,0.08013929791093544
graph_only_v2_softmax,0,150,11,0.12403158526503477
graph_only_v2_softmax,0,150,12,0.13828247817650374
graph_only_v2_softmax,0,150,13,0.19832384694337518
graph_only_v2_softmax,0,150,14,0.15828458572347526
graph_only_v2_softmax,0,150,15,0.20706079962824542
graph_only_v2_softmax,0,150,16,0.1285842678567371
graph_only_v2_softmax,0,150,17,0.1535473399364623
graph_only_v2_softmax,0,150,18,0.18722759440337788
graph_only_v2_softmax,0,150,19,0.09213111599369428
graph_only_v2_softmax,0,150,20,0.0909963079360564
graph_only_v2_softmax,0,150,21,0.0479437320788344
graph_only_v2_softmax,0,150,22,0.0638772189997856
graph_only_v2_softmax,0,150,23,0.07845704541596199
graph_only_v2_softmax,0,150,24,0.07737844687409734
rs_selection,0,150,0,1.6622387159550196
rs_selection,0,150,1,0.9530420827448836
rs_selection,0,150,2,0.9259942153344647
rs_selection,0,150,3,0.7496293985262015
rs_selection,0,150,4,0.7496293985262015
rs_selection,0,150,5,0.8271941257245337
rs_selection,0,150,6,0.8271941257245337
rs_selection,0,150,7,0.8271941257245337
rs_selection,0,150,8,0.8271941257245337
rs_selection,0,150,9,0.8271941257245337
rs_selection,0,150,10,1.5451013581742772
rs_selection,0,150,11,1.5451013581742772
rs_selection,0,150,12,1.5451013581742772
rs_selection,0,150,13,1.5451013581742772
rs_selection,0,150,14,0.8272491335949237
rs_selection,0,150,15,1.5451013581742772
rs_selection,0,150,16,0.9276964118560846
rs_selection,0,150,17,0.9276964118560846
rs_selection,0,150,18,1.5451013581742772
rs_selection,0,150,19,0.9259942153344647
rs_selection,0,150,20,0.9259942153344647
rs_selection,0,150,21,0.9530420827448836
rs_selection,0,150,22,0.9530420827448836
rs_selection,0,150,23,0.9530420827448836
rs_selection,0,150,24,0.9276964118560846
rs_selection_v2,0,150,0,1.6622387159550196
rs_selection_v2,0,150,1,0.8271941257245337
rs_selection_v2,0,150,2,0.8271941257245337
rs_selection_v2,0,150,3,0.8271941257245337
rs_selection_v2,0,150,4,0.8271941257245337
rs_selection_v2,0,150,5,0.8271941257245337
rs_selection_v2,0,150,6,0.8271941257245337
rs_selection_v2,0,150,7,0.8271941257245337
rs_selection_v2,0,150,8,0.8271941257245337
rs_selection_v2,0,150,9,0.8271941257245337
rs_selection_v2,0,150,10,1.5451013581742772
rs_selection_v2,0,150,11,1.5451013581742772
rs_selection_v2,0,150,12,1.5451013581742772
rs_selection_v2,0,150,13,1.5451013581742772
rs_selection_v2,0,150,14,1.5451013581742772
rs_selection_v2,0,150,15,1.5451013581742772
rs_selection_v2,0,150,16,0.9276964118560846
rs_selection_v2,0,150,17,0.9276964118560846
rs_selection_v2,0,150,18,1.5451013581742772
rs_selection_v2,0,150,19,0.9259942153344647
rs_selection_v2,0,150,20,0.9259942153344647
rs_selection_v2,0,150,21,0.9530420827448836
rs_selection_v2,0,150,22,0.9530420827448836
rs_selection_v2,0,150,23,0.9530420827448836
rs_selection_v2,0,150,24,0.9276964118560846
bates_granger_mv,0,150,0,0.08045762938199297
bates_granger_mv,0,150,1,0.07768963903177795
bates_granger_mv,0,150,2,0.06087782533319186
bates_granger_mv,0,150,3,0.05511751680580057
bates_granger_mv,0,150,4,0.04119009641351579
