oos_period,centrality_type,model,centrality_score
36,eigenvector,4,1.7471404671646067e-07
37,eigenvector,1,0.00042637157665782353
37,eigenvector,2,0.9621577499667199
37,eigenvector,3,0.037408452259554824
37,eigenvector,4,7.426196067521392e-06
38,eigenvector,1,3.574545626598494e-05
38,eigenvector,2,3.3323852899346424e-05
38,eigenvector,3,0.999929938384598
38,eigenvector,4,9.923052365644837e-07
39,eigenvector,1,1.2303506970793387e-05
39,eigenvector,2,0.004351209679890611
39,eigenvector,3,0.9953737211673256
39,eigenvector,4,0.0002627656448128294
40,eigenvector,1,1.7175421441941262e-06
40,eigenvector,2,0.648826625485926
40,eigenvector,3,0.1509457943950356
40,eigenvector,4,0.20022586257589411
41,eigenvector,1,0.3105013953027555
41,eigenvector,2,2.024179916084027e-05
41,eigenvector,3,0.00017570294016247835
41,eigenvector,4,0.6893026599569212
42,eigenvector,1,0.00043192529134253023
42,eigenvector,2,8.757198211346424e-06
42,eigenvector,3,1.8462336132996759e-06
42,eigenvector,4,0.9995574712758328
43,eigenvector,1,2.9392058734373146e-07
43,eigenvector,2,0.06574787303288562
43,eigenvector,3,0.018983141366562418
43,eigenvector,4,0.9152686916789645
44,eigenvector,1,0.054856302555208375
44,eigenvector,2,0.00932997092709243
44,eigenvector,3,1.763885313874669e-05
44,eigenvector,4,0.9357960876635605
45,eigenvector,1,0.818758148117621
45,eigenvector,2,0.04660054348870633
45,eigenvector,3,0.0008150560106495302
45,eigenvector,4,0.13382625238202295
46,eigenvector,1,0.16139745317739507
46,eigenvector,2,0.04713123553392529
46,eigenvector,3,0.6897993078563599
46,eigenvector,4,0.10167200343131964
47,eigenvector,1,0.0023181584976138528
47,eigenvector,2,0.0012148887069487863
47,eigenvector,3,0.9964649816121305
47,eigenvector,4,1.971182306807075e-06
48,eigenvector,1,1.0486571683593012e-05
48,eigenvector,2,6.379626038001332e-07
48,eigenvector,3,0.9999883706286802
48,eigenvector,4,5.04836032416472e-07
49,eigenvector,1,0.009974543628006097
49,eigenvector,2,0.00028489431723773695
49,eigenvector,3,0.9897228611796971
49,eigenvector,4,1.7700874059037364e-05
50,eigenvector,1,0.00016346702919348846
50,eigenvector,2,0.007634995411577708
50,eigenvector,3,1.2837105939460772e-08
50,eigenvector,4,0.9922015247211229
20,pagerank,1,0.5220780559064732
20,pagerank,2,0.18103276029070803
20,pagerank,3,0.14844759691888326
20,pagerank,4,0.1484415868799771
21,pagerank,1,0.5099809460882353
21,pagerank,2,0.1953369110417299
21,pagerank,3,0.14881119182254074
21,pagerank,4,0.14587095104360415
22,pagerank,1,0.2452775272429026
