oos_period,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best
31,-0.8810207586436121,-0.8996010643597793,-0.8917477951136391,-0.8010541623824501,-0.9635668878778102,-0.8432790390101398,-0.3366251839082415,-0.9123164337395481,-0.4900077914583695,-0.5944302754463638,-0.8641911401167425,-1.032744197341964,-0.2892852173268194,-0.6740502970427523,-0.7874359853624546,-1.0442884738670006,-0.7151502970427522
32,-0.8959694466303741,-0.9145497523465413,-0.9066964831004012,-0.8160028503692122,-0.9785155758645723,-0.8582277269969019,-0.28015362455082804,-0.8558023241815877,-0.47081034997413773,-0.5710222742583961,-0.8626097795609835,-1.0304840194182334,-0.23276492419766492,-0.6175300039135979,-0.8012473940546017,-1.035217062188124,-0.6586300039135978
33,-0.692883927729694,-0.7331480098044211,-0.7252947405582809,-0.6346011078270919,-0.7810333096410818,-0.6768259844547816,-0.043944942793300856,-0.9810733010509087,-0.38744134125759677,-0.6432729537887352,-0.8574397526867925,-1.0378894808601533,0.006047749648179557,-0.7387173300677533,-0.5666869151576518,-0.9634656833400792,-0.9298173300677535
34,-0.7000319821290808,-0.7281791798994698,-0.7324427949576677,-0.6331268645286494,-0.7881813640404686,-0.6747187949507517,-0.026462658660295797,-0.9142127907122035,-0.3824618389042327,-0.6231673275007088,-0.8553666724667808,-1.0339962926236133,0.023547749648179496,-0.6712173300677533,-0.5759457911660156,-0.9849858033602262,-0.8623173300677535
35,-0.7502422355486096,-0.733276910055946,-0.7826530483771965,-0.6482698089391413,-0.8383916174599974,-0.7223554419892586,-0.2662809066292752,-0.5580011228636261,-0.438643825630639,-0.5155822339121043,-0.8616255585180229,-1.027057012142529,-0.2288358130096312,-0.3084177955757833,-0.6588845382382787,-1.1157855052410937,-0.49951779557578346
36,-0.7249378310497074,-0.7079725055570438,-0.7573486438782944,-0.6229654044402392,-0.8130872129610952,-0.6970510374903565,-0.4436081611106221,-0.6796770821508586,-0.4813034196277365,-0.573492569883882,-0.8584832764180367,-1.037013749848273,-0.40618462735099536,-0.4857666099171475,-0.5948441263493506,-1.0831343195855385,-0.6768666099171476
37,-1.171737451068066,-1.1547721255754024,-1.204148263896653,-1.0697650244585977,-1.2598868329794537,-1.1911208769237862,-0.3278471221118561,-0.6146854347024353,-0.4627674551126749,-0.6593492392685991,-0.8140889966839101,-1.4112363376992054,-0.28774793534558685,-0.36732991791173897,-1.1945614923214825,-1.8346976275827307,-0.5584299179117391
38,-1.062790916239942,-1.0337718896637078,-1.0801248307874247,-0.948764788546903,-1.0822528698298082,-1.0595696939726795,-0.38098492868012784,-0.6022846305747336,-0.46077314920896517,-0.6550536113043306,-0.6701359990937173,-1.3935585208951367,-0.3409041853455871,-0.14058616791173872,-1.0372718411795208,-1.6079538775868902,-0.3316861679117389
39,-0.8789342604487823,-0.8856878582436145,-0.9110504426428137,-0.8052001079977525,-0.9318478006941344,-0.6513609222647135,-0.24826215081244557,-0.6683350837985622,-0.4354724683880288,-0.6426904055398062,-0.6664790940914709,-1.3628601542031467,-0.20763477951771808,-0.25430341632292996,-0.8425287011217276,-1.4188607691188886,0.18459658367707
40,-0.8822291849742037,-0.8889827827690359,-0.914345367168235,-0.8084950325231739,-0.9351427252195558,-0.6546558467901349,0.13408417788434362,0.11724274328055628,-0.2577814222780038,-0.40859267642073205,-0.583357140098312,-1.3466593565647136,0.5824357759746015,0.5357671391693896,-1.0524550679008473,-1.2810794879284406,0.9746671391693895
