oos_period,variant,row_model,col_model,sigma
37,legacy,3,4,0.16705250319881085
37,legacy,4,1,0.017313710958345847
37,legacy,4,2,0.13337158956558093
37,legacy,4,3,0.16705250319881085
37,legacy,4,4,0.0
38,legacy,1,1,0.0
38,legacy,1,2,0.3997798346229914
38,legacy,1,3,1e-06
38,legacy,1,4,0.5668819654215457
38,legacy,2,1,0.3997798346229914
38,legacy,2,2,0.0
38,legacy,2,3,0.20333789007435202
38,legacy,2,4,0.21292760751373693
38,legacy,3,1,1e-06
38,legacy,3,2,0.20333789007435202
38,legacy,3,3,0.0
38,legacy,3,4,0.2882712004412715
38,legacy,4,1,0.5668819654215457
38,legacy,4,2,0.21292760751373693
38,legacy,4,3,0.2882712004412715
38,legacy,4,4,0.0
39,legacy,1,1,0.0
39,legacy,1,2,0.3707327552558882
39,legacy,1,3,0.3194262852250304
39,legacy,1,4,0.7320217378702425
39,legacy,2,1,0.3707327552558882
39,legacy,2,2,0.0
39,legacy,2,3,0.07958591164437001
39,legacy,2,4,0.3198655960240275
39,legacy,3,1,0.3194262852250304
39,legacy,3,2,0.07958591164437001
39,legacy,3,3,0.0
39,legacy,3,4,0.2149030800412939
39,legacy,4,1,0.7320217378702425
39,legacy,4,2,0.3198655960240275
39,legacy,4,3,0.2149030800412939
39,legacy,4,4,0.0
40,legacy,1,1,0.0
40,legacy,1,2,0.2974948372654809
40,legacy,1,3,1e-06
40,legacy,1,4,1e-06
40,legacy,2,1,0.2974948372654809
40,legacy,2,2,0.0
40,legacy,2,3,0.16304395365964466
40,legacy,2,4,0.605708074534643
40,legacy,3,1,1e-06
40,legacy,3,2,0.16304395365964466
40,legacy,3,3,0.0
40,legacy,3,4,0.3956436882539425
40,legacy,4,1,1e-06
40,legacy,4,2,0.605708074534643
40,legacy,4,3,0.3956436882539425
40,legacy,4,4,0.0
41,legacy,1,1,0.0
41,legacy,1,2,0.5248893818791066
41,legacy,1,3,0.23388278935500972
41,legacy,1,4,1e-06
41,legacy,2,1,0.5248893818791066
41,legacy,2,2,0.0
41,legacy,2,3,0.12842944432912676
41,legacy,2,4,0.0841914207780549
41,legacy,3,1,0.23388278935500972
41,legacy,3,2,0.12842944432912676
41,legacy,3,3,0.0
41,legacy,3,4,1e-06
41,legacy,4,1,1e-06
41,legacy,4,2,0.0841914207780549
41,legacy,4,3,1e-06
41,legacy,4,4,0.0
42,legacy,1,1,0.0
42,legacy,1,2,0.6065896304562975
42,legacy,1,3,0.33074332578644083
42,legacy,1,4,1.3086717045197371
42,legacy,2,1,0.6065896304562975
42,legacy,2,2,0.0
42,legacy,2,3,0.3248305370126121
42,legacy,2,4,1e-06
42,legacy,3,1,0.33074332578644083
42,legacy,3,2,0.3248305370126121
42,legacy,3,3,0.0
42,legacy,3,4,0.6029047557834933
42,legacy,4,1,1.3086717045197371
42,legacy,4,2,1e-06
42,legacy,4,3,0.6029047557834933
42,legacy,4,4,0.0
43,legacy,1,1,0.0
43,legacy,1,2,1.2877790492077799
43,legacy,1,3,1e-06
43,legacy,1,4,1.7563688957121288
43,legacy,2,1,1.2877790492077799
43,legacy,2,2,0.0
43,legacy,2,3,0.2715199704445145
43,legacy,2,4,0.5388625056969667
43,legacy,3,1,1e-06
43,legacy,3,2,0.2715199704445145
43,legacy,3,3,0.0
43,legacy,3,4,0.5811489039322865
43,legacy,4,1,1.7563688957121288
43,legacy,4,2,0.5388625056969667
43,legacy,4,3,0.5811489039322865
43,legacy,4,4,0.0
44,legacy,1,1,0.0
44,legacy,1,2,3.222893703651417
44,legacy,1,3,0.7562392327192733
44,legacy,1,4,3.8892208654094724
44,legacy,2,1,3.222893703651417
44,legacy,2,2,0.0
44,legacy,2,3,0.3580668685134462
44,legacy,2,4,0.9735976482712607
44,legacy,3,1,0.7562392327192733
44,legacy,3,2,0.3580668685134462
44,legacy,3,3,0.0
44,legacy,3,4,0.6253516608436052
44,legacy,4,1,3.8892208654094724
44,legacy,4,2,0.9735976482712607
44,legacy,4,3,0.6253516608436052
44,legacy,4,4,0.0
45,legacy,1,1,0.0
45,legacy,1,2,1.2518226390681397
45,legacy,1,3,0.673581130236168
45,legacy,1,4,1e-06
45,legacy,2,1,1.2518226390681397
45,legacy,2,2,0.0
45,legacy,2,3,0.31565422080409605
45,legacy,2,4,1e-06
45,legacy,3,1,0.673581130236168
45,legacy,3,2,0.31565422080409605
45,legacy,3,3,0.0
45,legacy,3,4,1e-06
45,legacy,4,1,1e-06
45,legacy,4,2,1e-06
