oos_period,row_model,col_model,sigma_matrice
47,2,3,1e-06
47,2,4,4.184891827392996
47,3,1,2.814576052908038
47,3,2,1e-06
47,3,3,0.0
47,3,4,2.838252860605439
47,4,1,1e-06
47,4,2,4.184891827392996
47,4,3,2.838252860605439
47,4,4,0.0
48,1,1,0.0
48,1,2,9.531381282930765
48,1,3,1e-06
48,1,4,4.926140477271728
48,2,1,9.531381282930765
48,2,2,0.0
48,2,3,3.12918463776259
48,2,4,4.102442305758993
48,3,1,1e-06
48,3,2,3.12918463776259
48,3,3,0.0
48,3,4,4.574217867592646
48,4,1,4.926140477271728
48,4,2,4.102442305758993
48,4,3,4.574217867592646
48,4,4,0.0
49,1,1,0.0
49,1,2,7.712325011991292
49,1,3,4.855906596866922
49,1,4,9.28715444874366
49,2,1,7.712325011991292
49,2,2,0.0
49,2,3,3.031670969672712
49,2,4,4.052358860703182
49,3,1,4.855906596866922
49,3,2,3.031670969672712
49,3,3,0.0
49,3,4,11.514426319274671
49,4,1,9.28715444874366
49,4,2,4.052358860703182
49,4,3,11.514426319274671
49,4,4,0.0
50,1,1,0.0
50,1,2,8.325905785762032
50,1,3,3.0903018898548233
50,1,4,1e-06
50,2,1,8.325905785762032
50,2,2,0.0
50,2,3,1e-06
50,2,4,4.03460619872749
50,3,1,3.0903018898548233
50,3,2,1e-06
50,3,3,0.0
50,3,4,1e-06
50,4,1,1e-06
50,4,2,4.03460619872749
50,4,3,1e-06
50,4,4,0.0
