oos_period,row_model,col_model,mu_matrice
25,1,1,0.0
25,1,2,0.2594985620470646
25,1,3,0.23954681949169138
25,1,4,0.0
25,2,1,-0.2594985620470646
25,2,2,0.0
25,2,3,0.22342733077254087
25,2,4,0.37483569000000155
25,3,1,-0.23954681949169138
25,3,2,-0.22342733077254087
25,3,3,0.0
25,3,4,0.009416604488220418
25,4,1,-0.0
25,4,2,-0.37483569000000155
25,4,3,-0.009416604488220418
25,4,4,0.0
26,1,1,0.0
26,1,2,0.029934162278375333
26,1,3,0.2771218304492909
26,1,4,1.0992352047714853
26,2,1,-0.029934162278375333
26,2,2,0.0
26,2,3,0.23772898982777296
26,2,4,0.30634423739532984
26,3,1,-0.2771218304492909
26,3,2,-0.23772898982777296
26,3,3,0.0
26,3,4,-0.024354260439067344
26,4,1,-1.0992352047714853
26,4,2,-0.30634423739532984
26,4,3,0.024354260439067344
26,4,4,0.0
27,1,1,0.0
27,1,2,-0.12753223181290144
27,1,3,0.0841484528833244
27,1,4,-0.3500000000000011
27,2,1,0.12753223181290144
27,2,2,0.0
27,2,3,0.11714981996004252
27,2,4,0.0
27,3,1,-0.0841484528833244
27,3,2,-0.11714981996004252
27,3,3,0.0
27,3,4,-0.08430114414675834
27,4,1,0.3500000000000011
27,4,2,-0.0
27,4,3,0.08430114414675834
27,4,4,0.0
28,1,1,0.0
28,1,2,-0.0999999999999998
28,1,3,-0.04919952421990712
28,1,4,-0.07195169979409521
28,2,1,0.0999999999999998
28,2,2,0.0
28,2,3,0.07536777653733792
28,2,4,0.1353136728448472
28,3,1,0.04919952421990712
28,3,2,-0.07536777653733792
28,3,3,0.0
28,3,4,0.02301774985420276
28,4,1,0.07195169979409521
28,4,2,-0.1353136728448472
28,4,3,-0.02301774985420276
28,4,4,0.0
29,1,1,0.0
29,1,2,-0.4299999999999991
29,1,3,0.12506456280279246
29,1,4,-0.08458809428556298
29,2,1,0.4299999999999991
29,2,2,0.0
29,2,3,0.18505667941928464
29,2,4,0.30811781617334116
29,3,1,-0.12506456280279246
29,3,2,-0.18505667941928464
29,3,3,0.0
29,3,4,-0.08499683098651385
29,4,1,0.08458809428556298
29,4,2,-0.30811781617334116
29,4,3,0.08499683098651385
29,4,4,0.0
30,1,1,0.0
30,1,2,0.23999999999999994
30,1,3,-0.19766557652326228
30,1,4,0.1160269238946371
30,2,1,-0.23999999999999994
30,2,2,0.0
30,2,3,0.06593154612016763
30,2,4,0.07202323087702832
30,3,1,0.19766557652326228
30,3,2,-0.06593154612016763
30,3,3,0.0
30,3,4,-0.02565316211079649
30,4,1,-0.1160269238946371
30,4,2,-0.07202323087702832
30,4,3,0.02565316211079649
30,4,4,0.0
31,1,1,0.0
31,1,2,0.05999999999999978
31,1,3,0.022378739485212427
31,1,4,0.009692168909861208
31,2,1,-0.05999999999999978
31,2,2,0.0
31,2,3,0.06974768707512465
31,2,4,0.0
31,3,1,-0.022378739485212427
31,3,2,-0.06974768707512465
31,3,3,0.0
31,3,4,-0.312510490902249
31,4,1,-0.009692168909861208
31,4,2,-0.0
31,4,3,0.312510490902249
31,4,4,0.0
32,1,1,0.0
32,1,2,0.21000000000000016
32,1,3,0.055591719066786345
32,1,4,3.737181504430514e-18
32,2,1,-0.21000000000000016
32,2,2,0.0
32,2,3,-0.10937044064389675
32,2,4,2.0961390268349697e-19
32,3,1,-0.055591719066786345
32,3,2,0.10937044064389675
32,3,3,0.0
32,3,4,3.737181504430514e-18
32,4,1,-3.737181504430514e-18
32,4,2,-2.0961390268349697e-19
32,4,3,-3.737181504430514e-18
32,4,4,0.0
33,1,1,0.0
33,1,2,-0.21999999999999942
33,1,3,0.03140162235455562
33,1,4,-0.04607011676172407
33,2,1,0.21999999999999942
33,2,2,0.0
33,2,3,-0.045128174134042735
33,2,4,0.0
33,3,1,-0.03140162235455562
33,3,2,0.045128174134042735
33,3,3,0.0
33,3,4,-0.30182435197294233
33,4,1,0.04607011676172407
33,4,2,-0.0
33,4,3,0.30182435197294233
33,4,4,0.0
34,1,1,0.0
34,1,2,0.7699999999999998
34,1,3,0.03217320920662559
34,1,4,-0.03254003325410361
34,2,1,-0.7699999999999998
34,2,2,0.0
34,2,3,-0.25110090557442777
34,2,4,-0.015641145815897477
34,3,1,-0.03217320920662559
34,3,2,0.25110090557442777
34,3,3,0.0
34,3,4,-0.1058190344389036
34,4,1,0.03254003325410361
34,4,2,0.015641145815897477
34,4,3,0.1058190344389036
34,4,4,0.0
35,1,1,0.0
35,1,2,0.10609946788296423
35,1,3,0.026098263887505555
35,1,4,0.14235286767462219
35,2,1,-0.10609946788296423
35,2,2,0.0
35,2,3,-0.1607360575474551
35,2,4,0.14235286767462219
35,3,1,-0.026098263887505555
35,3,2,0.1607360575474551
35,3,3,0.0
35,3,4,-0.2767462201674378
35,4,1,-0.14235286767462219
35,4,2,-0.14235286767462219
35,4,3,0.2767462201674378
35,4,4,0.0
36,1,1,0.0
36,1,2,0.14078290127768553
36,1,3,-0.4069980829594633
36,1,4,-0.9203661942995623
36,2,1,-0.14078290127768553
36,2,2,0.0
36,2,3,-0.2938719197344621
36,2,4,-1.180366194299562
36,3,1,0.4069980829594633
36,3,2,0.2938719197344621
36,3,3,0.0
36,3,4,-0.4501335310821758
36,4,1,0.9203661942995623
36,4,2,1.180366194299562
36,4,3,0.4501335310821758
36,4,4,0.0
37,1,1,0.0
37,1,2,0.2899999999999997
37,1,3,0.41104769979408634
37,1,4,-0.17114899409387832
37,2,1,-0.2899999999999997
37,2,2,0.0
37,2,3,-0.17416859537414583
37,2,4,-0.46114899409387794
37,3,1,-0.41104769979408634
37,3,2,0.17416859537414583
37,3,3,0.0
37,3,4,-0.8112653257025704
37,4,1,0.17114899409387832
37,4,2,0.46114899409387794
37,4,3,0.8112653257025704
37,4,4,0.0
38,1,1,0.0
38,1,2,0.053267171343219656
38,1,3,0.7117281836544564
38,1,4,-5.002574626536863
38,2,1,-0.053267171343219656
38,2,2,0.0
38,2,3,0.15827167106257364
38,2,4,-0.7264418267943191
38,3,1,-0.7117281836544564
38,3,2,-0.15827167106257364
38,3,3,0.0
38,3,4,-1.045118666264747
38,4,1,5.002574626536863
38,4,2,0.7264418267943191
38,4,3,1.045118666264747
38,4,4,0.0
39,1,1,0.0
39,1,2,0.06347081965936603
39,1,3,0.1521113232908576
39,1,4,0.42954564622370384
39,2,1,-0.06347081965936603
39,2,2,0.0
39,2,3,0.35459575854527425
39,2,4,-0.2388421454264273
39,3,1,-0.1521113232908576
39,3,2,-0.35459575854527425
39,3,3,0.0
39,3,4,-0.7010392652294202
39,4,1,-0.42954564622370384
39,4,2,0.2388421454264273
39,4,3,0.7010392652294202
39,4,4,0.0
40,1,1,0.0
40,1,2,1.2600000000000007
40,1,3,0.8492247218870269
40,1,4,1.7138113935414963
40,2,1,-1.2600000000000007
40,2,2,0.0
40,2,3,-0.06894733393263128
40,2,4,-0.092709456769961
40,3,1,-0.8492247218870269
40,3,2,0.06894733393263128
40,3,3,0.0
40,3,4,-0.014882079660334885
40,4,1,-1.7138113935414963
40,4,2,0.092709456769961
40,4,3,0.014882079660334885
40,4,4,0.0
41,1,1,0.0
41,1,2,0.029409536601043958
41,1,3,0.8190965018206745
41,1,4,-0.6600000000000006
41,2,1,-0.029409536601043958
41,2,2,0.0
41,2,3,-0.04707746629265955
41,2,4,1.969999999999999
41,3,1,-0.8190965018206745
41,3,2,0.04707746629265955
41,3,3,0.0
41,3,4,1.4629552082867066
41,4,1,0.6600000000000006
41,4,2,-1.969999999999999
41,4,3,-1.4629552082867066
41,4,4,0.0
42,1,1,0.0
42,1,2,-3.132848747624266
42,1,3,-2.332590618125314
42,1,4,3.98112142907917
42,2,1,3.132848747624266
42,2,2,0.0
42,2,3,-0.16470216807875573
42,2,4,1.5458000000000016
42,3,1,2.332590618125314
42,3,2,0.16470216807875573
42,3,3,0.0
42,3,4,2.7837248433350026
42,4,1,-3.98112142907917
42,4,2,-1.5458000000000016
42,4,3,-2.7837248433350026
42,4,4,0.0
43,1,1,0.0
43,1,2,3.7920632660810294
43,1,3,5.548335634278075
43,1,4,11.279883046296769
43,2,1,-3.7920632660810294
43,2,2,0.0
43,2,3,-0.8001596766114499
43,2,4,4.969881939914764
43,3,1,-5.548335634278075
43,3,2,0.8001596766114499
43,3,3,0.0
43,3,4,5.273347103517345
43,4,1,-11.279883046296769
43,4,2,-4.969881939914764
43,4,3,-5.273347103517345
43,4,4,0.0
44,1,1,0.0
44,1,2,-0.18992289724078637
44,1,3,-9.752899371278577
44,1,4,0.3649048046759179
44,2,1,0.18992289724078637
44,2,2,0.0
44,2,3,-2.6800517471832213
44,2,4,0.8360237537219292
44,3,1,9.752899371278577
44,3,2,2.6800517471832213
44,3,3,0.0
44,3,4,3.741162997618718
44,4,1,-0.3649048046759179
44,4,2,-0.8360237537219292
44,4,3,-3.741162997618718
44,4,4,0.0
45,1,1,0.0
45,1,2,30.484565073953785
45,1,3,94.88167328542846
45,1,4,-14.28959574361621
45,2,1,-30.484565073953785
45,2,2,0.0
45,2,3,-6.562576761692832
45,2,4,-0.8087499115941013
45,3,1,-94.88167328542846
45,3,2,6.562576761692832
45,3,3,0.0
45,3,4,2.335640145162011
45,4,1,14.28959574361621
45,4,2,0.8087499115941013
45,4,3,-2.335640145162011
45,4,4,0.0
46,1,1,0.0
46,1,2,-6.693508440025833
46,1,3,2.114363310893968
46,1,4,-4.999999999999997
46,2,1,6.693508440025833
46,2,2,0.0
46,2,3,-0.210836310092451
46,2,4,3.4199999999999857
46,3,1,-2.114363310893968
46,3,2,0.210836310092451
46,3,3,0.0
46,3,4,-7.114363310893974
46,4,1,4.999999999999997
46,4,2,-3.4199999999999857
46,4,3,7.114363310893974
46,4,4,0.0
47,1,1,0.0
47,1,2,8.350000000000021
47,1,3,15.759296885263693
47,1,4,-13.969611825527736
47,2,1,-8.350000000000021
47,2,2,0.0
47,2,3,9.927890635888232
47,2,4,-0.7040450850454311
47,3,1,-15.759296885263693
47,3,2,-9.927890635888232
47,3,3,0.0
47,3,4,-59.60469719903083
47,4,1,13.969611825527736
47,4,2,0.7040450850454311
47,4,3,59.60469719903083
47,4,4,0.0
48,1,1,0.0
48,1,2,-11.358526125403673
48,1,3,4.7693828267837235
48,1,4,-40.817862698417784
48,2,1,11.358526125403673
48,2,2,0.0
48,2,3,12.716561065552574
48,2,4,-0.5357624341394965
48,3,1,-4.7693828267837235
48,3,2,-12.716561065552574
48,3,3,0.0
48,3,4,-40.005234851526794
48,4,1,40.817862698417784
48,4,2,0.5357624341394965
48,4,3,40.005234851526794
48,4,4,0.0
49,1,1,0.0
49,1,2,-3.3427883287459825
49,1,3,4.727319010109506
49,1,4,-8.995613477207813
49,2,1,3.3427883287459825
49,2,2,0.0
49,2,3,45.21026857292802
49,2,4,-0.8639629668513409
49,3,1,-4.727319010109506
49,3,2,-45.21026857292802
49,3,3,0.0
49,3,4,-12.746862525812753
49,4,1,8.995613477207813
49,4,2,0.8639629668513409
49,4,3,12.746862525812753
49,4,4,0.0
50,1,1,0.0
50,1,2,-3.2525233705644383
50,1,3,-5.456528443607268
50,1,4,10.615421082002866
50,2,1,3.2525233705644383
50,2,2,0.0
50,2,3,-8.368547344664789
50,2,4,-0.6003413815585714
50,3,1,5.456528443607268
50,3,2,8.368547344664789
50,3,3,0.0
50,3,4,11.849513298732743
50,4,1,-10.615421082002866
50,4,2,0.6003413815585714
50,4,3,-11.849513298732743
50,4,4,0.0
