oos_period,variant,row_model,col_model,mu
28,legacy,1,1,0.0
28,legacy,1,2,-0.0999999999999998
28,legacy,1,3,-0.04919952421990712
28,legacy,1,4,-0.07195169979409521
28,legacy,2,1,0.0999999999999998
28,legacy,2,2,0.0
28,legacy,2,3,0.07536777653733792
28,legacy,2,4,0.1353136728448472
28,legacy,3,1,0.04919952421990712
28,legacy,3,2,-0.07536777653733792
28,legacy,3,3,0.0
28,legacy,3,4,0.02301774985420276
28,legacy,4,1,0.07195169979409521
28,legacy,4,2,-0.1353136728448472
28,legacy,4,3,-0.02301774985420276
28,legacy,4,4,0.0
29,legacy,1,1,0.0
29,legacy,1,2,-0.4299999999999991
29,legacy,1,3,0.12506456280279246
29,legacy,1,4,-0.08458809428556298
29,legacy,2,1,0.4299999999999991
29,legacy,2,2,0.0
29,legacy,2,3,0.18505667941928464
29,legacy,2,4,0.30811781617334116
29,legacy,3,1,-0.12506456280279246
29,legacy,3,2,-0.18505667941928464
29,legacy,3,3,0.0
29,legacy,3,4,-0.08499683098651385
29,legacy,4,1,0.08458809428556298
29,legacy,4,2,-0.30811781617334116
29,legacy,4,3,0.08499683098651385
29,legacy,4,4,0.0
30,legacy,1,1,0.0
30,legacy,1,2,0.23999999999999994
30,legacy,1,3,-0.19766557652326228
30,legacy,1,4,0.1160269238946371
30,legacy,2,1,-0.23999999999999994
30,legacy,2,2,0.0
30,legacy,2,3,0.06593154612016763
30,legacy,2,4,0.07202323087702832
30,legacy,3,1,0.19766557652326228
30,legacy,3,2,-0.06593154612016763
30,legacy,3,3,0.0
30,legacy,3,4,-0.02565316211079649
30,legacy,4,1,-0.1160269238946371
30,legacy,4,2,-0.07202323087702832
30,legacy,4,3,0.02565316211079649
30,legacy,4,4,0.0
31,legacy,1,1,0.0
31,legacy,1,2,0.05999999999999978
31,legacy,1,3,0.022378739485212427
31,legacy,1,4,0.009692168909861208
31,legacy,2,1,-0.05999999999999978
31,legacy,2,2,0.0
31,legacy,2,3,0.06974768707512465
31,legacy,2,4,0.0
31,legacy,3,1,-0.022378739485212427
31,legacy,3,2,-0.06974768707512465
31,legacy,3,3,0.0
31,legacy,3,4,-0.312510490902249
31,legacy,4,1,-0.009692168909861208
31,legacy,4,2,-0.0
31,legacy,4,3,0.312510490902249
31,legacy,4,4,0.0
32,legacy,1,1,0.0
32,legacy,1,2,0.21000000000000016
32,legacy,1,3,0.055591719066786345
32,legacy,1,4,3.737181504430514e-18
32,legacy,2,1,-0.21000000000000016
32,legacy,2,2,0.0
32,legacy,2,3,-0.10937044064389675
32,legacy,2,4,2.0961390268349697e-19
32,legacy,3,1,-0.055591719066786345
32,legacy,3,2,0.10937044064389675
32,legacy,3,3,0.0
32,legacy,3,4,3.737181504430514e-18
32,legacy,4,1,-3.737181504430514e-18
32,legacy,4,2,-2.0961390268349697e-19
32,legacy,4,3,-3.737181504430514e-18
32,legacy,4,4,0.0
33,legacy,1,1,0.0
33,legacy,1,2,-0.21999999999999942
33,legacy,1,3,0.03140162235455562
33,legacy,1,4,-0.04607011676172407
33,legacy,2,1,0.21999999999999942
33,legacy,2,2,0.0
33,legacy,2,3,-0.045128174134042735
33,legacy,2,4,0.0
33,legacy,3,1,-0.03140162235455562
33,legacy,3,2,0.045128174134042735
33,legacy,3,3,0.0
33,legacy,3,4,-0.30182435197294233
33,legacy,4,1,0.04607011676172407
33,legacy,4,2,-0.0
