oos_period,row_model,col_model,mu_matrice
37,4,4,0.0
38,1,1,0.0
38,1,2,0.06529817187882432
38,1,3,0.0
38,1,4,0.0
38,2,1,-0.06529817187882432
38,2,2,0.0
38,2,3,0.11238731067651835
38,2,4,0.0
38,3,1,-0.0
38,3,2,-0.11238731067651835
38,3,3,0.0
38,3,4,0.0
38,4,1,-0.0
38,4,2,-0.0
38,4,3,-0.0
38,4,4,0.0
39,1,1,0.0
39,1,2,1.3640838403473106
39,1,3,0.6678240520703577
39,1,4,0.0
39,2,1,-1.3640838403473106
39,2,2,0.0
39,2,3,-0.06292468817676722
39,2,4,0.0
39,3,1,-0.6678240520703577
39,3,2,0.06292468817676722
39,3,3,0.0
39,3,4,0.0
39,4,1,-0.0
39,4,2,-0.0
39,4,3,-0.0
39,4,4,0.0
40,1,1,0.0
40,1,2,0.029156842910715384
40,1,3,0.8572405761888025
40,1,4,0.002499999999999994
40,2,1,-0.029156842910715384
40,2,2,0.0
40,2,3,-0.04066225083694209
40,2,4,1.2436433541491831
40,3,1,-0.8572405761888025
40,3,2,0.04066225083694209
40,3,3,0.0
40,3,4,1.333526503120243
40,4,1,-0.002499999999999994
40,4,2,-1.2436433541491831
40,4,3,-1.333526503120243
40,4,4,0.0
41,1,1,0.0
41,1,2,-3.202657326211783
41,1,3,-2.325014009228761
41,1,4,4.040045777932947
41,2,1,3.202657326211783
41,2,2,0.0
41,2,3,-0.16140223029712739
41,2,4,1.5457999999999987
41,3,1,2.325014009228761
41,3,2,0.16140223029712739
41,3,3,0.0
41,3,4,2.805871541774966
41,4,1,-4.040045777932947
41,4,2,-1.5457999999999987
41,4,3,-2.805871541774966
41,4,4,0.0
42,1,1,0.0
42,1,2,3.8045066854727807
42,1,3,5.688184717702603
42,1,4,11.38527544226672
42,2,1,-3.8045066854727807
42,2,2,0.0
42,2,3,-0.21606548818935017
42,2,4,4.965819984142717
42,3,1,-5.688184717702603
42,3,2,0.21606548818935017
42,3,3,0.0
42,3,4,5.283339643929132
42,4,1,-11.38527544226672
42,4,2,-4.965819984142717
42,4,3,-5.283339643929132
42,4,4,0.0
43,1,1,0.0
43,1,2,-0.19768218496026216
43,1,3,-5.875350396480549
43,1,4,0.3831951479757827
43,2,1,0.19768218496026216
43,2,2,0.0
43,2,3,-2.67112638371027
43,2,4,0.8490487427540142
43,3,1,5.875350396480549
43,3,2,2.67112638371027
43,3,3,0.0
43,3,4,0.17687483883955268
43,4,1,-0.3831951479757827
43,4,2,-0.8490487427540142
43,4,3,-0.17687483883955268
43,4,4,0.0
44,1,1,0.0
44,1,2,-14.066233056966311
44,1,3,95.41276053230325
44,1,4,-15.01897227775948
44,2,1,14.066233056966311
44,2,2,0.0
44,2,3,-6.567881446697836
44,2,4,-1.6083606114508429
44,3,1,-95.41276053230325
44,3,2,6.567881446697836
44,3,3,0.0
44,3,4,1.7041247431688926
44,4,1,15.01897227775948
44,4,2,1.6083606114508429
44,4,3,-1.7041247431688926
44,4,4,0.0
45,1,1,0.0
45,1,2,-6.717677595641543
45,1,3,2.1143633108940523
45,1,4,-4.999999999999948
45,2,1,6.717677595641543
45,2,2,0.0
45,2,3,-0.20756249650178674
45,2,4,3.4200000000000554
45,3,1,-2.1143633108940523
45,3,2,0.20756249650178674
45,3,3,0.0
45,3,4,-4.566713463093544
45,4,1,4.999999999999948
45,4,2,-3.4200000000000554
45,4,3,4.566713463093544
45,4,4,0.0
46,1,1,0.0
46,1,2,8.349999999999998
46,1,3,15.759296885263614
46,1,4,-13.571678893101733
46,2,1,-8.349999999999998
46,2,2,0.0
46,2,3,10.037665195891334
46,2,4,-0.71084845257048
46,3,1,-15.759296885263614
46,3,2,-10.037665195891334
46,3,3,0.0
46,3,4,-59.714363935939204
46,4,1,13.571678893101733
46,4,2,0.71084845257048
46,4,3,59.714363935939204
46,4,4,0.0
47,1,1,0.0
47,1,2,-11.549517517521211
47,1,3,4.769382826783727
47,1,4,-40.74385442078115
47,2,1,11.549517517521211
47,2,2,0.0
47,2,3,-386.8567414427707
47,2,4,-0.5386007995905825
47,3,1,-4.769382826783727
47,3,2,386.8567414427707
47,3,3,0.0
47,3,4,-39.879580916543134
47,4,1,40.74385442078115
47,4,2,0.5386007995905825
47,4,3,39.879580916543134
47,4,4,0.0
48,1,1,0.0
48,1,2,-3.4086457659610003
48,1,3,4.755955712599439
48,1,4,-9.141650594854493
48,2,1,3.4086457659610003
48,2,2,0.0
48,2,3,45.37073587098632
48,2,4,-0.8736039982091742
48,3,1,-4.755955712599439
48,3,2,-45.37073587098632
48,3,3,0.0
48,3,4,-13.018803318084956
48,4,1,9.141650594854493
48,4,2,0.8736039982091742
48,4,3,13.018803318084956
48,4,4,0.0
49,1,1,0.0
49,1,2,-4.194350006436152
49,1,3,-5.456528443607274
49,1,4,11.014358794291292
49,2,1,4.194350006436152
49,2,2,0.0
49,2,3,-7.810310613256364
49,2,4,3.5502068549168095
49,3,1,5.456528443607274
49,3,2,7.810310613256364
49,3,3,0.0
49,3,4,11.24659778430176
49,4,1,-11.014358794291292
49,4,2,-3.5502068549168095
49,4,3,-11.24659778430176
49,4,4,0.0
