oos_period,variant,row_model,col_model,adjacency
44,legacy,3,3,0.0
44,legacy,3,4,0.0
44,legacy,4,1,0.0
44,legacy,4,2,0.0
44,legacy,4,3,16872.522209592993
44,legacy,4,4,0.0
45,legacy,1,1,0.0
45,legacy,1,2,1.8147701475975055
45,legacy,1,3,0.0
45,legacy,1,4,2.0901424156747384
45,legacy,2,1,0.0
45,legacy,2,2,0.0
45,legacy,2,3,0.11683048238597273
45,legacy,2,4,0.0
45,legacy,3,1,0.5425386811908893
45,legacy,3,2,0.0
45,legacy,3,3,0.0
45,legacy,3,4,4.1503843405401115
45,legacy,4,1,0.0
45,legacy,4,2,4.950349043491723
45,legacy,4,3,0.0
45,legacy,4,4,0.0
46,legacy,1,1,0.0
46,legacy,1,2,0.0
46,legacy,1,3,0.0
46,legacy,1,4,134373.05834754196
46,legacy,2,1,2.9367892031789826
46,legacy,2,2,0.0
46,legacy,2,3,0.0
46,legacy,2,4,0.1681918834548692
46,legacy,3,1,5.693002894063309
46,legacy,3,2,99382.82372169636
46,legacy,3,3,0.0
46,legacy,3,4,20.994173253691866
46,legacy,4,1,0.0
46,legacy,4,2,0.0
46,legacy,4,3,0.0
46,legacy,4,4,0.0
47,legacy,1,1,0.0
47,legacy,1,2,1.2101161673938987
47,legacy,1,3,0.0
47,legacy,1,4,8.25807768127186
47,legacy,2,1,0.0
47,legacy,2,2,0.0
47,legacy,2,3,0.0
47,legacy,2,4,0.13004826161488786
47,legacy,3,1,47221.61214637351
47,legacy,3,2,26.585521928170547
47,legacy,3,3,0.0
47,legacy,3,4,8.674846436804975
47,legacy,4,1,0.0
47,legacy,4,2,0.0
47,legacy,4,3,0.0
47,legacy,4,4,0.0
48,legacy,1,1,0.0
48,legacy,1,2,0.4384458603329031
48,legacy,1,3,0.0
48,legacy,1,4,0.9801121416027848
48,legacy,2,1,0.0
48,legacy,2,2,0.0
48,legacy,2,3,0.0
48,legacy,2,4,0.21374806084995443
48,legacy,3,1,0.971858106477668
48,legacy,3,2,14.854667278288401
48,legacy,3,3,0.0
48,legacy,3,4,1.1285660665183117
48,legacy,4,1,0.0
48,legacy,4,2,0.0
48,legacy,4,3,0.0
48,legacy,4,4,0.0
49,legacy,1,1,0.0
49,legacy,1,2,0.5046873879594664
49,legacy,1,3,1.783232873501194
49,legacy,1,4,0.0
49,legacy,2,1,0.0
49,legacy,2,2,0.0
49,legacy,2,3,77329.8080520432
49,legacy,2,4,0.0
49,legacy,3,1,0.0
49,legacy,3,2,0.0
49,legacy,3,3,0.0
49,legacy,3,4,0.0
49,legacy,4,1,109053.05736922073
49,legacy,4,2,0.9902217508501574
49,legacy,4,3,111352.45330991832
49,legacy,4,4,0.0
20,v2,1,1,0.0
20,v2,1,2,2.3532055216649073
20,v2,1,3,2.618201907753256
20,v2,1,4,3.575111044098091
