oos_period,centrality_type,model,centrality_score
41,pagerank,2,0.1482826101755468
41,pagerank,3,0.14313208946749764
41,pagerank,4,0.49709218573007424
42,pagerank,1,0.1357876421707294
42,pagerank,2,0.1504942943128381
42,pagerank,3,0.25118798270874015
42,pagerank,4,0.4625300808040714
43,pagerank,1,0.19440792909499532
43,pagerank,2,0.20290377064906687
43,pagerank,3,0.13655361963173315
43,pagerank,4,0.4661346806205633
44,pagerank,1,0.322940470101349
44,pagerank,2,0.06269438425024987
44,pagerank,3,0.31199940286933264
44,pagerank,4,0.3023657427780684
45,pagerank,1,0.1693711572531414
45,pagerank,2,0.29918172144415695
45,pagerank,3,0.3078608414301366
45,pagerank,4,0.22358627987156507
46,pagerank,1,0.23939611725078322
46,pagerank,2,0.19866100404980425
46,pagerank,3,0.43253020923388963
46,pagerank,4,0.12941266946207214
47,pagerank,1,0.320856063951182
47,pagerank,2,0.3152109657311444
47,pagerank,3,0.32643297031671104
47,pagerank,4,0.03749999999996251
48,pagerank,1,0.19945923056439102
48,pagerank,2,0.1552810104499461
48,pagerank,3,0.5012451620469827
48,pagerank,4,0.14401459693483978
49,pagerank,1,0.19330140255810754
49,pagerank,2,0.18792486380401752
49,pagerank,3,0.13937271620380973
49,pagerank,4,0.4794010174303487
20,softmax,1,0.47143494141936415
20,softmax,2,0.2502767469059877
20,softmax,3,0.14682654562012976
20,softmax,4,0.13146176605451843
21,softmax,1,0.45858881688816855
21,softmax,2,0.11183173941898998
21,softmax,3,0.2891048508683815
21,softmax,4,0.14047459282446
22,softmax,1,0.30280866765907777
22,softmax,2,0.20880377208237333
22,softmax,3,0.2477824303358302
22,softmax,4,0.24060512992271862
23,softmax,1,0.14222632376150923
23,softmax,2,0.41173027692772907
23,softmax,3,0.21383005275619094
23,softmax,4,0.2322133465545707
24,softmax,1,0.24975318257305198
24,softmax,2,0.2655084723850047
24,softmax,3,0.23414736413717907
24,softmax,4,0.25059098090476417
25,softmax,1,0.1910583032171788
25,softmax,2,0.22560208129485998
25,softmax,3,0.31635662508381635
25,softmax,4,0.26698299040414497
26,softmax,1,0.24623475973572947
26,softmax,2,0.23597055793626512
26,softmax,3,0.26805961782722326
26,softmax,4,0.2497350645007822
27,softmax,1,0.26436467204156616
27,softmax,2,0.21756366279112982
27,softmax,3,0.2689168585718052
27,softmax,4,0.2491548065954988
28,softmax,1,0.2789448211262774
28,softmax,2,0.19778306314956193
28,softmax,3,0.2755480286580926
28,softmax,4,0.24772408706606813
29,softmax,1,0.24413295534357693
29,softmax,2,0.23997176908469223
29,softmax,3,0.2660884962116254
29,softmax,4,0.24980677936010537
30,softmax,1,0.23765883966024104
30,softmax,2,0.25306841459406487
30,softmax,3,0.259679369536645
30,softmax,4,0.24959337620904914
31,softmax,1,0.23499484328879072
31,softmax,2,0.2626368599330046
31,softmax,3,0.25036228218921525
31,softmax,4,0.25200601458898936
32,softmax,1,0.2587202050517784
32,softmax,2,0.2430205573150821
32,softmax,3,0.24489779522436242
32,softmax,4,0.25336144240877706
33,softmax,1,0.21213888114662777
33,softmax,2,0.30275601649087647
33,softmax,3,0.23720404364311268
33,softmax,4,0.24790105871938298
34,softmax,1,0.24664026590158655
34,softmax,2,0.26696013648611694
34,softmax,3,0.24173071985279596
34,softmax,4,0.2446688777595007
35,softmax,1,0.2699401771485577
35,softmax,2,0.2602962906292839
35,softmax,3,0.2204766734553786
35,softmax,4,0.24928685876677975
36,softmax,1,0.22678474782961436
36,softmax,2,0.2853369860356862
36,softmax,3,0.23880017965147543
36,softmax,4,0.24907808648322402
37,softmax,1,0.5336814618380294
37,softmax,2,0.21893461576874904
37,softmax,3,0.23655416900868667
37,softmax,4,0.010829753384534728
38,softmax,1,0.24455196601104986
38,softmax,2,0.24604083152004774
38,softmax,3,0.25947395213510327
38,softmax,4,0.249933250333799
39,softmax,1,0.11703449516768183
39,softmax,2,0.3707177020868359
39,softmax,3,0.28185830325784755
39,softmax,4,0.2303894994876347
40,softmax,1,0.16079259952802644
40,softmax,2,0.1462240038826778
40,softmax,3,0.1820166949371718
40,softmax,4,0.5109667016521241
41,softmax,1,0.08909354964644228
41,softmax,2,0.011761051905006542
41,softmax,3,0.009297223659743404
41,softmax,4,0.8898481747888077
42,softmax,1,7.000423169367052e-07
42,softmax,2,0.0005378744589854467
42,softmax,3,0.000784961221612805
42,softmax,4,0.9986764642770848
43,softmax,1,0.6639430065110391
43,softmax,2,0.17123707269863506
43,softmax,3,0.005440113700045057
43,softmax,4,0.15937980709028068
44,softmax,1,6.06997179755227e-23
44,softmax,2,3.4073772308158424e-14
44,softmax,3,0.9999999999999643
44,softmax,4,1.6777532806114442e-15
45,softmax,1,0.7358155753534679
45,softmax,2,0.0010939952721815884
45,softmax,3,0.25922925931748836
45,softmax,4,0.003861170056862292
46,softmax,1,1.245923014280055e-14
46,softmax,2,3.0168863475481213e-13
46,softmax,3,0.9999999999996858
46,softmax,4,8.10625888882397e-24
47,softmax,1,2.9549229988714974e-48
47,softmax,2,1.0
47,softmax,3,1.1248490662092517e-104
47,softmax,4,6.939624108531856e-67
48,softmax,1,9.70732811531877e-09
48,softmax,2,8.388449704045642e-17
48,softmax,3,0.9999999902923374
48,softmax,4,3.3437354991227357e-13
49,softmax,1,0.00011639528672875887
49,softmax,2,0.00018742961866831859
49,softmax,3,5.183653221467641e-08
49,softmax,4,0.9996961232580707
