oos_period,variant,row_model,col_model,sigma
37,legacy,2,3,0.18093566867367422
37,legacy,2,4,0.17259841334005796
37,legacy,3,1,1e-06
37,legacy,3,2,0.18093566867367422
37,legacy,3,3,0.0
37,legacy,3,4,0.2793520349767045
37,legacy,4,1,0.5644442504936117
37,legacy,4,2,0.17259841334005796
37,legacy,4,3,0.2793520349767045
37,legacy,4,4,0.0
38,legacy,1,1,0.0
38,legacy,1,2,0.36904621822022377
38,legacy,1,3,0.4750411474004531
38,legacy,1,4,1e-06
38,legacy,2,1,0.36904621822022377
38,legacy,2,2,0.0
38,legacy,2,3,0.17223919590109907
38,legacy,2,4,0.09753942108166624
38,legacy,3,1,0.4750411474004531
38,legacy,3,2,0.17223919590109907
38,legacy,3,3,0.0
38,legacy,3,4,0.40826425341741546
38,legacy,4,1,1e-06
38,legacy,4,2,0.09753942108166624
38,legacy,4,3,0.40826425341741546
38,legacy,4,4,0.0
39,legacy,1,1,0.0
39,legacy,1,2,0.31580624739865787
39,legacy,1,3,1e-06
39,legacy,1,4,1e-06
39,legacy,2,1,0.31580624739865787
39,legacy,2,2,0.0
39,legacy,2,3,0.15174948904448068
39,legacy,2,4,0.31435911765547586
39,legacy,3,1,1e-06
39,legacy,3,2,0.15174948904448068
39,legacy,3,3,0.0
39,legacy,3,4,1e-06
39,legacy,4,1,1e-06
39,legacy,4,2,0.31435911765547586
39,legacy,4,3,1e-06
39,legacy,4,4,0.0
40,legacy,1,1,0.0
40,legacy,1,2,0.5272059078952529
40,legacy,1,3,0.24079977354919885
40,legacy,1,4,1e-06
40,legacy,2,1,0.5272059078952529
40,legacy,2,2,0.0
40,legacy,2,3,0.1132197719491387
40,legacy,2,4,1e-06
40,legacy,3,1,0.24079977354919885
40,legacy,3,2,0.1132197719491387
40,legacy,3,3,0.0
40,legacy,3,4,1e-06
40,legacy,4,1,1e-06
40,legacy,4,2,1e-06
40,legacy,4,3,1e-06
40,legacy,4,4,0.0
41,legacy,1,1,0.0
