oos_period,row_model,col_model,adjacency_matrice
39,4,3,0.0
39,4,4,0.0
40,1,1,0.0
40,1,2,0.0
40,1,3,0.0
40,1,4,0.0
40,2,1,0.05529398111069005
40,2,2,0.0
40,2,3,0.35882750324623686
40,2,4,0.0
40,3,1,3.5584947364582358
40,3,2,0.0
40,3,3,0.0
40,3,4,0.0
40,4,1,24.752475247524693
40,4,2,12313.300536130526
40,4,3,13203.232704160822
40,4,4,0.0
41,1,1,0.0
41,1,2,5.455373611722577
41,1,3,6.606561215471132
41,1,4,0.0
41,2,1,0.0
41,2,2,0.0
41,2,3,0.49808497558795617
41,2,4,0.0
41,3,1,0.0
41,3,2,0.0
41,3,3,0.0
41,3,4,0.0
41,4,1,3.0009665856620615
41,4,2,15304.950495049492
41,4,3,4.660795640934522
41,4,4,0.0
42,1,1,0.0
42,1,2,0.0
42,1,3,0.0
42,1,4,0.0
42,2,1,2.9325979902106476
42,2,2,0.0
42,2,3,0.6764081381831882
42,2,4,0.0
42,3,1,56318.660571312896
42,3,2,0.0
42,3,3,0.0
42,3,4,0.0
42,4,1,6.415738714805001
42,4,2,9.28792278736453
42,4,3,9.14763531744489
42,4,4,0.0
43,1,1,0.0
43,1,2,0.060667107419032466
43,1,3,5.325285340997259
43,1,4,0.0
43,2,1,0.0
43,2,2,0.0
43,2,3,7.592753410562373
43,2,4,0.0
43,3,1,0.0
43,3,2,0.0
43,3,3,0.0
43,3,4,0.0
43,4,1,0.09751542306714216
43,4,2,0.8637461869653311
43,4,3,0.3644519962869224
43,4,4,0.0
44,1,1,0.0
44,1,2,139269.6342273892
44,1,3,0.0
44,1,4,148702.69581940077
44,2,1,0.0
44,2,2,0.0
44,2,3,21.260046465058604
44,2,4,15924.362489612306
44,3,1,149.54720545531075
44,3,2,0.0
44,3,3,0.0
44,3,4,0.0
44,4,1,0.0
44,4,2,0.0
44,4,3,16872.522209592997
44,4,4,0.0
45,1,1,0.0
45,1,2,1.8147701475975064
45,1,3,0.0
45,1,4,2.090142415674734
45,2,1,0.0
45,2,2,0.0
45,2,3,0.11683048238597271
45,2,4,0.0
45,3,1,0.5425386811908848
45,3,2,0.0
45,3,3,0.0
45,3,4,4.150384340540112
45,4,1,0.0
45,4,2,4.950349043491715
45,4,3,0.0
45,4,4,0.0
46,1,1,0.0
46,1,2,0.0
46,1,3,0.0
46,1,4,134373.05834754193
46,2,1,2.9367892031789857
46,2,2,0.0
46,2,3,0.0
46,2,4,0.1681918834548692
46,3,1,5.693002894063313
46,3,2,99382.82372169638
46,3,3,0.0
46,3,4,20.994173253691848
46,4,1,0.0
46,4,2,0.0
46,4,3,0.0
46,4,4,0.0
47,1,1,0.0
47,1,2,1.2101161673938994
47,1,3,0.0
47,1,4,8.258077681271864
47,2,1,0.0
47,2,2,0.0
47,2,3,191.428524524765
47,2,4,0.1300482616148879
47,3,1,47221.61214637353
47,3,2,0.0
47,3,3,0.0
47,3,4,8.674846436804977
47,4,1,0.0
47,4,2,0.0
47,4,3,0.0
47,4,4,0.0
48,1,1,0.0
48,1,2,0.43844586033290295
48,1,3,0.0
48,1,4,0.980112141602785
48,2,1,0.0
48,2,2,0.0
48,2,3,0.0
48,2,4,0.21374806084995432
48,3,1,0.9718581064776688
48,3,2,14.854667278288412
48,3,3,0.0
48,3,4,1.1285660665183115
48,4,1,0.0
48,4,2,0.0
48,4,3,0.0
48,4,4,0.0
49,1,1,0.0
49,1,2,0.5046873879594664
49,1,3,1.783232873501195
49,1,4,0.0
49,2,1,0.0
49,2,2,0.0
49,2,3,77329.80805204321
49,2,4,0.0
49,3,1,0.0
49,3,2,0.0
49,3,3,0.0
49,3,4,0.0
49,4,1,109053.05736922071
49,4,2,0.990221750850158
49,4,3,111352.45330991842
49,4,4,0.0
