oos_period,variant,row_model,col_model,mu
41,legacy,2,3,-0.16140223029712739
41,legacy,2,4,1.5457999999999987
41,legacy,3,1,2.325014009228761
41,legacy,3,2,0.16140223029712739
41,legacy,3,3,0.0
41,legacy,3,4,2.805871541774966
41,legacy,4,1,-4.040045777932947
41,legacy,4,2,-1.5457999999999987
41,legacy,4,3,-2.805871541774966
41,legacy,4,4,0.0
42,legacy,1,1,0.0
42,legacy,1,2,3.8045066854727807
42,legacy,1,3,5.688184717702603
42,legacy,1,4,11.38527544226672
42,legacy,2,1,-3.8045066854727807
42,legacy,2,2,0.0
42,legacy,2,3,-0.21606548818935017
42,legacy,2,4,4.965819984142717
42,legacy,3,1,-5.688184717702603
42,legacy,3,2,0.21606548818935017
42,legacy,3,3,0.0
42,legacy,3,4,5.283339643929132
42,legacy,4,1,-11.38527544226672
42,legacy,4,2,-4.965819984142717
42,legacy,4,3,-5.283339643929132
42,legacy,4,4,0.0
43,legacy,1,1,0.0
43,legacy,1,2,-0.19768218496026216
43,legacy,1,3,-5.875350396480549
43,legacy,1,4,0.3831951479757827
43,legacy,2,1,0.19768218496026216
43,legacy,2,2,0.0
43,legacy,2,3,-2.67112638371027
43,legacy,2,4,0.8490487427540142
43,legacy,3,1,5.875350396480549
43,legacy,3,2,2.67112638371027
43,legacy,3,3,0.0
43,legacy,3,4,0.17687483883955268
43,legacy,4,1,-0.3831951479757827
43,legacy,4,2,-0.8490487427540142
43,legacy,4,3,-0.17687483883955268
43,legacy,4,4,0.0
44,legacy,1,1,0.0
44,legacy,1,2,-14.066233056966311
44,legacy,1,3,95.41276053230325
44,legacy,1,4,-15.01897227775948
44,legacy,2,1,14.066233056966311
44,legacy,2,2,0.0
44,legacy,2,3,-6.567881446697836
44,legacy,2,4,-1.6083606114508429
44,legacy,3,1,-95.41276053230325
44,legacy,3,2,6.567881446697836
44,legacy,3,3,0.0
44,legacy,3,4,1.7041247431688926
44,legacy,4,1,15.01897227775948
44,legacy,4,2,1.6083606114508429
44,legacy,4,3,-1.7041247431688926
44,legacy,4,4,0.0
45,legacy,1,1,0.0
45,legacy,1,2,-6.717677595641543
45,legacy,1,3,2.1143633108940523
45,legacy,1,4,-4.999999999999948
45,legacy,2,1,6.717677595641543
45,legacy,2,2,0.0
45,legacy,2,3,-0.20756249650178674
45,legacy,2,4,3.4200000000000554
45,legacy,3,1,-2.1143633108940523
45,legacy,3,2,0.20756249650178674
45,legacy,3,3,0.0
45,legacy,3,4,-4.566713463093544
45,legacy,4,1,4.999999999999948
45,legacy,4,2,-3.4200000000000554
45,legacy,4,3,4.566713463093544
45,legacy,4,4,0.0
46,legacy,1,1,0.0
46,legacy,1,2,8.349999999999998
46,legacy,1,3,15.759296885263614
46,legacy,1,4,-13.571678893101733
46,legacy,2,1,-8.349999999999998
46,legacy,2,2,0.0
46,legacy,2,3,10.037665195891334
46,legacy,2,4,-0.71084845257048
46,legacy,3,1,-15.759296885263614
46,legacy,3,2,-10.037665195891334
46,legacy,3,3,0.0
46,legacy,3,4,-59.714363935939204
46,legacy,4,1,13.571678893101733
46,legacy,4,2,0.71084845257048
46,legacy,4,3,59.714363935939204
46,legacy,4,4,0.0
47,legacy,1,1,0.0
47,legacy,1,2,-11.549517517521211
47,legacy,1,3,4.769382826783727
47,legacy,1,4,-40.74385442078115
47,legacy,2,1,11.549517517521211
47,legacy,2,2,0.0
47,legacy,2,3,-386.8567414427707
47,legacy,2,4,-0.5386007995905825
47,legacy,3,1,-4.769382826783727
47,legacy,3,2,386.8567414427707
47,legacy,3,3,0.0
47,legacy,3,4,-39.879580916543134
47,legacy,4,1,40.74385442078115
47,legacy,4,2,0.5386007995905825
47,legacy,4,3,39.879580916543134
