oos_period,model,centrality_score
175,1,1.2368668001951785e-07
175,2,3.152668690658936e-07
175,3,2.6335251182585484e-07
175,4,1.6781757156602596e-07
175,5,0.9963907264625568
175,6,0.0036070841644391537
175,7,4.226547518519996e-07
175,8,8.96593619657688e-07
176,1,1.2725871276173276e-07
176,2,2.098054073605387e-07
176,3,2.0690857975932904e-07
176,4,1.7566362848527786e-07
176,5,0.0007342028730364945
176,6,0.9992637169604575
176,7,3.50262449665444e-07
176,8,1.0102667279434787e-06
177,1,1.4726630164646168e-07
177,2,2.9278297574613957e-07
177,3,2.4649415124122906e-07
177,4,2.5139023995428897e-07
177,5,1.4840004815419554e-06
177,6,0.9984121867362789
177,7,5.10409213053002e-07
177,8,0.0015848809193578619
178,1,8.578100247726298e-11
178,2,8.583979923823108e-11
178,3,8.581449419967476e-11
178,4,8.583885192005148e-11
178,5,0.035992739719557014
178,6,0.7977714657033597
178,7,8.588827537183884e-11
178,8,0.16623579414692077
179,1,6.785591844421627e-08
179,2,1.1443017152542813e-07
179,3,8.085221412145661e-08
179,4,1.3359473186801052e-07
179,5,0.9985119159185488
179,6,0.001487221570723945
179,7,1.5232712417058562e-07
179,8,3.1344956699623505e-07
180,1,4.729725510039219e-12
180,2,5.092186776482637e-06
180,3,4.789269704697029e-12
180,4,9.611718934595917e-06
180,5,0.00016329765116582427
180,6,0.9027608214819278
180,7,1.0496116018811213e-10
180,8,0.0970611768457151
181,1,1.4222666918998204e-08
181,2,1.4462703122173175e-08
181,3,1.5288676714049653e-08
181,4,1.6326529670642538e-08
181,5,0.02853732778677073
181,6,3.2951634936339186e-05
181,7,1.6556938878894648e-08
181,8,0.9714296437197775
182,1,2.0397422226526984e-08
182,2,2.0787406805744644e-08
182,3,2.1662191537018244e-08
182,4,0.9979116125247518
182,5,4.2296944810598217e-05
182,6,3.0252353969549204e-08
182,7,2.622006743549482e-08
182,8,0.0020459712099958087
183,1,1.4543734697915746e-08
183,2,1.4710986619128167e-08
183,3,1.4758271287875676e-08
183,4,0.9975752812318213
183,5,2.2206225143995736e-05
183,6,1.8558765527315837e-08
183,7,1.713601015755851e-08
183,8,0.0024024328342665538
184,1,2.429986100437989e-09
184,2,2.4166900257504152e-09
184,3,2.408542305321753e-09
184,4,0.9834777784074396
184,5,0.0003376983562678997
184,6,1.7000344841527594e-06
184,7,0.00012045818014845216
184,8,0.01606235776544139
185,1,1.9106937322609448e-09
185,2,1.9301568605297115e-09
185,3,1.9019963131735253e-09
185,4,3.687631617392546e-06
185,5,0.9243119957378216
185,6,0.0006305769761280451
185,7,1.991275217179183e-09
185,8,0.07505373191931076
186,1,1.9780730772893576e-08
186,2,1.9514435204021403e-08
186,3,1.97553502670153e-08
186,4,0.9990572289941569
186,5,2.242962562653362e-05
186,6,2.6357282660858986e-08
186,7,2.5052756931790576e-08
186,8,0.0009202309186605938
187,1,5.31342903780525e-09
187,2,5.12723770328311e-09
187,3,5.089448971264271e-09
187,4,0.9983331351513586
187,5,1.0631299899825243e-05
187,6,5.63029094811633e-09
187,7,5.663786822109259e-09
187,8,0.0016562067235479717
188,1,7.423708051861741e-09
188,2,7.649456671289338e-09
188,3,7.471323740253524e-09
188,4,0.9973624311996178
188,5,0.0026295886116910598
188,6,8.333182921561051e-09
188,7,8.157885398040617e-09
188,8,7.941152134451533e-06
189,1,9.068229022410686e-09
189,2,9.200524442713461e-09
189,3,9.010273820013037e-09
189,4,0.9987344266084248
189,5,0.0012552728568389368
189,6,1.0092106903067594e-08
189,7,9.96883530758013e-09
189,8,1.025319376663924e-05
190,1,4.979379902677325e-06
190,2,3.318153214950827e-08
190,3,0.00036296875765739686
190,4,0.9955268952841607
190,5,0.004071956211967257
190,6,6.891498059023618e-08
190,7,5.20518929577746e-08
190,8,3.304621690617458e-05
191,1,5.659962108041064e-08
191,2,5.669106312640468e-08
191,3,4.698195757822172e-08
191,4,0.999907733966164
191,5,7.311862433406511e-07
191,6,1.1625866095130067e-05
191,7,3.3189257439652487e-06
191,8,7.642978211178428e-05
192,1,4.750281953914636e-08
192,2,5.468121976529599e-08
192,3,4.0400425074223946e-08
192,4,0.9998687419835414
192,5,0.0001308879003667539
192,6,4.997187148742203e-08
192,7,7.251949992048684e-08
192,8,1.0503925592702169e-07
193,1,5.003983452683776e-08
193,2,7.239841789989109e-08
193,3,3.8350371919808534e-08
193,4,0.9998082598009118
193,5,0.00019134409091640638
193,6,4.444769365599561e-08
193,7,7.919567609719779e-08
193,8,1.1167517777005916e-07
194,1,1.7405573267719751e-06
194,2,3.72247157731865e-05
194,3,1.948824984237435e-08
194,4,0.9998028420768417
194,5,0.00015794879711113262
194,6,2.0573271796099098e-08
194,7,7.738152097757354e-08
194,8,1.2640890468948384e-07
195,1,8.398955581103671e-08
195,2,5.890698297051247e-08
195,3,5.431093055297799e-08
195,4,0.9998651592921355
195,5,0.00013431139190642267
195,6,6.44150043233231e-08
195,7,1.1100494048466067e-07
195,8,1.5668754383397997e-07
196,1,1.0765009735351429e-07
196,2,6.759595981013053e-08
196,3,5.983899689913375e-08
196,4,0.9998453735684275
196,5,0.00015396709021606956
196,6,7.973906275690361e-08
196,7,1.435017009512529e-07
196,8,2.0101453870540191e-07
197,1,3.3677673736821586e-07
197,2,2.2148849212098382e-07
197,3,1.1892401542804003e-07
197,4,0.9996583244634498
197,5,0.0003393865051116197
197,6,8.070865133661533e-08
197,7,6.428341205831007e-07
197,8,8.882984215973877e-07
198,1,8.901137556322733e-08
198,2,6.240396910209162e-08
198,3,5.16349442473137e-08
198,4,0.9998803758318373
198,5,0.00011914263543695779
198,6,5.037744879550447e-08
198,7,1.0312073797659617e-07
198,8,1.2498324985847443e-07
199,1,1.2525133136313133e-07
199,2,6.870598509875053e-08
199,3,6.971932296710788e-08
199,4,0.9998506006718205
199,5,0.000148750537753765
199,6,6.320122125823427e-08
199,7,1.4510833992837671e-07
199,8,1.768032249089031e-07
200,1,1.3559898516892428e-07
200,2,6.997967144043185e-08
200,3,7.131761179447566e-08
200,4,0.9999330352298907
200,5,1.939408482336773e-07
200,6,6.708948887535585e-08
200,7,1.472343343264839e-07
200,8,6.62796081693489e-05
201,1,1.1157456537008515e-07
201,2,5.173774278603319e-08
201,3,7.250338501071844e-08
