oos_period,var_error,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection_v2,rs_selection,recent_best,bates_granger_mv
296,10.164866900481327,5.305816281531295,2.482877521112516,2.981382200035526,2.963510218631207,6.1048731726173955,6.393805680337179,6.332491267576216,-11.929362614201168,-15.304800296926729,-18.433480900263824,72.99885916962326,38.09598568759711,-7.292276652628711,3.9391639654806094,55.45843260747694,10.286196665571953
297,10.32832536317031,5.388937664984306,2.566303442934996,3.079887101087593,3.062222826112425,6.188424767245753,6.478270828547766,5.859281867888669,-12.385781345245071,-15.077514282206643,-18.193542147098157,72.54595574467642,37.69454842388422,-7.861394732480225,3.3700458856290956,54.88931452762542,10.380733273035775
298,9.20031279466663,4.26300372885942,1.4403523714717388,1.9597632354722043,1.942043418888645,5.062870741482463,5.352464490468583,5.177257780688202,-13.067195894716246,-16.130590767864007,-19.23968412280481,71.84357089537028,37.00077815792333,-8.523960781338705,2.707479836770615,54.22674847876694,9.25303640239768
299,8.635566383044802,3.6690335631281004,0.8464764202717361,1.3739557476534543,1.3562677273927617,4.46936720111791,4.759137933306992,4.586984417298753,-13.654018170741795,-16.313876864123017,-19.417252248900976,71.27536590864882,36.439876187409325,-9.124053623012005,2.1073869950973143,53.62665563709364,8.652951129732616
300,8.101662718670314,3.227920428914924,0.4046394015367508,0.9566997339575951,0.9391359841639146,4.029061871307791,4.318365301221151,3.9984390972906114,-14.239644615569937,-16.599668715024563,-19.688631000641884,70.6874786140238,35.86097312740322,-9.709499621658058,1.521940996451261,53.04120963844759,8.175760144355303
301,7.87122324476632,3.007574739086502,0.1843498862640867,0.7412424667228801,0.7237533420661858,3.8088571114501018,4.098289536800294,3.7759709676460207,-14.46319886198097,-16.75412639318027,-19.838885768309993,70.46163382988533,35.63365761344742,-9.929157104554795,1.3022835135545237,52.821552155550854,7.952684593075532
302,8.739003576739554,3.649417757421885,0.8249410310725191,1.3139484254958373,1.2952692343859311,4.449048520304782,4.733575943671013,4.809539304910318,-13.461423945648413,-16.70448248957351,-19.799541519573776,71.46383317997311,36.51753890637386,-8.826654495120145,2.4047861229891727,53.924054764985506,8.68798854115186
303,8.799786197369665,3.7958655736878186,0.9714937628975802,1.4498319905656216,1.430965817136912,4.59590141269664,4.881221079361655,5.012795478969884,-13.26734130656822,-16.722386417479846,-19.82398094097041,71.64326596582154,36.63620421267575,-8.592377051767674,2.6390635663416453,54.15833220833798,8.814374245177408
304,8.771555039604944,3.7499664094928398,0.9255770525762456,1.4035025361284363,1.3846342822375004,4.549907620471088,4.83512006604136,5.065961754589824,-13.208549531200934,-16.743592944191956,-19.845443506430865,71.73676846585207,36.77518221522008,-8.555296077621442,2.676144540487876,54.19541318248421,8.771284714794177
305,8.364344301265417,3.300781780834713,0.4764714481491187,0.9718602216533825,0.9528448214491598,4.106321298384652,4.3900970748371435,4.598852405553113,-13.676750933023266,-17.01307539816422,-20.117257878663896,71.26237972803584,36.29092994335149,-9.003832051999375,2.227608566109944,53.74687720810628,8.307080962650886
306,8.507222061325358,3.6803671611006012,0.8561069820095324,1.3569702781332238,1.3380240226969062,4.487827535811949,4.771996254805695,4.827244212778358,-13.448948155627054,-16.931305411981274,-20.035069105943617,71.48804315112604,36.514269612829295,-8.777215809317223,2.454224808792096,53.97349345078843,8.721152641751114
307,8.622102809601087,3.6811492085725743,0.8568850711830707,1.357409404292527,1.3384573413015473,4.488568415526456,4.772722477634405,4.875401930483736,-13.397747377861139,-16.911666090873325,-20.014297045787835,71.57590296596241,36.622825754107126,-8.736355740740247,2.4950848773690715,54.01435351936541,8.724126036947801
308,8.97735526006309,3.3991686581914267,0.5742192438081726,1.0398252407619153,1.0208619535257455,4.186984254250445,4.472449708304236,4.622309938032888,-13.669556562450488,-17.34810224481824,-20.454683917882416,71.08094980434011,36.12363047517376,-8.931929510304233,2.299511107805086,53.81877974980142,8.433901373684572
309,8.640082055309986,3.491798243541339,0.667366300600394,1.1445008634084273,1.1181788466416531,4.303100076594361,4.569178855485209,4.321003815028266,-13.964509113076755,-15.934091384992161,-20.599735227676668,71.53449548578259,35.88404723012088,-9.236572714522033,2.914590548838314,53.51413654558362,8.545320177803848
310,8.69919985451499,3.55887736952576,0.7344763993981535,1.2086562737059618,1.1825064439882385,4.3693899216115755,4.6352404187602545,4.378314541019026,-13.926128847973695,-15.856003841321543,-20.59959844934971,71.71580173132556,35.8936712229024,-9.198080320126643,5.556652821049986,53.55262893997901,8.613288524399458
311,8.834488140897129,3.705228232096779,0.8808122889028556,1.3434840498657958,1.317354824510798,4.511169941748839,4.777061199211206,4.687991495616928,-13.616605604511278,-15.870047955858112,-20.611151318996857,71.96174147497068,36.144159614942865,-8.888390508371716,5.866342632804913,53.86231875173394,8.766604527373376
312,7.6484391549624515,2.368880769370647,-0.45548236462382263,0.03384683537662103,0.0076885241314352815,3.189722682336371,3.456056377034054,3.2663926320902164,-15.037934306456059,-16.686526926024978,-21.433073580003743,70.72040642543051,34.91977795565856,-10.309997819572331,4.4447353216042975,52.44071144053332,7.391955474554446
313,7.740323772513481,2.5269792772901862,-0.2973683987855291,0.1946544222966095,0.1687541452370666,3.3562617834185526,3.6182560376124115,3.452885092543055,-14.850880669906276,-16.65240413815433,-21.345779343629417,71.226596117309,35.2428448478722,-10.123487870639456,4.631245270537173,52.62722138946619,7.565673433786268
314,6.651543321553127,1.4469271505600592,-1.3773746692927846,-0.862087714666159,-0.887863802689153,2.2922538590874577,2.5522937460611583,2.480500247336093,-15.824270264619823,-17.446956464184943,-22.13699231499899,70.11972150100617,34.13093547964436,-11.09580736506578,3.65892577611085,51.65490189503987,6.477616256750279
