oos_period,variant,row_model,col_model,mu
223,legacy,8,5,0.940112255014899
223,legacy,8,6,-6.875111921772739
223,legacy,8,7,0.534839334039313
223,legacy,8,8,0.0
224,legacy,1,1,0.0
224,legacy,1,2,-5.127049135364391
224,legacy,1,3,-2.567004051349429
224,legacy,1,4,2.2817376722534877
224,legacy,1,5,1.7304381107938092
224,legacy,1,6,-3.0990783203150394
224,legacy,1,7,1.357483903166281
224,legacy,1,8,1.1432486457026934
224,legacy,2,1,5.127049135364391
224,legacy,2,2,0.0
224,legacy,2,3,1.7225745260424514
224,legacy,2,4,7.381315792981511
224,legacy,2,5,7.125432626906134
224,legacy,2,6,8.489862875400704
224,legacy,2,7,6.918171777717622
224,legacy,2,8,6.569902777188084
224,legacy,3,1,2.567004051349429
224,legacy,3,2,-1.7225745260424514
224,legacy,3,3,0.0
224,legacy,3,4,5.7287216815893025
224,legacy,3,5,5.145910910285281
224,legacy,3,6,1.8901381543268432
224,legacy,3,7,5.3528638801251445
224,legacy,3,8,4.657040115895073
224,legacy,4,1,-2.2817376722534877
224,legacy,4,2,-7.381315792981511
224,legacy,4,3,-5.7287216815893025
224,legacy,4,4,0.0
224,legacy,4,5,0.003365271503544764
224,legacy,4,6,0.9345282650002947
224,legacy,4,7,-0.34511476855854906
224,legacy,4,8,-0.6609960500613477
224,legacy,5,1,-1.7304381107938092
224,legacy,5,2,-7.125432626906134
224,legacy,5,3,-5.145910910285281
224,legacy,5,4,-0.003365271503544764
224,legacy,5,5,0.0
224,legacy,5,6,0.032756717839200714
224,legacy,5,7,-0.019724955094488912
224,legacy,5,8,-0.42991724194719677
224,legacy,6,1,3.0990783203150394
224,legacy,6,2,-8.489862875400704
224,legacy,6,3,-1.8901381543268432
224,legacy,6,4,-0.9345282650002947
224,legacy,6,5,-0.032756717839200714
224,legacy,6,6,0.0
224,legacy,6,7,-0.9561720497264824
224,legacy,6,8,-0.707597377228573
224,legacy,7,1,-1.357483903166281
224,legacy,7,2,-6.918171777717622
224,legacy,7,3,-5.3528638801251445
224,legacy,7,4,0.34511476855854906
224,legacy,7,5,0.019724955094488912
224,legacy,7,6,0.9561720497264824
224,legacy,7,7,0.0
224,legacy,7,8,-0.43867306685883817
224,legacy,8,1,-1.1432486457026934
224,legacy,8,2,-6.569902777188084
224,legacy,8,3,-4.657040115895073
224,legacy,8,4,0.6609960500613477
224,legacy,8,5,0.42991724194719677
224,legacy,8,6,0.707597377228573
224,legacy,8,7,0.43867306685883817
224,legacy,8,8,0.0
225,legacy,1,1,0.0
225,legacy,1,2,-4.881574490615554
225,legacy,1,3,-1.901588088697017
225,legacy,1,4,1.8269451620228996
225,legacy,1,5,1.4663998202239714
225,legacy,1,6,-4.304844754420349
225,legacy,1,7,1.5539768207846136
225,legacy,1,8,1.0937188694690538
225,legacy,2,1,4.881574490615554
225,legacy,2,2,0.0
225,legacy,2,3,3.747597208782058
225,legacy,2,4,5.303401647276566
225,legacy,2,5,6.047356836763035
