oos_period,variant,row_model,col_model,sigma
158,legacy,7,8,1e-06
158,legacy,8,1,4.883422968908684
158,legacy,8,2,1e-06
158,legacy,8,3,0.7974949133849714
158,legacy,8,4,14.663380256693596
158,legacy,8,5,1e-06
158,legacy,8,6,1e-06
158,legacy,8,7,1e-06
158,legacy,8,8,0.0
159,legacy,1,1,0.0
159,legacy,1,2,5.00543055632575
159,legacy,1,3,5.375075187853584
159,legacy,1,4,15.687100910646036
159,legacy,1,5,4.872276824863089
159,legacy,1,6,1e-06
159,legacy,1,7,5.031368613459748
159,legacy,1,8,3.829831758125663
159,legacy,2,1,5.00543055632575
159,legacy,2,2,0.0
159,legacy,2,3,5.663364697280129
159,legacy,2,4,15.299388258919137
159,legacy,2,5,1e-06
159,legacy,2,6,1e-06
159,legacy,2,7,1e-06
159,legacy,2,8,1e-06
159,legacy,3,1,5.375075187853584
159,legacy,3,2,5.663364697280129
159,legacy,3,3,0.0
159,legacy,3,4,16.528313945765785
159,legacy,3,5,5.340036574913782
159,legacy,3,6,1e-06
159,legacy,3,7,5.19880206291115
159,legacy,3,8,0.26104744753714754
159,legacy,4,1,15.687100910646036
159,legacy,4,2,15.299388258919137
159,legacy,4,3,16.528313945765785
159,legacy,4,4,0.0
159,legacy,4,5,15.145913764870572
159,legacy,4,6,13.427308373251739
159,legacy,4,7,14.636781289030301
159,legacy,4,8,14.398574238489573
159,legacy,5,1,4.872276824863089
159,legacy,5,2,1e-06
159,legacy,5,3,5.340036574913782
159,legacy,5,4,15.145913764870572
159,legacy,5,5,0.0
159,legacy,5,6,1e-06
159,legacy,5,7,1e-06
159,legacy,5,8,1e-06
159,legacy,6,1,1e-06
159,legacy,6,2,1e-06
159,legacy,6,3,1e-06
159,legacy,6,4,13.427308373251739
159,legacy,6,5,1e-06
159,legacy,6,6,0.0
159,legacy,6,7,1e-06
159,legacy,6,8,1e-06
159,legacy,7,1,5.031368613459748
159,legacy,7,2,1e-06
159,legacy,7,3,5.19880206291115
159,legacy,7,4,14.636781289030301
159,legacy,7,5,1e-06
159,legacy,7,6,1e-06
159,legacy,7,7,0.0
159,legacy,7,8,1e-06
159,legacy,8,1,3.829831758125663
159,legacy,8,2,1e-06
159,legacy,8,3,0.26104744753714754
159,legacy,8,4,14.398574238489573
159,legacy,8,5,1e-06
159,legacy,8,6,1e-06
159,legacy,8,7,1e-06
159,legacy,8,8,0.0
160,legacy,1,1,0.0
160,legacy,1,2,4.001016839050705
160,legacy,1,3,4.443211762260729
160,legacy,1,4,14.800491121593064
160,legacy,1,5,3.8283769489836326
160,legacy,1,6,1e-06
160,legacy,1,7,4.086549918152451
160,legacy,1,8,2.4805714311534937
160,legacy,2,1,4.001016839050705
160,legacy,2,2,0.0
160,legacy,2,3,5.611316355899663
160,legacy,2,4,14.699684803248601
160,legacy,2,5,1e-06
160,legacy,2,6,1e-06
160,legacy,2,7,0.42138618496918495
160,legacy,2,8,1e-06
160,legacy,3,1,4.443211762260729
160,legacy,3,2,5.611316355899663
160,legacy,3,3,0.0
160,legacy,3,4,15.968464765187871
