oos_period,variant,row_model,col_model,adjacency
154,legacy,4,6,0.0
154,legacy,4,7,0.0
154,legacy,4,8,0.0
154,legacy,5,1,0.586946170417143
154,legacy,5,2,1.4802978671293867
154,legacy,5,3,1.0578330232888888
154,legacy,5,4,1.1225066804592196
154,legacy,5,5,0.0
154,legacy,5,6,5349.37176547809
154,legacy,5,7,9820.384630091961
154,legacy,5,8,0.0
154,legacy,6,1,51621.529613364706
154,legacy,6,2,0.0
154,legacy,6,3,78201.3264108858
154,legacy,6,4,0.981676299930272
154,legacy,6,5,0.0
154,legacy,6,6,0.0
154,legacy,6,7,6366.309952851213
154,legacy,6,8,0.0
154,legacy,7,1,0.4585928104117446
154,legacy,7,2,0.0
154,legacy,7,3,0.9463206648670162
154,legacy,7,4,1.0532650499270786
154,legacy,7,5,0.0
154,legacy,7,6,0.0
154,legacy,7,7,0.0
154,legacy,7,8,0.0
154,legacy,8,1,0.8123839834292117
154,legacy,8,2,5271.39961268073
154,legacy,8,3,3.3312010472743006
154,legacy,8,4,1.1548222438128801
154,legacy,8,5,2189.681405774271
154,legacy,8,6,2196.5750088931973
154,legacy,8,7,10328.340379308664
154,legacy,8,8,0.0
155,legacy,1,1,0.0
155,legacy,1,2,0.0
155,legacy,1,3,0.0
155,legacy,1,4,0.4351141016431175
155,legacy,1,5,0.0
155,legacy,1,6,0.0
155,legacy,1,7,0.0
155,legacy,1,8,0.0
155,legacy,2,1,0.45116924944199216
155,legacy,2,2,0.0
155,legacy,2,3,1.1906718789516766
155,legacy,2,4,0.8920875992332842
155,legacy,2,5,0.0
155,legacy,2,6,0.0
155,legacy,2,7,547.323075660589
155,legacy,2,8,6462.84022991319
155,legacy,3,1,0.1520576846556008
155,legacy,3,2,0.0
155,legacy,3,3,0.0
155,legacy,3,4,0.3621872764715473
155,legacy,3,5,0.0
155,legacy,3,6,0.0
155,legacy,3,7,0.0
155,legacy,3,8,0.0
155,legacy,4,1,0.0
155,legacy,4,2,0.0
155,legacy,4,3,0.0
155,legacy,4,4,0.0
155,legacy,4,5,0.0
155,legacy,4,6,0.0
155,legacy,4,7,0.0
155,legacy,4,8,0.0
155,legacy,5,1,0.48582977472478944
155,legacy,5,2,3595.655603302666
155,legacy,5,3,1.2839880785491085
155,legacy,5,4,0.9116855599138655
155,legacy,5,5,0.0
155,legacy,5,6,4099.311768044175
155,legacy,5,7,9386.264285852207
155,legacy,5,8,11803.533748211054
155,legacy,6,1,43331.588506050364
155,legacy,6,2,988.4627081171018
155,legacy,6,3,48000.23537073514
155,legacy,6,4,0.8462568650736432
155,legacy,6,5,0.0
155,legacy,6,6,0.0
155,legacy,6,7,6007.809168151072
155,legacy,6,8,20007.05793142455
155,legacy,7,1,0.38169658944302715
155,legacy,7,2,0.0
155,legacy,7,3,1.1057495041519567
155,legacy,7,4,0.8652984263985571
155,legacy,7,5,0.0
155,legacy,7,6,0.0
155,legacy,7,7,0.0
155,legacy,7,8,14644.864805190848
155,legacy,8,1,0.5315174789362841
155,legacy,8,2,0.0
155,legacy,8,3,3.9525206847638437
