oos_period,variant,row_model,col_model,sigma
232,v2,4,8,10.99449551946558
232,v2,5,1,20.642403125904387
232,v2,5,2,14.420044776278129
232,v2,5,3,18.688129539423887
232,v2,5,4,12.86312800434099
232,v2,5,5,0.0
232,v2,5,6,12.96586808719714
232,v2,5,7,11.51878562222733
232,v2,5,8,11.158309606263035
232,v2,6,1,15.988336761352041
232,v2,6,2,15.683369218412665
232,v2,6,3,19.617299963519965
232,v2,6,4,16.347177297693058
232,v2,6,5,12.96586808719714
232,v2,6,6,0.0
232,v2,6,7,13.244853340839391
232,v2,6,8,12.078302864622998
232,v2,7,1,16.901175500673354
232,v2,7,2,11.880112622984882
232,v2,7,3,9.058381807214024
232,v2,7,4,11.891326045053864
232,v2,7,5,11.51878562222733
232,v2,7,6,13.244853340839391
232,v2,7,7,0.0
232,v2,7,8,7.142054397004193
232,v2,8,1,13.492156740554089
232,v2,8,2,10.000828737245676
232,v2,8,3,12.18554192077784
232,v2,8,4,10.99449551946558
232,v2,8,5,11.158309606263035
232,v2,8,6,12.078302864622998
232,v2,8,7,7.142054397004193
232,v2,8,8,0.0
233,v2,1,1,0.0
233,v2,1,2,18.74819174468276
233,v2,1,3,22.011846906675462
233,v2,1,4,15.082208258728771
233,v2,1,5,20.071700142656308
233,v2,1,6,15.556140624707727
233,v2,1,7,16.405743454065973
233,v2,1,8,13.183297453666572
233,v2,2,1,18.74819174468276
233,v2,2,2,0.0
233,v2,2,3,24.394699703728374
233,v2,2,4,15.170682400043145
233,v2,2,5,14.236961104411744
233,v2,2,6,15.277569966535797
233,v2,2,7,12.010138935940908
233,v2,2,8,10.191181441756774
233,v2,3,1,22.011846906675462
233,v2,3,2,24.394699703728374
233,v2,3,3,0.0
233,v2,3,4,23.33158934217293
233,v2,3,5,24.530461488615945
233,v2,3,6,25.92717470771218
233,v2,3,7,16.940491729802787
233,v2,3,8,19.7325387085214
233,v2,4,1,15.082208258728771
233,v2,4,2,15.170682400043145
233,v2,4,3,23.33158934217293
233,v2,4,4,0.0
233,v2,4,5,12.529024670473968
233,v2,4,6,15.944252403168978
233,v2,4,7,11.546552412318542
233,v2,4,8,10.69894278811235
233,v2,5,1,20.071700142656308
233,v2,5,2,14.236961104411744
233,v2,5,3,24.530461488615945
233,v2,5,4,12.529024670473968
233,v2,5,5,0.0
233,v2,5,6,12.615343227038807
233,v2,5,7,11.328955386163209
233,v2,5,8,10.912195974432512
233,v2,6,1,15.556140624707727
233,v2,6,2,15.277569966535797
233,v2,6,3,25.92717470771218
233,v2,6,4,15.944252403168978
233,v2,6,5,12.615343227038807
233,v2,6,6,0.0
233,v2,6,7,13.02192076638865
233,v2,6,8,11.731141246328052
233,v2,7,1,16.405743454065973
233,v2,7,2,12.010138935940908
233,v2,7,3,16.940491729802787
233,v2,7,4,11.546552412318542
233,v2,7,5,11.328955386163209
233,v2,7,6,13.02192076638865
233,v2,7,7,0.0
233,v2,7,8,7.129406921696482
233,v2,8,1,13.183297453666572
233,v2,8,2,10.191181441756774
233,v2,8,3,19.7325387085214
233,v2,8,4,10.69894278811235
233,v2,8,5,10.912195974432512
233,v2,8,6,11.731141246328052
233,v2,8,7,7.129406921696482
233,v2,8,8,0.0
234,v2,1,1,0.0
234,v2,1,2,18.564844210759816
234,v2,1,3,23.087368348667294
234,v2,1,4,14.33742159649036
234,v2,1,5,19.752164938225093
234,v2,1,6,15.389635883331946
234,v2,1,7,15.888413995527111
234,v2,1,8,12.610879239710787
234,v2,2,1,18.564844210759816
234,v2,2,2,0.0
234,v2,2,3,24.584707414972513
234,v2,2,4,15.523532540252223
234,v2,2,5,13.943230491145153
234,v2,2,6,17.392378265264863
234,v2,2,7,12.330002038483407
234,v2,2,8,10.647815526014778
234,v2,3,1,23.087368348667294
234,v2,3,2,24.584707414972513
234,v2,3,3,0.0
234,v2,3,4,24.05931743286458
234,v2,3,5,24.839162293684304
234,v2,3,6,27.6978460513765
234,v2,3,7,17.68897039404073
234,v2,3,8,20.47439271203169
234,v2,4,1,14.33742159649036
234,v2,4,2,15.523532540252223
234,v2,4,3,24.05931743286458
234,v2,4,4,0.0
234,v2,4,5,12.755540548433626
234,v2,4,6,16.018615287855553
234,v2,4,7,11.222797282233563
234,v2,4,8,10.47163042056245
234,v2,5,1,19.752164938225093
234,v2,5,2,13.943230491145153
234,v2,5,3,24.839162293684304
234,v2,5,4,12.755540548433626
234,v2,5,5,0.0
234,v2,5,6,14.452312477323872
234,v2,5,7,11.323286984203316
234,v2,5,8,10.93814399691601
234,v2,6,1,15.389635883331946
234,v2,6,2,17.392378265264863
234,v2,6,3,27.6978460513765
234,v2,6,4,16.018615287855553
234,v2,6,5,14.452312477323872
234,v2,6,6,0.0
234,v2,6,7,13.787159687311673
234,v2,6,8,12.57368960880263
234,v2,7,1,15.888413995527111
234,v2,7,2,12.330002038483407
234,v2,7,3,17.68897039404073
234,v2,7,4,11.222797282233563
234,v2,7,5,11.323286984203316
234,v2,7,6,13.787159687311673
234,v2,7,7,0.0
234,v2,7,8,6.974619416571331
234,v2,8,1,12.610879239710787
234,v2,8,2,10.647815526014778
234,v2,8,3,20.47439271203169
234,v2,8,4,10.47163042056245
234,v2,8,5,10.93814399691601
234,v2,8,6,12.57368960880263
234,v2,8,7,6.974619416571331
234,v2,8,8,0.0
