oos_period,row_model,col_model,adjacency_matrice
34,3,1,3.0469730489991194
34,3,2,2.5761577939149274
34,3,3,0.0
34,3,4,0.0
34,3,5,0.0
34,3,6,0.0
34,3,7,0.0
34,3,8,16.542061071793796
34,3,9,0.0
34,3,10,25682.080933420446
34,3,11,21040.919746192718
34,4,1,0.0
34,4,2,1.5346782991289598
34,4,3,0.581474901958726
34,4,4,0.0
34,4,5,810.8443718746538
34,4,6,58.110062831389044
34,4,7,0.0
34,4,8,0.0
34,4,9,0.0
34,4,10,1.2087838007993532
34,4,11,0.0
34,5,1,0.0
34,5,2,0.4839387705193006
34,5,3,0.20757901599557022
34,5,4,0.0
34,5,5,0.0
34,5,6,0.0
34,5,7,0.0
34,5,8,0.0
34,5,9,0.0
34,5,10,0.0
34,5,11,0.0
34,6,1,0.0
34,6,2,0.0
34,6,3,0.7056795368951256
34,6,4,0.0
34,6,5,1.0420407373055327
34,6,6,0.0
34,6,7,1.289877999372748
34,6,8,0.0
34,6,9,0.7855684414695311
34,6,10,0.0
34,6,11,0.0
34,7,1,1.7249509362790225
34,7,2,0.0
34,7,3,24.038810101183593
34,7,4,10.179524570367898
34,7,5,11.009263610217198
34,7,6,0.0
34,7,7,0.0
34,7,8,0.0
34,7,9,460.04906176482405
34,7,10,17236.449182311295
34,7,11,0.0
34,8,1,2179.232159663233
34,8,2,1391.9627256843469
34,8,3,0.0
34,8,4,0.0
34,8,5,0.0
34,8,6,1391.9627256843469
34,8,7,815.4314274605812
34,8,8,0.0
34,8,9,0.0
34,8,10,3706.719207475267
34,8,11,0.0
34,9,1,5.996920068923614
34,9,2,1.219272718489708
34,9,3,728.8121129257598
34,9,4,9207.920792079198
34,9,5,2.2617709705917557
34,9,6,0.0
34,9,7,0.0
34,9,8,8118.811881188103
34,9,9,0.0
34,9,10,12462.943365445562
34,9,11,7821.782178217806
34,10,1,0.0
34,10,2,0.4634222976052195
34,10,3,0.0
34,10,4,0.0
34,10,5,3807.2542559186263
34,10,6,0.01997536889085456
34,10,7,0.0
34,10,8,0.0
34,10,9,0.0
34,10,10,0.0
34,10,11,0.0
34,11,1,11637.180547898151
34,11,2,0.0
34,11,3,0.0
34,11,4,1.2006855887828876
34,11,5,1.3426433822016117
34,11,6,1.1296742144066365
34,11,7,163.1309032905164
34,11,8,6336.633663366338
34,11,9,0.0
34,11,10,3.0906404426285254
34,11,11,0.0
35,1,1,0.0
35,1,2,0.0
35,1,3,0.0
35,1,4,0.024489628017993845
35,1,5,1.1877849092637167
35,1,6,1718.9815777856243
35,1,7,0.0
35,1,8,0.0
35,1,9,0.0
35,1,10,0.0
35,1,11,0.0
35,2,1,22018.51887427755
35,2,2,0.0
35,2,3,0.0
35,2,4,0.0
35,2,5,33086.68432833916
35,2,6,0.0
35,2,7,0.0
35,2,8,0.0
35,2,9,0.0
35,2,10,0.0
35,2,11,0.0
35,3,1,32281.23442982739
35,3,2,8616.362064704714
35,3,3,0.0
35,3,4,19405.00721183355
35,3,5,39428.17828682821
35,3,6,15245.749630075155
35,3,7,15457.935140910715
35,3,8,25.92500101981063
35,3,9,10420.134186309586
35,3,10,0.0
35,3,11,0.0
35,4,1,0.0
35,4,2,0.0
35,4,3,0.0
35,4,4,0.0
35,4,5,5.550740046207081
35,4,6,0.0
35,4,7,0.0
35,4,8,21980.198019802006
35,4,9,0.0
35,4,10,43485.35529466239
35,4,11,0.0
35,5,1,0.0
35,5,2,0.0
35,5,3,0.0
35,5,4,0.0
35,5,5,0.0
35,5,6,0.0
35,5,7,0.0
35,5,8,0.0
35,5,9,0.0
35,5,10,23.209900263546256
35,5,11,0.0
35,6,1,0.0
35,6,2,0.0
35,6,3,0.0
35,6,4,542.6554165803217
35,6,5,34481.31524930367
35,6,6,0.0
35,6,7,0.0
35,6,8,26362.503368115587
35,6,9,0.0
35,6,10,9.671794888050574
35,6,11,0.0
35,7,1,2.1587003809796754
35,7,2,205.2306511559238
35,7,3,0.0
35,7,4,4097.312534021781
35,7,5,11.456483545175415
35,7,6,0.0
35,7,7,0.0
35,7,8,0.0
35,7,9,0.0
35,7,10,0.0
35,7,11,0.0
35,8,1,0.3835802049388731
35,8,2,0.0
35,8,3,0.0
35,8,4,0.0
35,8,5,0.0
35,8,6,0.0
35,8,7,0.0
35,8,8,0.0
35,8,9,0.0
35,8,10,4.935176171241145
35,8,11,0.0
35,9,1,18345.707205361756
35,9,2,0.0
35,9,3,0.0
35,9,4,8761.667113370178
35,9,5,9.359614254175945
35,9,6,0.0
35,9,7,0.0
35,9,8,38.1903973250719
35,9,9,0.0
35,9,10,0.0
35,9,11,0.0
35,10,1,0.0
35,10,2,0.7004396046997123
35,10,3,0.0
35,10,4,0.0
35,10,5,0.0
35,10,6,0.0
35,10,7,0.0
35,10,8,0.0
35,10,9,0.0
35,10,10,0.0
35,10,11,0.0
35,11,1,27237.921184647315
35,11,2,0.0
35,11,3,0.0
35,11,4,7588.121414923239
35,11,5,4.611787796126109
35,11,6,1.1942752149953793
35,11,7,0.0
35,11,8,3.830253657832398
35,11,9,0.0
35,11,10,0.0
35,11,11,0.0
36,1,1,0.0
36,1,2,0.0
36,1,3,0.0
36,1,4,3378.7060016326122
36,1,5,0.0
36,1,6,0.0
36,1,7,0.0
36,1,8,88.96481172542796
36,1,9,0.0
36,1,10,72201.79482805659
36,1,11,0.0
36,2,1,19023.72693482898
36,2,2,0.0
36,2,3,0.0
36,2,4,10.518525801873206
36,2,5,0.0
36,2,6,0.0
36,2,7,9632.953438138253
36,2,8,2.5961689627182247
36,2,9,0.0
36,2,10,0.0
36,2,11,0.0
36,3,1,16090.18768863115
36,3,2,0.0
36,3,3,0.0
36,3,4,31188.11881188137
36,3,5,0.0
36,3,6,0.0
36,3,7,0.0
36,3,8,30.23382225802916
36,3,9,0.0
36,3,10,0.0
36,3,11,0.0
36,4,1,0.0
36,4,2,0.0
36,4,3,0.0
36,4,4,0.0
36,4,5,0.0
36,4,6,0.0
36,4,7,0.0
36,4,8,0.0
36,4,9,0.0
36,4,10,0.0
36,4,11,0.0
36,5,1,1.163605112153378
36,5,2,0.0
36,5,3,0.0
36,5,4,0.0
36,5,5,0.0
36,5,6,0.0
36,5,7,0.0
36,5,8,0.0
36,5,9,0.0
36,5,10,0.0
36,5,11,0.0
36,6,1,0.6512165514679102
36,6,2,0.0
36,6,3,0.0
36,6,4,10.169118172270734
36,6,5,0.0
36,6,6,0.0
36,6,7,0.0
36,6,8,3.315140536787339
36,6,9,0.0
36,6,10,0.0
36,6,11,2350.31485176762
36,7,1,4.01827788569595
36,7,2,0.0
36,7,3,0.0
36,7,4,3.194487115481283
36,7,5,0.0
36,7,6,0.0
36,7,7,0.0
36,7,8,0.0
36,7,9,0.0
36,7,10,0.0
36,7,11,0.0
36,8,1,0.0
36,8,2,0.0
36,8,3,0.0
36,8,4,0.0
36,8,5,0.0
36,8,6,0.0
36,8,7,0.0
36,8,8,0.0
36,8,9,0.0
36,8,10,0.0
36,8,11,0.0
36,9,1,20340.94510856019
36,9,2,0.0
36,9,3,0.0
36,9,4,8.55889015958436
36,9,5,0.0
36,9,6,0.0
36,9,7,0.0
36,9,8,23564.35643564362
36,9,9,0.0
36,9,10,0.0
36,9,11,0.0
36,10,1,0.0
36,10,2,0.7756339314749342
36,10,3,0.0
36,10,4,37792.49121395951
36,10,5,0.5992417208479093
36,10,6,0.6171852012347181
36,10,7,0.0
36,10,8,0.0
36,10,9,0.0
36,10,10,0.0
36,10,11,0.0
36,11,1,25.5882181288495
36,11,2,0.0
36,11,3,0.0
36,11,4,9.629163933748293
36,11,5,0.0
36,11,6,0.0
36,11,7,6029.213536903695
36,11,8,28391.957675844635
36,11,9,0.0
36,11,10,0.0
36,11,11,0.0
37,1,1,0.0
37,1,2,1.420281091939455
37,1,3,0.0
37,1,4,0.34948642615543507
37,1,5,0.0
37,1,6,0.0
37,1,7,0.0
37,1,8,6.088620774686887
37,1,9,0.0
37,1,10,0.0
37,1,11,4.767896796285723
37,2,1,0.0
37,2,2,0.0
37,2,3,14950.495049504938
37,2,4,0.0
37,2,5,0.0
37,2,6,0.0
37,2,7,0.0
37,2,8,0.0
37,2,9,0.0
37,2,10,0.0
37,2,11,17524.75247524751
37,3,1,1.0324426089051137
37,3,2,0.0
37,3,3,0.0
37,3,4,0.0
37,3,5,0.0
37,3,6,0.0
37,3,7,0.0
37,3,8,0.0
37,3,9,0.0
37,3,10,0.0
37,3,11,0.0
37,4,1,0.0
37,4,2,0.0
37,4,3,0.0
37,4,4,0.0
37,4,5,0.0
37,4,6,0.0
37,4,7,0.0
37,4,8,0.0
37,4,9,0.0
37,4,10,0.0
37,4,11,0.0
37,5,1,7732.782843787098
37,5,2,7978.493100423105
37,5,3,24562.72778833764
37,5,4,0.5353742576515516
37,5,5,0.0
37,5,6,0.0
37,5,7,5281.171466040777
37,5,8,0.0
37,5,9,8187.677625543154
37,5,10,0.0
37,5,11,23069.306930693045
37,6,1,0.7245839161679939
37,6,2,0.0
37,6,3,17326.732673267303
37,6,4,0.5735665658187575
37,6,5,0.0
37,6,6,0.0
37,6,7,0.0
37,6,8,0.0
37,6,9,0.0
37,6,10,0.0
37,6,11,5.869439624408471
37,7,1,2.0557512276448704
37,7,2,1.0682716173732312
37,7,3,0.0
37,7,4,1.8370567675423044
37,7,5,0.0
37,7,6,0.0
37,7,7,0.0
37,7,8,0.0
37,7,9,0.0
37,7,10,0.0
37,7,11,0.0
37,8,1,0.0
37,8,2,0.0
37,8,3,0.0
37,8,4,0.0
37,8,5,0.0
37,8,6,0.0
37,8,7,0.0
37,8,8,0.0
37,8,9,0.0
37,8,10,0.0
37,8,11,0.0
37,9,1,1.7445355835490193
37,9,2,0.0
37,9,3,0.0
37,9,4,0.0
37,9,5,0.0
37,9,6,0.0
37,9,7,0.0
37,9,8,0.0
37,9,9,0.0
37,9,10,0.0
37,9,11,18415.84158415841
37,10,1,0.6936138766810356
37,10,2,1.487550225048967
37,10,3,0.0
37,10,4,0.0
37,10,5,0.494812070561836
37,10,6,0.19458457422204636
37,10,7,0.0
37,10,8,0.0
37,10,9,0.0
37,10,10,0.0
37,10,11,0.0
37,11,1,0.0
37,11,2,0.0
37,11,3,0.0
37,11,4,0.0
37,11,5,0.0
37,11,6,0.0
37,11,7,0.0
