oos_period,model,centrality_score
31,7,0.5485531937302199
31,8,0.10274129589783741
31,9,0.0004945384922406024
31,10,0.0019140990604035845
31,11,0.0011026373620889691
32,1,0.0047439623766863505
32,2,0.01057620431849346
32,3,0.04036788891412515
32,4,0.034470624340414084
32,5,0.0005006382536215245
32,6,0.13302762424729292
32,7,0.22219189040203713
32,8,0.11534783323410223
32,9,0.2043318447714861
32,10,0.15715369075363433
32,11,0.07728779838710671
33,1,0.004589280131415223
33,2,3.2245344629102456e-11
33,3,0.07457526997506113
33,4,0.006024695934054143
33,5,0.033898010034365995
33,6,0.016747176717053867
33,7,0.20700915629759092
33,8,0.003885156286706233
33,9,0.3220358007334217
33,10,2.0520007703321193e-05
33,11,0.331214933849382
34,1,0.0003395690772785122
34,2,5.2796316472139585e-05
34,3,0.47262877224544125
34,4,0.0001216986626894041
34,5,3.720812216265364e-05
34,6,0.00027246058198850776
34,7,0.07008151402525364
34,8,0.02219538215490485
34,9,0.375057262919326
34,10,5.3723246846394786e-05
34,11,0.05915961264663657
35,1,0.0011730754193172623
35,2,0.0279721221495082
35,3,0.882734028359458
35,4,0.001011132650743859
35,5,5.321619002694911e-07
35,6,0.0006309748690307754
35,7,0.010695821831222573
35,8,6.001970747316965e-07
35,9,0.03287747141851399
35,10,2.1193612809831737e-05
35,11,0.042883047329420734
36,1,0.01688664265632163
36,2,0.3366024466420358
36,3,0.2841042177751077
36,4,9.320832898077526e-11
36,5,2.0545852121949357e-05
36,6,0.0019962024233711726
36,7,7.095076893789718e-05
36,8,9.320832898077526e-11
36,9,0.359159780452389
36,10,0.0002687914633319079
36,11,0.000890421778966328
37,1,7.734611474841631e-05
37,2,0.07761703102710259
37,3,8.153359447312816e-06
37,4,1.068258560753555e-08
37,5,0.7810236559913989
37,6,0.08990691863147472
37,7,7.437525380407977e-05
37,8,1.068258560753555e-08
37,9,6.121303644261684e-05
37,10,0.05123127453682431
37,11,1.068258560753555e-08
38,1,0.11979133871105506
38,2,6.949226802481386e-06
38,3,1.0095874870401255e-09
38,4,1.3374856794215864e-07
38,5,0.1294238463454952
38,6,0.7474932736303469
38,7,0.002629429402038169
38,8,1.0095874870401255e-09
38,9,2.9780941450201244e-06
38,10,0.0006520478117866345
38,11,1.0095874870401255e-09
39,1,0.9293054354661475
39,2,8.039038091369088e-06
39,3,9.001829954682226e-10
39,4,8.297618720818211e-08
39,5,0.05659655833538298
39,6,0.00711502364316743
39,7,0.003422674041895432
39,8,2.8391898115366917e-05
39,9,1.0195210759488547e-05
39,10,7.342269482006756e-08
39,11,0.003513525066375431
40,1,0.20372346966514823
40,2,0.027505908440210756
40,3,0.0002877693760083721
40,4,0.07687035045736702
40,5,0.03387055484012996
40,6,0.09673546764387043
40,7,0.05053419941824912
40,8,0.2576874032553233
40,9,0.050965783363145604
40,10,0.10157416183840867
40,11,0.10024493170113827
41,1,0.00021561061861491182
41,2,0.04225373505559065
41,3,0.013228044256840548
41,4,0.6172274007048486
41,5,0.023582999527128834
41,6,0.11142591365642454
41,7,4.424111326091378e-11
41,8,0.16495658797590387
41,9,4.453165769770668e-11
41,10,0.012686145034217965
41,11,0.01442356308065727
42,1,0.12491086502903226
42,2,0.03692368974742478
42,3,2.3743699295753056e-10
42,4,6.08730411493699e-11
42,5,2.0784771934206712e-10
42,6,0.00010502295048281314
42,7,6.082565909868948e-11
42,8,0.029335194371646417
42,9,0.7232992198203527
42,10,2.550679125225936e-05
42,11,0.08540050072182546
43,1,0.03622439961662195
43,2,0.03791490130414733
43,3,0.4307825729821825
43,4,0.04091511621593255
43,5,6.311331773516964e-05
43,6,0.03059351661222102
43,7,0.25022238961235715
43,8,0.0033745922877708675
43,9,0.09562822378186088
43,10,0.0001258491250812857
43,11,0.07415532514308926
44,1,0.0002442592273134954
44,2,0.007137025351191764
44,3,0.37057401248946803
44,4,0.11964500127768404
44,5,0.11050018061108356
44,6,6.198680315208604e-05
44,7,0.21053180235851038
44,8,7.960972747073371e-05
44,9,0.13861517377123447
44,10,0.018375497512534106
44,11,0.024235450869357543
45,1,0.02236606765304599
45,2,1.6726195357252724e-09
45,3,0.7985635220544571
45,4,0.019280435627094153
45,5,2.520189235817062e-09
45,6,6.510944319844001e-10
45,7,7.900620274745495e-11
45,8,0.0898181931322546
45,9,0.06997177252122921
45,10,9.391346165183196e-10
45,11,3.148874840681686e-09
46,1,0.03429272230433713
46,2,0.0015467347937222166
46,3,0.963909531832769
46,4,0.00018453983050357938
46,5,2.5132494090787183e-08
46,6,9.17216289212894e-06
46,7,4.142655758338929e-10
46,8,4.1067913958946113e-10
46,9,4.613190346861058e-07
46,10,5.610941743434706e-05
46,11,7.02380868127435e-07
47,1,0.00016184061775887602
47,2,0.014887113903949437
47,3,4.725950977653652e-10
47,4,2.325980231870403e-05
47,5,0.9848131704225286
47,6,2.393241537572593e-07
47,7,0.00011324310227389092
47,8,4.672212661117764e-10
47,9,4.713434870277357e-10
47,10,4.837370810607891e-07
47,11,6.476777758203318e-07
48,1,0.047460868564004145
48,2,4.7096764583269795e-05
48,3,4.745730818245809e-05
48,4,0.030631472602908934
48,5,0.33206027274532607
48,6,1.078657701660215e-11
48,7,0.03781867059489707
48,8,0.2619007161793891
48,9,0.29003344519863633
48,10,1.9499058932157936e-11
48,11,1.0787059852730596e-11
49,1,0.19098559366537893
49,2,0.020247459088291026
49,3,0.20640149459021012
49,4,0.0613973312689853
49,5,0.037657802374056026
49,6,0.00042728863236907757
49,7,0.04697671186265458
49,8,0.2447004131554172
49,9,0.19120589360912635
49,10,1.172926319479184e-08
49,11,2.32483416738486e-11
50,1,0.0007565785734659846
50,2,0.0132370469117628
50,3,0.0044479148231686486
50,4,0.10325614034636783
50,5,0.00390306542922398
50,6,5.915487630821735e-09
50,7,0.016116295940019072
50,8,4.119551225805507e-09
50,9,3.373665767242746e-10
50,10,0.13874533526057356
50,11,0.7195376123420125
51,1,0.11151782504541324
51,2,0.05219843332283936
51,3,2.2227954485841465e-11
51,4,0.053457078135859204
51,5,0.005379604229654501
51,6,0.18877994628089587
51,7,0.1626270784448916
51,8,4.106177179471809e-11
51,9,0.30632024166066935
51,10,1.6165796975402545e-05
51,11,0.11970362701851193
52,1,0.0957931692703975
52,2,0.14939610395354555
52,3,1.179056090023006e-05
52,4,0.12963617980115247
52,5,1.2255400962007743e-11
52,6,0.0790129652276947
52,7,0.06794287750309028
52,8,0.2592694911565906
52,9,1.1324242633418854e-11
52,10,0.14702206282147354
52,11,0.07191535968057543
53,1,0.13085322950189734
53,2,3.313223145106832e-09
53,3,1.4816119464912287e-11
53,4,0.11918509627422662
53,5,1.5796762640907703e-05
53,6,1.0817432649103941e-05
53,7,0.034490134863112004
53,8,0.4657704404756155
53,9,7.94288949800801e-06
53,10,0.099962589795788
53,11,0.14970394867553333
54,1,0.20011353157316888
54,2,5.258108783364344e-06
54,3,7.643563933221886e-05
54,4,0.13469128135617184
54,5,6.974179452930234e-06
54,6,1.7916358559739553e-05
54,7,1.7463031359282923e-08
54,8,0.5340371821888916
54,9,0.13104449245056268
54,10,3.543516234498223e-07
54,11,6.556329421798906e-06
55,1,2.377545003329717e-05
55,2,2.3568161967927453e-08
55,3,0.00013321985356125286
55,4,0.06851672717286414
55,5,0.052275150393527745
55,6,1.900857416585032e-10
55,7,0.020724027333639913
55,8,0.6072336426523233
55,9,0.03522477013683903
55,10,9.958571525697639e-08
55,11,0.21586856366224844
56,1,0.020791389254562018
56,2,0.0007498055851739395
56,3,1.0281505922244512e-07
56,4,0.03077471519749169
56,5,1.0713171471486568e-09
56,6,2.521714905043997e-05
56,7,0.4072004183110733
56,8,0.5357734886275933
56,9,0.00172098062915223
56,10,0.0018005232695426333
56,11,0.0011633580889840753
57,1,0.0003805375361250396
57,2,0.033352781315450775
57,3,5.216079640646728e-08
57,4,0.01140862721835587
57,5,8.226718358859161e-10
57,6,2.612380763519903e-05
57,7,0.9372024272688393
57,8,0.01733491637807678
57,9,8.846411187314476e-10
57,10,8.231721356923024e-10
57,11,0.0002945317832355881
58,1,0.08413183292214359
58,2,0.00015341811188766702
58,3,0.18938200298794827
58,4,6.872545518785983e-05
58,5,1.7040362369826773e-08
58,6,0.3690884136421405
58,7,4.7839749731439624e-05
58,8,0.09090177424673794
58,9,0.10324394522365304
58,10,5.5453604443109405e-09
58,11,0.1629820250738467
59,1,0.009858680667671118
59,2,0.03829846843747187
59,3,0.02311089494650149
59,4,0.03662621008720512
59,5,3.8785919874219064e-11
59,6,0.04227070159231596
59,7,0.03007061231848669
59,8,0.05109813212337746
59,9,0.4036662610598233
59,10,0.019234099027303574
59,11,0.34576593970005753
60,1,0.001959050023214252
60,2,0.0003577006968401103
60,3,2.5892425822099263e-09
60,4,0.01917750977042797
60,5,1.600194180519876e-10
60,6,0.012491533360001594
60,7,1.4314711460590639e-05
60,8,0.1839371064200277
60,9,0.5820350810586086
60,10,0.1491218899495027
60,11,0.05090581125965459
61,1,2.488140272890406e-08
61,2,0.00010321667183178917
61,3,2.2453341323038564e-07
61,4,2.2347000829548908e-06
61,5,0.0003645464608315287
61,6,0.0006454866311306329
61,7,0.011920802033473172
61,8,0.03845150712985353
61,9,0.9484783061529035
61,10,3.0495620335416165e-05
61,11,3.1551837416466195e-06
62,1,7.80603683854093e-09
62,2,1.1588801566097515e-08
62,3,1.1203563741532406e-07
62,4,3.43585265038746e-09
62,5,0.021285299912901103
62,6,1.992994400762447e-05
62,7,1.6152912372712226e-07
62,8,0.040207381368810385
62,9,0.9379161259112719
62,10,1.33851456321976e-06
62,11,0.0005696279519933975
63,1,7.96442075846276e-06
63,2,7.0884979300211435e-06
63,3,0.00018121455045538607
63,4,6.218848128480346e-09
63,5,0.07520411591137706
63,6,1.9434903369712975e-06
63,7,1.0510638295402536e-08
63,8,0.030173061651264866
63,9,0.8933218870184223
63,10,1.2914566190148e-10
63,11,0.0011027075998227948
64,1,3.0535298730414176e-05
64,2,0.23626500929797917
64,3,0.7127205224274549
64,4,0.0011049695026987582
64,5,0.0001478485454101378
64,6,0.0001134241467035761
64,7,0.04004170990027786
64,8,0.00270064678667274
64,9,0.002516915021150661
64,10,0.0010006281984624753
64,11,0.0033577908734593646
65,1,0.0009918475208625895
65,2,0.0017184116589198015
65,3,0.07996623173158784
65,4,0.09048727446226881
65,5,8.87556156553557e-08
65,6,0.7769818046743426
65,7,0.03865230767400069
65,8,0.007543118992982845
65,9,1.0574049381340691e-07
65,10,0.003658808676171188
65,11,1.1175399755148046e-10
66,1,0.003372923619255285
66,2,1.8492651015431544e-08
66,3,2.0705971583386237e-10
66,4,6.604961845412413e-08
66,5,0.0063496782843436555
66,6,0.2989767652614156
66,7,1.3431957205498528e-09
66,8,0.6899235696162312
66,9,3.836310399000785e-09
66,10,0.00137697308205982
66,11,2.068589501737971e-10
67,1,1.666679395672936e-08
67,2,1.0096343768403374e-06
67,3,1.5351789492308582e-08
67,4,0.002255318568625028
67,5,0.9738983712759338
67,6,2.7707242300800275e-07
67,7,4.169983135470275e-05
67,8,0.0003653948084455516
67,9,0.021751059289248535
67,10,0.0016800964020665873
67,11,6.74109794250562e-06
68,1,4.295135612314469e-10
68,2,0.40313597228135745
68,3,0.49980285858373735
68,4,0.0002524397568500209
68,5,0.011267599322112607
68,6,0.001293102229868556
68,7,0.04714709960596933
68,8,0.0007578784912816096
68,9,0.02361126236075946
68,10,0.0019759986545098544
68,11,0.01075578828304027
69,1,5.932882518237822e-09
69,2,0.0013621518358130115
69,3,0.020298016084173354
69,4,3.8874288950617964e-05
69,5,9.387030405017504e-09
69,6,2.1415983415863494e-06
69,7,0.0026792276115986573
69,8,3.8034140834431365e-06
69,9,0.928698845297086
69,10,5.9250691693573124e-09
69,11,0.04691691862397111
70,1,1.6614796957631606e-08
70,2,6.254624225385445e-05
70,3,0.4730592646342339
70,4,0.000141352748549636
70,5,4.4515949566372524e-08
70,6,4.5555240750009494e-05
70,7,3.3661040400211254e-05
70,8,1.8788197907570672e-08
70,9,0.0010246343779456001
70,10,2.1899482472326212e-08
70,11,0.5256328838964397
71,1,1.6968420228816098e-05
71,2,0.00010843990134736423
71,3,0.0005799159593783112
71,4,0.009818205361994008
71,5,4.324619550950259e-06
71,6,0.00034632750390307243
71,7,5.60094617749622e-08
71,8,1.3153654976961848e-05
71,9,5.086666012336156e-06
71,10,1.5913764709631202e-06
71,11,0.9891059305256753
72,1,9.788379098584022e-08
72,2,0.00022494203799038745
72,3,4.761939904086458e-06
72,4,0.94183092304407
72,5,2.3312667457428597e-09
72,6,0.04768796277281801
72,7,1.6452771380788122e-09
72,8,0.0008668791899492233
72,9,0.008774302539591229
72,10,1.6338875122252663e-09
72,11,0.0006101249804548076
73,1,1.3731023092833366e-06
73,2,0.003781416328854645
73,3,0.0006581907072285883
73,4,0.0015983519065848133
73,5,0.42146628442489786
73,6,0.5352238582030842
73,7,2.621659351870506e-10
73,8,2.3464787642991472e-05
73,9,0.03118180092233744
73,10,0.0059249941234142635
73,11,0.00014026523047999263
74,1,1.9074846864883976e-08
74,2,0.0008217681319506429
74,3,0.01748625128016108
74,4,0.8985086995005631
74,5,0.011215112830431214
74,6,4.94195797021429e-06
74,7,3.148183354015421e-10
74,8,0.07089239155329559
74,9,9.767998633356353e-06
74,10,0.0010059800810760075
74,11,5.506727525355485e-05
75,1,4.814725203333886e-08
75,2,3.2342009106831617e-06
75,3,7.395861241184182e-06
75,4,0.5368720646368389
75,5,0.4526860001162463
75,6,1.993239186927775e-06
75,7,1.1639665735550952e-09
75,8,0.0005026419586929075
75,9,2.846237135818492e-06
75,10,0.009923773272761307
75,11,1.1647672688900067e-09
76,1,1.2580801764318317e-05
76,2,0.38007828844375174
76,3,0.01374421568165787
76,4,0.03925030163620842
76,5,0.4572281413021387
76,6,0.0001568919028797407
76,7,0.0815678215857368
76,8,0.0007277468208450901
76,9,0.014902300954457295
76,10,0.010827034092102167
76,11,0.0015046767774578099
77,1,2.8750053118869417e-11
77,2,0.26432068888791127
77,3,0.016124119627346566
77,4,2.3332979306845303e-05
77,5,0.22723562785541573
77,6,0.12548396174254478
77,7,0.13255426452422808
77,8,9.224071433411507e-11
77,9,0.11045336735095387
77,10,0.12380463688156895
77,11,2.8733033849945496e-11
78,1,0.00375649377373744
78,2,0.00010188535135464559
78,3,3.116503751938775e-05
78,4,0.060323646710013466
78,5,0.27859298151416856
78,6,0.5205558454363596
78,7,0.022960312521900682
78,8,0.09911119004766292
78,9,0.014560311680359712
78,10,6.167786446474813e-06
78,11,1.394770167797896e-10
79,1,0.03144423160352031
79,2,0.00011737979713103615
79,3,0.1529908849396042
79,4,2.089981498788455e-05
79,5,0.02338869900439651
79,6,0.11936849569729463
79,7,0.40334708180274303
79,8,0.23025834727293745
79,9,0.02901553168736615
79,10,0.004635538636485038
79,11,0.005412909742533776
