t,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8
37,1.8747113402332154,0.9432709131457532,0.4083933382856575,0.403018477440462,1.479805664911169,2.2539241253030315,1.3296473131181514,2.718281828459045
38,1.8022624350945762,0.9265886680155925,0.4008501754431583,0.3958049958241955,1.4354968451217265,2.458473538094433,1.320061024602856,2.718281828459045
39,1.7169292291301852,0.9134734935331522,0.38734388991383273,0.3849621610368644,1.359182527816488,2.642513180327989,1.3404910448985656,2.718281828459045
40,1.6670104930260232,0.9078156485828389,0.36787944117144233,0.3715714516524511,1.3032636240054472,2.718281828459045,1.3595619058667354,2.718281828459045
41,1.6363907646660485,0.8984997858401673,0.36787944117144233,0.36787944117144233,1.2935159834475605,2.718281828459045,1.3765274767770614,2.718281828459045
42,1.5714904710915187,0.9160820606095958,0.36787944117144233,0.36787944117144233,1.313373553412163,2.718281828459045,1.3856038953573675,2.718281828459045
43,1.5244805881927765,0.9224268659686228,0.36787944117144233,0.36787944117144233,1.328110638498603,2.718281828459045,1.411409818588838,2.718281828459045
44,1.4843226302231838,0.9234744450969952,0.36787944117144233,0.36787944117144233,1.344639087239377,2.718281828459045,1.4515549447286065,2.718281828459045
45,1.4430183834803514,0.9134969150186645,0.36787944117144233,0.36787944117144233,1.3441456548792652,2.718281828459045,1.4791135181194992,2.709864334965525
46,1.4089264224031657,0.93010186311419,0.36787944117144233,0.36787944117144233,1.3416286306791054,2.6874784954478654,1.5402881411007545,2.718281828459045
47,1.4088305235540972,0.9568420201197642,0.36787944117144233,0.36787944117144233,1.3340194713533895,2.712189224267409,1.65390563210888,2.718281828459045
48,1.4181698478924465,0.9765916323396128,0.36787944117144233,0.36787944117144233,1.3126438328931904,2.718281828459045,1.7563799230606858,2.718281828459045
49,1.4307291129070592,0.9929641084706827,0.36787944117144233,0.36787944117144233,1.2831619350808612,2.718281828459045,1.8626992586254276,2.718281828459045
50,1.4840078687221678,1.0274384531764038,0.36787944117144233,0.36787944117144233,1.2678711050265294,2.712565336329028,1.9776094152781525,2.718281828459045
51,1.512973221894921,1.0415557392131545,0.36787944117144233,0.36787944117144233,1.251881526419371,2.718281828459045,2.111004359193324,2.718281828459045
52,1.5604911630248237,1.0605026723477953,0.36787944117144233,0.36787944117144233,1.2612933454631463,2.718281828459045,2.2793508277527352,2.718281828459045
53,1.6099967407779798,1.1071200277663211,0.36787944117144233,0.36787944117144233,1.2799277950762753,2.718281828459045,2.4744895746715763,2.718281828459045
54,1.662925551898314,1.1479551136802175,0.36787944117144233,0.36787944117144233,1.3041925337761575,2.718281828459045,2.6352488808121377,2.718281828459045
55,1.6880004752306865,1.1817182740894696,0.36787944117144233,0.36787944117144233,1.2915383537788543,2.718281828459045,2.718281828459045,2.718281828459045
56,1.686309270123173,1.2293271358981173,0.36787944117144233,0.36787944117144233,1.2739625106551842,2.718281828459045,2.718281828459045,2.718281828459045
57,1.711537679083223,1.284636994828338,0.36787944117144233,0.36787944117144233,1.2379715792707322,2.718281828459045,2.718281828459045,2.718281828459045
58,1.7428489939866936,1.335978566138865,0.36787944117144233,0.36787944117144233,1.1867328971317053,2.718281828459045,2.718281828459045,2.718281828459045
59,1.7675400710550035,1.35882964336134,0.36787944117144233,0.36787944117144233,1.1409376904292738,2.718281828459045,2.718281828459045,2.7180713882519885
60,1.8130230099515634,1.3679629430101687,0.36787944117144233,0.36787944117144233,1.1035284207542781,2.718281828459045,2.718281828459045,2.682149156995125
61,1.9060482289116827,1.383246046846277,0.36787944117144233,0.36787944117144233,1.0487027314737447,2.718281828459045,2.718281828459045,2.7053411732292942
62,2.084421874884817,1.4087092166184665,0.36787944117144233,0.36787944117144233,1.007081554851177,2.718281828459045,2.718281828459045,2.718281828459045
63,2.2661246571731697,1.435079616329566,0.36787944117144233,0.36787944117144233,0.9599564103061891,2.718281828459045,2.718281828459045,2.6878136543692124
64,2.4872851437690007,1.4790402691588473,0.36787944117144233,0.36787944117144233,0.8992014081134772,2.718281828459045,2.718281828459045,2.654245133609602
65,2.7074426339608726,1.4887388963980177,0.36787944117144233,0.36787944117144233,0.8504272839565646,2.718281828459045,2.718281828459045,2.5992051473593727
66,2.718281828459045,1.4738912836500329,0.36787944117144233,0.36787944117144233,0.826012117358915,2.718281828459045,2.718281828459045,2.5544411039579957
67,2.718281828459045,1.4632135348454272,0.36787944117144233,0.36787944117144233,0.7954755296579498,2.718281828459045,2.718281828459045,2.4929313371042063
68,2.718281828459045,1.4119156044789114,0.36787944117144233,0.36787944117144233,0.7757347823490793,2.718281828459045,2.718281828459045,2.466680381972975
69,2.718281828459045,1.3584120455133284,0.36787944117144233,0.3717012534077185,0.7478535906123291,2.718281828459045,2.718281828459045,2.4646509865410438
70,2.718281828459045,1.3059864309581282,0.36787944117144233,0.3757297922008453,0.7196235221479881,2.718281828459045,2.718281828459045,2.5139182655509176
71,2.718281828459045,1.236049106346976,0.36787944117144233,0.3776512062082247,0.7178456324862698,2.718281828459045,2.718281828459045,2.6007701616500354
72,2.718281828459045,1.1404095186549221,0.36787944117144233,0.384006816550193,0.7137800407354608,2.718281828459045,2.718281828459045,2.6766137858138763
73,2.718281828459045,1.0813830204023864,0.3716108100086879,0.39248794038261553,0.7151850818563641,2.718281828459045,2.718281828459045,2.718281828459045
74,2.705555886199548,1.0365720182156686,0.36848902145108436,0.4042908206264172,0.7230024819917187,2.718281828459045,2.718281828459045,2.718281828459045
75,2.718281828459045,0.9881750666333207,0.37093389791672937,0.4144508507447777,0.7453657415370809,2.7077176888983923,2.718281828459045,2.718281828459045
76,2.718281828459045,0.9410711009426858,0.37652676164474014,0.4157194149187872,0.7720474755784439,2.6964951081811925,2.718281828459045,2.718281828459045
77,2.718281828459045,0.905207075931209,0.3841478705417309,0.4089705796511221,0.8101137111776414,2.718281828459045,2.718281828459045,2.718281828459045
78,2.718281828459045,0.8966293269629853,0.3932537099852558,0.40429388959321316,0.8502944479388853,2.718281828459045,2.718281828459045,2.718281828459045
79,2.718281828459045,0.8798129027375257,0.3905990841865287,0.3989292474465898,0.8945679551458371,2.718281828459045,2.718281828459045,2.718281828459045
80,2.718281828459045,0.8689144429723181,0.378083414564725,0.39487022385078613,0.9168772839258001,2.718281828459045,2.718281828459045,2.718281828459045
81,2.718281828459045,0.8565344406335511,0.36787944117144233,0.39284718844175426,0.9613155745474334,2.718281828459045,2.718281828459045,2.718281828459045
82,2.718281828459045,0.865565855902479,0.36787944117144233,0.38827878914106767,1.012986053828842,2.718281828459045,2.718281828459045,2.718281828459045
83,2.718281828459045,0.8906671069796775,0.36787944117144233,0.3820955883566931,1.029367590431373,2.718281828459045,2.718281828459045,2.718281828459045
84,2.718281828459045,0.9071325815569278,0.36787944117144233,0.37909743876043994,1.051630979535583,2.718281828459045,2.689320229987069,2.718281828459045
85,2.718281828459045,0.9286183202328053,0.36787944117144233,0.37758102965897233,1.0588738816491388,2.718281828459045,2.6933987450131713,2.718281828459045
86,2.718281828459045,0.9625292345973425,0.36787944117144233,0.37721736038620873,1.0491567675554172,2.718281828459045,2.718281828459045,2.718281828459045
87,2.718281828459045,1.0097316531060834,0.36787944117144233,0.373906983850449,1.0432715662399934,2.718281828459045,2.718281828459045,2.718281828459045
88,2.718281828459045,1.0568969204771517,0.36787944117144233,0.3772199980262631,1.060911497149444,2.718281828459045,2.718281828459045,2.718281828459045
89,2.718281828459045,1.08627513066947,0.3737583320450147,0.3885316620186519,1.0921067287589756,2.718281828459045,2.718281828459045,2.718281828459045
90,2.718281828459045,1.1327333939209074,0.37703491914297366,0.39926259546652787,1.1139134329993468,2.718281828459045,2.718281828459045,2.718281828459045
91,2.718281828459045,1.1653319478714905,0.3889840056445811,0.42296225671009136,1.119066539181504,2.718281828459045,2.718281828459045,2.718281828459045
92,2.718281828459045,1.1815128088198157,0.39062842911193774,0.443528397218847,1.1299082626854995,2.718281828459045,2.718281828459045,2.718281828459045
93,2.718281828459045,1.1629060328271028,0.38241956726181225,0.4565967484826512,1.155252245775848,2.718281828459045,2.718281828459045,2.718281828459045
94,2.718281828459045,1.1352542807769488,0.3708792139662632,0.46515944632009276,1.1741827242608824,2.718281828459045,2.718281828459045,2.718281828459045
95,2.718281828459045,1.083514627710634,0.36787944117144233,0.46442895994548317,1.1881578044954388,2.718281828459045,2.718281828459045,2.718281828459045
96,2.718281828459045,1.0307445951591587,0.36787944117144233,0.4723583143196951,1.2024584729641024,2.718281828459045,2.675009320146099,2.718281828459045
97,2.718281828459045,0.9795430431547967,0.36787944117144233,0.4813960133585563,1.2349641703481296,2.718281828459045,2.6624839651169134,2.718281828459045
98,2.718281828459045,0.9281096121674408,0.36787944117144233,0.49099308899455857,1.2489468729882536,2.718281828459045,2.6124625874178347,2.718281828459045
99,2.718281828459045,0.8953691908933226,0.36787944117144233,0.4976111957088913,1.2396026483608806,2.7169917850479606,2.570615567952197,2.718281828459045
100,2.718281828459045,0.8626818816061389,0.36787944117144233,0.5081167460760423,1.226396545015411,2.718281828459045,2.5540672183141977,2.718281828459045
101,2.718281828459045,0.829865151955115,0.36787944117144233,0.5267219402385016,1.2222713489369397,2.6805152668414465,2.5805071856169612,2.718281828459045
102,2.718281828459045,0.7995170825723887,0.36787944117144233,0.5459347802102834,1.1976230214867996,2.718281828459045,2.591328180738667,2.718281828459045
103,2.718281828459045,0.7758712709229394,0.36787944117144233,0.5720251056796124,1.18010015478558,2.718281828459045,2.5349181444820714,2.718281828459045
104,2.718281828459045,0.7536765332031471,0.36787944117144233,0.5987544126629095,1.161536133836077,2.7122315121905585,2.3733366114324297,2.718281828459045
105,2.718281828459045,0.723201150011435,0.36787944117144233,0.6296491989094775,1.1295628345044972,2.705306626591259,2.2206187152812062,2.718281828459045
106,2.718281828459045,0.6912250042852465,0.36787944117144233,0.654277667134189,1.1153870511770407,2.718281828459045,2.0863716507867958,2.718281828459045
107,2.718281828459045,0.6544216836547715,0.37483772850891817,0.6824828677907299,1.1112384294971362,2.718281828459045,1.9586224285126452,2.718281828459045
108,2.718281828459045,0.620721886236285,0.39191712504650345,0.73035550325968,1.1075044662086937,2.718281828459045,1.8472131527149733,2.718281828459045
109,2.718281828459045,0.5824573692061251,0.4153382014806248,0.7919591959762127,1.1211709630638944,2.718281828459045,1.7167565172227668,2.718281828459045
110,2.718281828459045,0.5616665325421311,0.4440844039794419,0.8620617367998786,1.1408804583392713,2.718281828459045,1.6084423975494735,2.718281828459045
111,2.718281828459045,0.5492606138852626,0.47003998086925364,0.9549130739416136,1.1535504623410386,2.718281828459045,1.5150363376397717,2.718281828459045
112,2.718281828459045,0.5222871348047768,0.4976857215449227,1.0715471401947345,1.164565165491952,2.718281828459045,1.4466280518319894,2.706794274942088
